run,split,graph_id,interaction_id,label,repeat,reason,function,category
reentrancy_only,train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,i:_claimWithdrawal,1,6,true_positive,_claimWithdrawal,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:emergencyCancel,0,3,protected_reentrancy_like,emergencyCancel,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:emergencyWithdraw,0,3,protected_reentrancy_like,emergencyWithdraw,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:deposit,0,3,protected_reentrancy_like,deposit,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:depositNative,0,3,protected_reentrancy_like,depositNative,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:fill,0,3,protected_reentrancy_like,fill,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:cancel,1,6,true_positive,cancel,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:_cancel,0,3,protected_reentrancy_like,_cancel,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00125::Aori,i:withdraw,0,3,protected_reentrancy_like,withdraw,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00174::P2pResolvProxy,i:initiateWithdrawalRESOLVAccruedRewards,1,6,true_positive,initiateWithdrawalRESOLVAccruedRewards,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00174::P2pResolvProxy,i:withdrawRESOLV,1,6,true_positive,withdrawRESOLV,possible mislabeled negative
reentrancy_only,train,FORGE::vfp_00174::P2pResolvProxy,i:claimStakedTokenDistributor,0,3,protected_reentrancy_like,claimStakedTokenDistributor,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00116::L1Mailbox,i:relayMsgWithProof,0,3,protected_reentrancy_like,relayMsgWithProof,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00116::L1Mailbox,i:withdrawDepositFee,0,3,protected_reentrancy_like,withdrawDepositFee,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00116::L1Mailbox,i:getMsg,1,6,true_positive,getMsg,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00116::L2Mailbox,i:relayMsg,0,3,protected_reentrancy_like,relayMsg,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00116::L1ETHBridge,i:finalizeWithdraw,0,3,protected_reentrancy_like,finalizeWithdraw,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00096::MarketConfigurator,i:_migrateFactoryTargets,1,6,true_positive,_migrateFactoryTargets,other recurring pattern
reentrancy_only,train,FORGE::vfp_00175::P2pYieldProxy,i:_deposit,0,3,protected_reentrancy_like,_deposit,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00175::P2pYieldProxy,i:_withdraw,1,6,true_positive,_withdraw,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:initialize,0,3,protected_reentrancy_like,initialize,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:mint,1,6,true_positive,mint,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:distributeFees,1,6,true_positive,distributeFees,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:getRebalance,1,6,true_positive,getRebalance,possible mislabeled negative
reentrancy_only,train,FORGE::vfp_00007::Folio,i:startRebalance,1,6,true_positive,startRebalance,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:openAuction,0,3,protected_reentrancy_like,openAuction,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:openAuctionUnrestricted,0,3,protected_reentrancy_like,openAuctionUnrestricted,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:getBid,0,3,protected_reentrancy_like,getBid,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:bid,0,3,protected_reentrancy_like,bid,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:createTrustedFill,0,3,protected_reentrancy_like,createTrustedFill,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00007::Folio,i:_addToBasket,0,3,protected_reentrancy_like,_addToBasket,protected reentrancy-like pattern
reentrancy_only,train,FORGE::vfp_00045::PDPVerifier,i:burnFee,0,3,protected_reentrancy_like,burnFee,protected reentrancy-like pattern
