split,contract_id,source_path,function_name,source_span,interaction_id,review_priority,predicted_score,current_label,proposed_cleaned_label,vulnerability_type,safety_features_present,risk_evidence,protection_evidence,short_explanation,confidence,external_call_line,state_update_line,modifier_guard_evidence,code_snippet,review_source
train,DAPP::DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6::IncognitoProxy,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol,swapBridgeCommittee,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol#L87-L145,i:swapBridgeCommittee,top50_highest_score|top50_weak_or_no_safety,0.980475517489832,0,wrong_scope_or_other_vulnerability,reentrancy,require_assert_guard_before_call,very high model score,require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L12: bytes32 instHash = keccak256(inst);,L15: require(instructionApproved(,"1: function swapBridgeCommittee(\n2:         bytes memory inst,\n3:         bytes32[][2] memory instPaths,\n4:         bool[][2] memory instPathIsLefts,\n5:         bytes32[2] memory instRoots,\n6:         bytes32[2] memory blkData,\n7:         uint[][2] memory sigIdxs,\n8:         uint8[][2] memory sigVs,\n9:         bytes32[][2] memory sigRs,\n10:         bytes32[][2] memory sigSs\n11:     ) public isNotPaused {\n12:         bytes32 instHash = keccak256(inst);\n13: \n14:         // Verify instruction on beacon",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd::Emperium,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol,add,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol#L686-L696,i:add,top50_highest_score,0.9798872694101567,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary,very high model score,CEI-like state update before external call | owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L5: isTokenInPool[token] = true;,"L2: require(!isTokenInPool[token], ""duplicated""); | function add(IERC20 token, uint64 allocPoint) external onlyOwner","1: function add(IERC20 token, uint64 allocPoint) external onlyOwner {\n2:         require(!isTokenInPool[token], ""duplicated"");\n3:         massUpdatePools();\n4: \n5:         isTokenInPool[token] = true;\n6:         totalAllocPoint += allocPoint;\n7:         poolInfo.push(\n8:             PoolInfo({token: token, allocPoint: allocPoint, lastRewardTime: uint64(block.timestamp), accKSWPerShare: 0})\n9:         );\n10:         emit AddPool(poolInfo.length - 1, token, allocPoint);\n11:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishServicesContract,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol,createValidator,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol#L106-L142,i:createValidator,top50_highest_score,0.9734371169176306,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,very high model score,CEI-like state update before external call | owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L13: _state = State.PostDeposit;,"L12: require(_state == State.PreDeposit, ""Validator has been created""); | function createValidator(
        bytes calldata validatorPubKey, // 48 bytes
        bytes calldata depositSignature, // 96 bytes
        bytes32 depositDataRoot,
        uint64 exitDate
    )
        external
        override
        onlyOperator","1: function createValidator(\n2:         bytes calldata validatorPubKey, // 48 bytes\n3:         bytes calldata depositSignature, // 96 bytes\n4:         bytes32 depositDataRoot,\n5:         uint64 exitDate\n6:     )\n7:         external\n8:         override\n9:         onlyOperator\n10:     {\n11: \n12:         require(_state == State.PreDeposit, ""Validator has been created"");\n13:         _state = State.PostDeposit;\n14: ",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129::SwapMining,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6/protocol/apis/mdex/SwapMining.sol,addPair,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6/protocol/apis/mdex/SwapMining.sol#L76-L98,i:addPair,top50_highest_score,0.9696182582280936,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,very high model score,CEI-like state update before external call | owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L10: uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;,"L6: require(_pair != address(0), ""_pair is the zero address""); | function addPair(
    uint256 _allocPoint,
    address _pair,
    bool _withUpdate
  ) public onlyOwner","1: function addPair(\n2:     uint256 _allocPoint,\n3:     address _pair,\n4:     bool _withUpdate\n5:   ) public onlyOwner {\n6:     require(_pair != address(0), ""_pair is the zero address"");\n7:     if (_withUpdate) {\n8:       massMintPools();\n9:     }\n10:     uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;\n11:     totalAllocPoint = totalAllocPoint.add(_allocPoint);\n12:     poolInfo.push(\n13:       PoolInfo({\n14:         pair: _pair,",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::SwapMining,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/SwapMining.sol,addPair,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/SwapMining.sol#L91-L107,i:addPair,top50_highest_score,0.9671502375425632,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,very high model score,CEI-like state update before external call | owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L6: uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;,"L2: require(_pair != address(0), ""_pair is the zero address""); | function addPair(uint256 _allocPoint, address _pair, bool _withUpdate) public onlyOwner","1: function addPair(uint256 _allocPoint, address _pair, bool _withUpdate) public onlyOwner {\n2:         require(_pair != address(0), ""_pair is the zero address"");\n3:         if (_withUpdate) {\n4:             massMintPools();\n5:         }\n6:         uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;\n7:         totalAllocPoint = totalAllocPoint.add(_allocPoint);\n8:         poolInfo.push(PoolInfo({\n9:         pair : _pair,\n10:         quantity : 0,\n11:         totalQuantity : 0,\n12:         allocPoint : _allocPoint,\n13:         allocMdxAmount : 0,\n14:         lastRewardBlock : lastRewardBlock",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::TradingPool,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/TradingPool.sol,add,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/TradingPool.sol#L152-L181,i:add,top50_highest_score,0.9534170001639816,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_many_risky_interactions|contract_modifier_access_summary|contract_inheritance_modifier_summary,very high model score,CEI-like state update before external call | owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L15: uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;,"L6: require(_pair != address(0), ""TradingPool: _pair is the zero address""); | function add(
        uint256 _allocPoint,
        address _pair,
        bool _withUpdate
    ) public onlyOwner","1: function add(\n2:         uint256 _allocPoint,\n3:         address _pair,\n4:         bool _withUpdate\n5:     ) public onlyOwner {\n6:         require(_pair != address(0), ""TradingPool: _pair is the zero address"");\n7: \n8:         require(!EnumerableSet.contains(_pairs, _pair), ""TradingPool: _pair is already added to the pool"");\n9:         // return EnumerableSet.add(_pairs, _pair);\n10:         EnumerableSet.add(_pairs, _pair);\n11: \n12:         if (_withUpdate) {\n13:             massUpdatePools();\n14:         }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add::Org,DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/Org.sol,claimRequest,DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/Org.sol#L58-L71,i:claimRequest,top50_weak_or_no_safety,0.9530477148687192,0,wrong_scope_or_other_vulnerability,reentrancy,require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary,very high model score,owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L5: Claim memory newClaim = Claim({,"L2: require (fSub == true); | function claimRequest(string memory fName, string memory lName, bool fSub, string memory eMail, address orgAdminAddress) public","1: function claimRequest(string memory fName, string memory lName, bool fSub, string memory eMail, address orgAdminAddress) public {\n2:         require (fSub == true);\n3:         require (msg.sender == orgAdminAddress);\n4: \n5:         Claim memory newClaim = Claim({\n6:             firstName: fName,\n7:             lastName: lName,\n8:             eMail: eMail,\n9:             desiredWallet: msg.sender,\n10:             filesSubmitted: true\n11:         });\n12: \n13:         claims.push(newClaim);\n14:     }",phase1b_packet
train,"DAPP::DAppSCAN-source/contracts/Inspex-Tokens, Farm & Shop/-SpeedStar-Audit-3e39d7acf9c1aa9f3a5511c161c2035ba7d6bc1f::SwapHorse","DAppSCAN-source/contracts/Inspex-Tokens, Farm & Shop/-SpeedStar-Audit-3e39d7acf9c1aa9f3a5511c161c2035ba7d6bc1f/contracts/SwapHorse.sol",swapHorses,"DAppSCAN-source/contracts/Inspex-Tokens, Farm & Shop/-SpeedStar-Audit-3e39d7acf9c1aa9f3a5511c161c2035ba7d6bc1f/contracts/SwapHorse.sol#L49-L73",i:swapHorses,,0.933470666544321,0,wrong_scope_or_other_vulnerability,reentrancy,require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,very high model score,owner/access-control signal | require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L3: for (uint256 index = 0; index < _tokenIds.length; index++) {,L4: require( | function swapHorses(uint256[] memory _tokenIds) external,"1: function swapHorses(uint256[] memory _tokenIds) external {\n2:         // check owner\n3:         for (uint256 index = 0; index < _tokenIds.length; index++) {\n4:             require(\n5:                 oldHorse.ownerOf(_tokenIds[index]) == msg.sender,\n6:                 ""User is not owner.""\n7:             );\n8:         }\n9: \n10:         require(\n11:             oldHorse.isApprovedForAll(msg.sender, address(this)),\n12:             ""Require approve contract.""\n13:         );\n14: ",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::mockOVM_CrossDomainMessenger,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/mockOVM/bridge/mockOVM_CrossDomainMessenger.sol,relayNextMessage,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/mockOVM/bridge/mockOVM_CrossDomainMessenger.sol#L133-L144,i:relayNextMessage,,0.9273997896162911,0,wrong_scope_or_other_vulnerability,reentrancy,state_update_before_external_call|state_update_after_external_call|return_value_checked|require_assert_guard_before_call|contract_inheritance_modifier_summary,state update after external call | very high model score,require/assert/revert guard before call | return value checked; not sufficient alone for reentrancy,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L5: ReceivedMessage memory nextMessage = fullReceivedMessages[lastRelayedMessage];,"L4: require(hasNextMessage(), ""No pending messages to relay"");","1: function relayNextMessage()\n2:         public\n3:     {\n4:         require(hasNextMessage(), ""No pending messages to relay"");\n5:         ReceivedMessage memory nextMessage = fullReceivedMessages[lastRelayedMessage];\n6:         require(nextMessage.timestamp + delay < block.timestamp, ""Message is not ready to be relayed. The delay period is not up yet!"");\n7: \n8:         xDomainMessageSender = nextMessage.sender;\n9:         (bool success,) = nextMessage.target.call{gas: nextMessage.gasLimit}(nextMessage.message);\n10:         require(success, ""Cross-domain message call reverted. Did you set your gas limit high enough?"");\n11:         lastRelayedMessage += 1;\n12:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Iosiro-Synthetix Phase 2 Smart Contract Audit/synthetix-fdd4782ebebd7b4892c8a68000f76708d5d1aa7b::FeePool,DAppSCAN-source/contracts/Iosiro-Synthetix Phase 2 Smart Contract Audit/synthetix-fdd4782ebebd7b4892c8a68000f76708d5d1aa7b/FeePool.sol,closeCurrentFeePeriod,DAppSCAN-source/contracts/Iosiro-Synthetix Phase 2 Smart Contract Audit/synthetix-fdd4782ebebd7b4892c8a68000f76708d5d1aa7b/FeePool.sol#L294-L341,i:closeCurrentFeePeriod,top50_weak_or_no_safety,0.9250064417274092,0,wrong_scope_or_other_vulnerability,reentrancy,require_assert_guard_before_call|contract_inheritance_modifier_summary,very high model score,require/assert/revert guard before call,"No clear external call line or call member is available, so this is not suitable as reentrancy supervision.",medium,,L7: FeePeriod memory secondLastFeePeriod = recentFeePeriods[FEE_PERIOD_LENGTH - 2];,"L5: require(recentFeePeriods[0].startTime <= (now - feePeriodDuration), ""It is too early to close the current fee period"");","1: function closeCurrentFeePeriod()\n2:         external\n3:         optionalProxy_onlyFeeAuthority\n4:     {\n5:         require(recentFeePeriods[0].startTime <= (now - feePeriodDuration), ""It is too early to close the current fee period"");\n6: \n7:         FeePeriod memory secondLastFeePeriod = recentFeePeriods[FEE_PERIOD_LENGTH - 2];\n8:         FeePeriod memory lastFeePeriod = recentFeePeriods[FEE_PERIOD_LENGTH - 1];\n9: \n10:         // Any unclaimed fees from the last period in the array roll back one period.\n11:         // Because of the subtraction here, they're effectively proportionally redistributed to those who\n12:         // have already claimed from the old period, available in the new period.\n13:         // The subtraction is important so we don't create a ticking time bomb of an ever growing\n14:         // number of fees that can never decrease and will eventually overflow at the end of the fee pool.",phase1b_packet
