split,graph_id,contract,interaction_id,function,label,status,confidence,source_path,source_span,external_calls,state_vars
train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,EnjoyoorsVaultWithdrawals,i:_claimWithdrawal,_claimWithdrawal,1,scope_default,,EnjoyoorsVaultWithdrawals.sol,EnjoyoorsVaultWithdrawals.sol::_claimWithdrawal,"IERC20(token).safeTransfer(request.user, amount)",lastRequestId|withdrawalRequests
train,FORGE::vfp_00125::Aori,Aori,i:emergencyCancel,emergencyCancel,0,scope_default,,Aori.sol,Aori.sol#L212-L234,"balances[order.offerer][tokenAddress].decreaseLockedNoRevert(amountToReturn)|tokenAddress.safeTransfer(recipient, amountToReturn)",ENDPOINT_ID|balances|orderStatus|orders
train,FORGE::vfp_00125::Aori,Aori,i:emergencyWithdraw,emergencyWithdraw,0,scope_default,,Aori.sol,Aori.sol#L262-L287,"balances[user][token].decreaseLockedNoRevert(uint128(amount))|token.safeTransfer(recipient, amount)",balances
train,FORGE::vfp_00125::Aori,Aori,i:deposit,deposit,0,scope_default,,Aori.sol,Aori.sol#L346-L377,"hook.isSome()|order.validateDeposit(
            signature,
            _hashOrder712(order),
            ENDPOINT_ID,
            thi|order.isSingleChainSwap()",ENDPOINT_ID|isSupportedChain|orderStatus|orders
train,FORGE::vfp_00125::Aori,Aori,i:_postDeposit,_postDeposit,0,scope_default,,Aori.sol,Aori.sol#L452-L465,balances[order.offerer][depositToken].lock(SafeCast.toUint128(depositAmount)),balances|orderStatus|orders
train,FORGE::vfp_00125::Aori,Aori,i:depositNative,depositNative,0,scope_default,,Aori.sol,Aori.sol#L473-L490,"order.inputToken.isNativeToken()|order.validateDeposit(
            signature,
            _hashOrder712(order),
            ENDPOINT_ID,
            thi",ENDPOINT_ID|isSupportedChain|orderStatus
train,FORGE::vfp_00125::Aori,Aori,i:fill,fill,0,scope_default,,Aori.sol,Aori.sol#L535-L573,"order.validateFill(
            ENDPOINT_ID,
            this.orderStatus
        )|order.outputToken.isNativeToken()|order.outputToken.safeTransfer(order.recipient, order.outputAmount)|order.outputToken.safeTransfer(msg.sender, surplus)|IERC20(order.outputToken).safeTransfer(order.recipient, order.outputAmount)|IERC20(order.outputToken).safeTransfer(msg.sender, surplus)|order.isSingleChainSwap()",ENDPOINT_ID|orderStatus
train,FORGE::vfp_00125::Aori,Aori,i:_settleSingleChainSwap,_settleSingleChainSwap,0,scope_default,,Aori.sol,Aori.sol#L714-L751,"balances[order.offerer][order.inputToken].decreaseLockedNoRevert(
                uint128(order.inputAmount)
           |balances[solver][order.inputToken].increaseUnlockedNoRevert(
                uint128(order.inputAmount)
            )|balances[order.offerer][order.inputToken].validateBalanceTransferOrRevert(
            initialOffererLocked,
           ",balances|orderStatus
train,FORGE::vfp_00125::Aori,Aori,i:cancel,cancel,1,scope_default,,Aori.sol,Aori.sol::cancel,"orderToCancel.validateCancel(
            orderId,
            ENDPOINT_ID,
            this.orderStatus,
            ms",ENDPOINT_ID|isAllowedSolver|orderStatus
train,FORGE::vfp_00125::Aori,Aori,i:_cancel,_cancel,0,scope_default,,Aori.sol,Aori.sol#L814-L838,"balances[recipient][tokenAddress].decreaseLockedNoRevert(amountToReturn)|tokenAddress.safeTransfer(recipient, amountToReturn)",balances|orderStatus|orders
train,FORGE::vfp_00125::Aori,Aori,i:withdraw,withdraw,0,scope_default,,Aori.sol,Aori.sol#L859-L876,"token.safeTransfer(holder, amount)",balances
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,i:withdrawUSR,withdrawUSR,0,scope_default,,P2pResolvProxy.sol,P2pResolvProxy.sol#L105-L122,IERC20(i_stUSR).balanceOf(address(this)),i_USR|i_stUSR
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,i:initiateWithdrawalRESOLV,initiateWithdrawalRESOLV,0,scope_default,,P2pResolvProxy.sol,P2pResolvProxy.sol#L148-L152,IResolvStaking(i_stRESOLV).initiateWithdrawal(_amount),i_stRESOLV
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,i:initiateWithdrawalRESOLVAccruedRewards,initiateWithdrawalRESOLVAccruedRewards,1,scope_default,,P2pResolvProxy.sol,P2pResolvProxy.sol::initiateWithdrawalRESOLVAccruedRewards,IResolvStaking(i_stRESOLV).initiateWithdrawal(uint256(amount)),i_stRESOLV
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,i:withdrawRESOLV,withdrawRESOLV,1,scope_default,,P2pResolvProxy.sol,P2pResolvProxy.sol::withdrawRESOLV,IResolvStaking(i_stRESOLV).claimEnabled(),i_RESOLV|i_stRESOLV
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,i:claimStakedTokenDistributor,claimStakedTokenDistributor,0,scope_default,,P2pResolvProxy.sol,P2pResolvProxy.sol#L176-L196,"i_stakedTokenDistributor.claim(_index, _amount, _merkleProof)",i_stakedTokenDistributor
train,FORGE::vfp_00116::L1Mailbox,L1Mailbox,i:relayMsgWithProof,relayMsgWithProof,0,scope_default,,L1Mailbox.sol,L1Mailbox.sol#L139-L160,IRollup(rollup).getL2MsgRoot(proof_.batchIndex)|target_.call{value : value_}(msg_),rollup
train,FORGE::vfp_00116::L1Mailbox,L1Mailbox,i:withdrawDepositFee,withdrawDepositFee,0,scope_default,,L1Mailbox.sol,L1Mailbox.sol#L162-L168,"_target.call{value : _amount}("""")",feeBalance
train,FORGE::vfp_00116::L1Mailbox,L1Mailbox,i:getMsg,getMsg,1,scope_default,,L1Mailbox.sol,L1Mailbox.sol::getMsg#204-215,msgQueue.at(_l1MsgCount - lastestQueueIndex - 1),lastestQueueIndex|msgQueue|pendingQueueIndex|stableRollingHash
train,FORGE::vfp_00116::L1Mailbox,L1Mailbox,i:_appendMsg,_appendMsg,0,scope_default,,L1Mailbox.sol,L1Mailbox.sol#L227-L231,msgQueue.pushBack(msg_),msgQueue|pendingQueueIndex
train,FORGE::vfp_00116::L2Mailbox,L2Mailbox,i:relayMsg,relayMsg,0,review_confirmed_protected_negative,high,L2Mailbox.sol,L2Mailbox.sol#L85-L108,target_.call{value : value_}(msg_),l1MailBox
train,FORGE::vfp_00116::L1ETHBridge,L1ETHBridge,i:finalizeWithdraw,finalizeWithdraw,0,review_confirmed_protected_negative,high,L1ETHBridge.sol,L1ETHBridge.sol#L29-L42,"to_.call{value: amount_}("""")",balance
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:shutdownMarket,shutdownMarket,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L256-L260,IContractsRegister(contractsRegister).shutdownMarket(pool),contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:shutdownCreditSuite,shutdownCreditSuite,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L326-L336,ICreditManagerV3(creditManager).pool()|IContractsRegister(contractsRegister).shutdownCreditSuite(creditManager),contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:updatePriceOracle,updatePriceOracle,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L371-L396,"IContractsRegister(contractsRegister).getPriceOracle(pool)|IContractsRegister(contractsRegister).setPriceOracle(pool, priceOracle)",_creditFactories|_marketFactories|contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:updateLossPolicy,updateLossPolicy,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L525-L548,"IContractsRegister(contractsRegister).getLossPolicy(pool)|IContractsRegister(contractsRegister).setLossPolicy(pool, lossPolicy)",_creditFactories|_marketFactories|contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:getFactoryTargets,getFactoryTargets,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L595-L597,_factoryTargets[factory][suite].values(),_factoryTargets
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:getPeripheryContracts,getPeripheryContracts,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L667-L669,_peripheryContracts[domain].values(),_peripheryContracts
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:isPeripheryContract,isPeripheryContract,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L671-L673,_peripheryContracts[domain].contains(peripheryContract),_peripheryContracts
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:addPeripheryContract,addPeripheryContract,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L675-L683,IBytecodeRepository(bytecodeRepository).deployedContracts(peripheryContract)|_peripheryContracts[domain].add(peripheryContract),_peripheryContracts
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:removePeripheryContract,removePeripheryContract,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L685-L690,_peripheryContracts[domain].remove(peripheryContract),_peripheryContracts
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_grantRole,_grantRole,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L729-L731,"IACL(acl).grantRole(role, account)",acl
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_revokeRole,_revokeRole,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L734-L736,"IACL(acl).revokeRole(role, account)",acl
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_registerMarket,_registerMarket,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L739-L741,"IContractsRegister(contractsRegister).registerMarket(pool, priceOracle, lossPolicy)",contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_registerCreditSuite,_registerCreditSuite,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L744-L746,IContractsRegister(contractsRegister).registerCreditSuite(creditManager),contractsRegister
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_authorizeFactory,_authorizeFactory,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L779-L783,_factoryTargets[factory][suite].add(target),_authorizedFactories|_factoryTargets
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_unauthorizeFactory,_unauthorizeFactory,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L785-L789,_factoryTargets[factory][suite].remove(target),_authorizedFactories|_factoryTargets
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_migrateFactoryTargets,_migrateFactoryTargets,1,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol::_migrateFactoryTargets,targets.length()|targets.at(i)|targets.remove(target)|_factoryTargets[newFactory][suite].add(target),_authorizedFactories|_factoryTargets
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,i:_registeredCreditManagers,_registeredCreditManagers,0,scope_default,,MarketConfigurator.sol,MarketConfigurator.sol#L840-L842,IContractsRegister(contractsRegister).getCreditManagers(pool),contractsRegister
train,FORGE::vfp_00175::P2pYieldProxy,P2pYieldProxy,i:_deposit,_deposit,0,scope_default,,P2pYieldProxy.sol,P2pYieldProxy.sol#L151-L197,"IERC20(_asset).balanceOf(address(this))|IERC20(_asset).safeTransferFrom(
            client,
            address(this),
            _amount
        )|IERC20(_asset).balanceOf(address(this))|IERC20(_asset).safeIncreaseAllowance(
            _yieldProtocolAddress,
            actualAmount
        )",s_client|s_totalDeposited
train,FORGE::vfp_00175::P2pYieldProxy,P2pYieldProxy,i:_withdraw,_withdraw,1,scope_default,,P2pYieldProxy.sol,P2pYieldProxy.sol::_withdraw,"IERC20(_asset).balanceOf(address(this))|IERC20(_asset).balanceOf(address(this))|IERC20(_asset).safeTransfer(i_p2pTreasury, p2pAmount)|IERC20(_asset).safeTransfer(s_client, clientAmount)",i_p2pTreasury|s_client|s_totalDeposited|s_totalWithdrawn
train,FORGE::vfp_00007::Folio,Folio,i:initialize,initialize,0,scope_default,,Folio.sol,Folio.sol#L162-L202,IERC20(_basicDetails.assets[i]).balanceOf(address(this)),auctionLength|daoFeeRegistry|feeRecipients|lastPoke|mandate|mintFee|tvlFee
train,FORGE::vfp_00007::Folio,Folio,i:mint,mint,1,scope_default,,Folio.sol,Folio.sol::mint,"daoFeeRegistry.getFeeDetails(
            address(this)
        )|SafeERC20.safeTransferFrom(IERC20(_assets[i]), msg.sender, address(this), _amounts[i])",daoFeeRegistry|daoPendingFeeShares|feeRecipientsPendingFeeShares|mintFee
train,FORGE::vfp_00007::Folio,Folio,i:distributeFees,distributeFees,1,scope_default,,Folio.sol,Folio.sol::distributeFees,daoFeeRegistry.getFeeDetails(address(this)),daoFeeRegistry|daoPendingFeeShares|feeRecipients|feeRecipientsPendingFeeShares
train,FORGE::vfp_00007::Folio,Folio,i:getRebalance,getRebalance,1,scope_default,,Folio.sol,Folio.sol::getRebalance,basket.values(),basket|rebalance
train,FORGE::vfp_00007::Folio,Folio,i:startRebalance,startRebalance,1,scope_default,,Folio.sol,Folio.sol::startRebalance,basket.values(),REBALANCE_MANAGER|basket|rebalance
train,FORGE::vfp_00007::Folio,Folio,i:openAuction,openAuction,0,scope_default,,Folio.sol,Folio.sol#L565-L612,"AuctionLib.AuctionArgs({
            auctionId: auctionId,
            sellToken: sellToken,
            buyToken: buyTo|AuctionLib.openAuction(rebalance, auctions, auctionEnds, totalSupply(), auctionLength, args)",AUCTION_LAUNCHER|auctionEnds|auctionLength|auctions|auctions_DEPRECATED|nextAuctionId|rebalance
train,FORGE::vfp_00007::Folio,Folio,i:openAuctionUnrestricted,openAuctionUnrestricted,0,scope_default,,Folio.sol,Folio.sol#L617-L652,"AuctionLib.AuctionArgs({
            auctionId: auctionId,
            sellToken: sellToken,
            buyToken: buyTo|AuctionLib.openAuction(rebalance, auctions, auctionEnds, totalSupply(), auctionLength, args)",auctionEnds|auctionLength|auctions|auctions_DEPRECATED|nextAuctionId|rebalance
train,FORGE::vfp_00007::Folio,Folio,i:getBid,getBid,0,scope_default,,Folio.sol,Folio.sol#L660-L680,"AuctionLib.getBid(
            auction,
            totalSupply(),
            timestamp == 0 ? block.timestamp : timest",auctions|rebalance
train,FORGE::vfp_00007::Folio,Folio,i:bid,bid,0,scope_default,,Folio.sol,Folio.sol#L691-L732,"AuctionLib.getBid(
            auction,
            _totalSupply,
            block.timestamp,
            auction.sellT|auction.sellToken.balanceOf(address(this))|auction.buyToken.balanceOf(address(this))|AuctionLib.bid(
                auction,
                auctionEnds[auction.rebalanceNonce],
                _totalSupp",auctionEnds|auctions|rebalance
