model,variant,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
Function-MLP,augmented_data,42,0.5625,0.875,0.9375,0.7296401515151515,0.5,0.8541666666666666,0.9166666666666666,16
Function-MLP,augmented_data,43,0.625,0.875,0.9375,0.7504734848484849,0.5208333333333333,0.8541666666666666,0.9166666666666666,16
Function+Features MLP,augmented_data,42,0.5,0.75,0.9375,0.6671401515151515,0.4375,0.7083333333333333,0.9375,16
Function+Features MLP,augmented_data,43,0.5,0.75,0.9375,0.6640151515151516,0.4375,0.7083333333333333,0.9375,16
Sequence-BiGRU,augmented_data,42,0.5,0.6875,0.875,0.6463068181818181,0.4375,0.6458333333333333,0.875,16
Sequence-BiGRU,augmented_data,43,0.625,0.6875,0.9375,0.7077651515151515,0.5625,0.6458333333333333,0.9375,16
CallGraph-GAT,augmented_data,42,0.5625,0.75,0.9375,0.6983901515151515,0.5,0.7083333333333333,0.9166666666666666,16
CallGraph-GAT,augmented_data,43,0.4375,0.8125,0.9375,0.6410984848484849,0.375,0.7708333333333333,0.9166666666666666,16
Pairwise-RGCN,augmented_data,42,0.4375,0.625,0.875,0.6032512626262627,0.375,0.625,0.8333333333333333,16
Pairwise-RGCN,augmented_data,43,0.3125,0.625,0.8125,0.5335836038961039,0.25,0.625,0.7916666666666666,16
Pairwise-GAT,augmented_data,42,0.625,0.75,0.9375,0.7265151515151516,0.5625,0.7083333333333333,0.9166666666666666,16
Pairwise-GAT,augmented_data,43,0.625,0.75,0.9375,0.7265151515151516,0.5625,0.7083333333333333,0.9166666666666666,16
Current HyperVul,augmented_data,42,0.4375,0.8125,0.9375,0.6520833333333333,0.375,0.7916666666666666,0.9166666666666666,16
Current HyperVul,augmented_data,43,0.625,0.875,0.9375,0.7621527777777778,0.5208333333333333,0.8541666666666666,0.9166666666666666,16
HyperVul-RiskSafety,gated,42,0.5625,0.9375,0.9375,0.7348484848484849,0.5,0.9166666666666666,0.9166666666666666,16
HyperVul-RiskSafety,gated,43,0.5625,0.8125,0.8125,0.6848484848484848,0.4583333333333333,0.7916666666666666,0.7916666666666666,16
