model,variant,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
Function-MLP,augmented_data,42,contract,max_f1,max_f1,0.098,0.2222222222222222,0.6956521739130435,0.125,0.5,0.2,0.3125,0.1947490694307305,0.7022664835164835,8,126,56,8,198,16,182
Function-MLP,augmented_data,42,contract,target_recall_90,target_recall,0.053,0.17293233082706766,1.0,0.11403508771929824,0.8125,0.19999999999999998,0.3651685393258427,0.1947490694307305,0.7022664835164835,13,81,101,3,198,16,182
Function-MLP,augmented_data,42,contract,target_precision_80,target_precision,0.377,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.1947490694307305,0.7022664835164835,0,182,0,16,198,16,182
Function-MLP,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.184,,,0.3181818181818182,0.4375,0.3684210526315789,0.4069767441860465,0.1947490694307305,0.7022664835164835,7,167,15,9,198,16,182
Function-MLP,augmented_data,43,contract,max_f1,max_f1,0.099,0.22033898305084745,0.5652173913043478,0.13114754098360656,0.5,0.20779220779220778,0.32,0.2401822879493043,0.7158310439560439,8,129,53,8,198,16,182
Function-MLP,augmented_data,43,contract,target_recall_90,target_recall,0.055,0.1796875,1.0,0.12149532710280374,0.8125,0.21138211382113822,0.3801169590643274,0.2401822879493043,0.7158310439560439,13,88,94,3,198,16,182
Function-MLP,augmented_data,43,contract,target_precision_80,target_precision,0.319,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.2401822879493043,0.7158310439560439,0,182,0,16,198,16,182
Function-MLP,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.17500000000000002,,,0.3181818181818182,0.4375,0.3684210526315789,0.4069767441860465,0.2401822879493043,0.7158310439560439,7,167,15,9,198,16,182
Function+Features MLP,augmented_data,42,contract,max_f1,max_f1,0.06,0.17894736842105263,0.7391304347826086,0.12941176470588237,0.6875,0.21782178217821782,0.3691275167785235,0.2651681834678913,0.7160027472527473,11,108,74,5,198,16,182
Function+Features MLP,augmented_data,42,contract,target_recall_90,target_recall,0.035,0.15333333333333332,1.0,0.11904761904761904,0.9375,0.21126760563380279,0.39473684210526316,0.2651681834678913,0.7160027472527473,15,71,111,1,198,16,182
Function+Features MLP,augmented_data,42,contract,target_precision_80,target_precision,0.37,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.2651681834678913,0.7160027472527473,0,182,0,16,198,16,182
Function+Features MLP,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.217,,,0.42857142857142855,0.375,0.39999999999999997,0.3846153846153846,0.2651681834678913,0.7160027472527473,6,174,8,10,198,16,182
Function+Features MLP,augmented_data,43,contract,max_f1,max_f1,0.033,0.18556701030927836,0.782608695652174,0.12903225806451613,0.75,0.2201834862385321,0.3821656050955414,0.2287885458563107,0.7153159340659341,12,101,81,4,198,16,182
Function+Features MLP,augmented_data,43,contract,target_recall_90,target_recall,0.02,0.15862068965517243,1.0,0.112,0.875,0.19858156028368795,0.3703703703703704,0.2287885458563107,0.7153159340659341,14,71,111,2,198,16,182
Function+Features MLP,augmented_data,43,contract,target_precision_80,target_precision,0.406,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.2287885458563107,0.7153159340659341,0,182,0,16,198,16,182
Function+Features MLP,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.162,,,0.4,0.375,0.38709677419354843,0.37974683544303794,0.2287885458563107,0.7153159340659341,6,173,9,10,198,16,182
Sequence-BiGRU,augmented_data,42,contract,max_f1,max_f1,0.079,0.1678832116788321,1.0,0.1111111111111111,0.6875,0.19130434782608693,0.33742331288343563,0.2714068655198251,0.6754807692307693,11,94,88,5,198,16,182
Sequence-BiGRU,augmented_data,42,contract,target_recall_90,target_recall,0.079,0.1678832116788321,1.0,0.1111111111111111,0.6875,0.19130434782608693,0.33742331288343563,0.2714068655198251,0.6754807692307693,11,94,88,5,198,16,182
Sequence-BiGRU,augmented_data,42,contract,target_precision_80,target_precision,0.079,0.1678832116788321,1.0,0.1111111111111111,0.6875,0.19130434782608693,0.33742331288343563,0.2714068655198251,0.6754807692307693,11,94,88,5,198,16,182
