model,variant,threshold_policy,n,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_fmt,recall_fmt,f1_fmt,f2_fmt,pr_auc_fmt,roc_auc_fmt
CallGraph-GAT,augmented_data,max_f1,2,0.1350806451612903,0.010080645161290328,0.5625,0.0,0.21765734265734268,0.013111888111888126,0.3440126050420168,0.013130252100840345,0.22644635477265868,0.05505118755095924,0.7041552197802199,0.024553571428571452,13.51 +/- 1.01,56.25 +/- 0.00,21.77 +/- 1.31,34.40 +/- 1.31,22.64 +/- 5.51,70.42 +/- 2.46
CallGraph-GAT,augmented_data,target_precision_80,2,0.1153250773993808,0.007481940144478838,0.78125,0.09375,0.20091264667535852,0.014471968709256863,0.3622918640855557,0.030966562880736376,0.22644635477265868,0.05505118755095924,0.7041552197802199,0.024553571428571452,11.53 +/- 0.75,78.12 +/- 9.38,20.09 +/- 1.45,36.23 +/- 3.10,22.64 +/- 5.51,70.42 +/- 2.46
CallGraph-GAT,augmented_data,target_recall_90,2,0.11048326337315681,0.012323754170702826,0.9375,0.0625,0.19707778255264288,0.018306832831972514,0.3728406672276394,0.020417759738652647,0.22644635477265868,0.05505118755095924,0.7041552197802199,0.024553571428571452,11.05 +/- 1.23,93.75 +/- 6.25,19.71 +/- 1.83,37.28 +/- 2.04,22.64 +/- 5.51,70.42 +/- 2.46
CallGraph-GAT,augmented_data,test_oracle_max_f1,2,0.33838383838383834,0.11616161616161616,0.34375,0.03125,0.3247200689061154,0.045650301464254917,0.33150183150183155,0.0018315018315017972,0.22644635477265868,0.05505118755095924,0.7041552197802199,0.024553571428571452,33.84 +/- 11.62,34.38 +/- 3.12,32.47 +/- 4.57,33.15 +/- 0.18,22.64 +/- 5.51,70.42 +/- 2.46
Current HyperVul,augmented_data,max_f1,2,0.12312312312312312,0.012012012012012019,0.625,0.0,0.20545073375262055,0.016771488469601692,0.3434970826275174,0.018821757952192708,0.1322712396584989,0.0001180732116328187,0.6541037087912087,0.0036916208791208938,12.31 +/- 1.20,62.50 +/- 0.00,20.55 +/- 1.68,34.35 +/- 1.88,13.23 +/- 0.01,65.41 +/- 0.37
Current HyperVul,augmented_data,target_precision_80,2,0.1,0.1,0.03125,0.03125,0.047619047619047616,0.047619047619047616,0.036231884057971016,0.036231884057971016,0.1322712396584989,0.0001180732116328187,0.6541037087912087,0.0036916208791208938,10.00 +/- 10.00,3.12 +/- 3.12,4.76 +/- 4.76,3.62 +/- 3.62,13.23 +/- 0.01,65.41 +/- 0.37
Current HyperVul,augmented_data,target_recall_90,2,0.09477662201601436,0.0016089201526603356,0.96875,0.03125,0.17265785062395228,0.003166325200223516,0.34057971014492755,0.007246376811594235,0.1322712396584989,0.0001180732116328187,0.6541037087912087,0.0036916208791208938,9.48 +/- 0.16,96.88 +/- 3.12,17.27 +/- 0.32,34.06 +/- 0.72,13.23 +/- 0.01,65.41 +/- 0.37
Current HyperVul,augmented_data,test_oracle_max_f1,2,0.1553281955886261,0.014483125166090877,0.59375,0.03125,0.24537731134432783,0.015492253873063466,0.3774928774928775,0.0071225071225071435,0.1322712396584989,0.0001180732116328187,0.6541037087912087,0.0036916208791208938,15.53 +/- 1.45,59.38 +/- 3.12,24.54 +/- 1.55,37.75 +/- 0.71,13.23 +/- 0.01,65.41 +/- 0.37
Function+Features MLP,augmented_data,max_f1,2,0.12922201138519923,0.00018975332068311979,0.71875,0.03125,0.21900263420837496,0.0011808520301571368,0.37564656093703247,0.006519044158508958,0.246978364662101,0.018189818805790292,0.7156593406593407,0.0003434065934065922,12.92 +/- 0.02,71.88 +/- 3.12,21.90 +/- 0.12,37.56 +/- 0.65,24.70 +/- 1.82,71.57 +/- 0.03
Function+Features MLP,augmented_data,target_precision_80,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246978364662101,0.018189818805790292,0.7156593406593407,0.0003434065934065922,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,24.70 +/- 1.82,71.57 +/- 0.03
Function+Features MLP,augmented_data,target_recall_90,2,0.11552380952380953,0.0035238095238095193,0.90625,0.03125,0.20492458295874538,0.0063430226750574165,0.38255360623781676,0.01218323586744638,0.246978364662101,0.018189818805790292,0.7156593406593407,0.0003434065934065922,11.55 +/- 0.35,90.62 +/- 3.12,20.49 +/- 0.63,38.26 +/- 1.22,24.70 +/- 1.82,71.57 +/- 0.03
Function+Features MLP,augmented_data,test_oracle_max_f1,2,0.41428571428571426,0.014285714285714263,0.375,0.0,0.3935483870967742,0.006451612903225767,0.3821811100292113,0.0024342745861733184,0.246978364662101,0.018189818805790292,0.7156593406593407,0.0003434065934065922,41.43 +/- 1.43,37.50 +/- 0.00,39.35 +/- 0.65,38.22 +/- 0.24,24.70 +/- 1.82,71.57 +/- 0.03
Function-MLP,augmented_data,max_f1,2,0.1280737704918033,0.003073770491803282,0.5,0.0,0.2038961038961039,0.0038961038961038835,0.31625000000000003,0.0037500000000000033,0.2174656786900174,0.022716609259286896,0.7090487637362637,0.0067822802197802234,12.81 +/- 0.31,50.00 +/- 0.00,20.39 +/- 0.39,31.63 +/- 0.38,21.75 +/- 2.27,70.90 +/- 0.68
Function-MLP,augmented_data,target_precision_80,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2174656786900174,0.022716609259286896,0.7090487637362637,0.0067822802197802234,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,21.75 +/- 2.27,70.90 +/- 0.68
Function-MLP,augmented_data,target_recall_90,2,0.11776520741105098,0.0037301196917527493,0.8125,0.0,0.2056910569105691,0.00569105691056912,0.37264274919508505,0.007474209869242354,0.2174656786900174,0.022716609259286896,0.7090487637362637,0.0067822802197802234,11.78 +/- 0.37,81.25 +/- 0.00,20.57 +/- 0.57,37.26 +/- 0.75,21.75 +/- 2.27,70.90 +/- 0.68
Function-MLP,augmented_data,test_oracle_max_f1,2,0.3181818181818182,0.0,0.4375,0.0,0.3684210526315789,0.0,0.4069767441860465,0.0,0.2174656786900174,0.022716609259286896,0.7090487637362637,0.0067822802197802234,31.82 +/- 0.00,43.75 +/- 0.00,36.84 +/- 0.00,40.70 +/- 0.00,21.75 +/- 2.27,70.90 +/- 0.68
HyperVul-RiskSafety,gated,max_f1,2,0.07870370370370369,0.023148148148148147,0.40625,0.28125,0.12717121588089328,0.05024813895781637,0.20988372093023255,0.10988372093023253,0.1448934824047688,0.0123116916761639,0.6145260989010989,0.050995879120879106,7.87 +/- 2.31,40.62 +/- 28.12,12.72 +/- 5.02,20.99 +/- 10.99,14.49 +/- 1.23,61.45 +/- 5.10
HyperVul-RiskSafety,gated,target_precision_80,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1448934824047688,0.0123116916761639,0.6145260989010989,0.050995879120879106,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,14.49 +/- 1.23,61.45 +/- 5.10
HyperVul-RiskSafety,gated,target_recall_90,2,0.08781783350748867,0.007009752699407866,0.84375,0.15625,0.15809968847352024,0.008566978193146418,0.3054495335029686,0.00010602205258691821,0.1448934824047688,0.0123116916761639,0.6145260989010989,0.050995879120879106,8.78 +/- 0.70,84.38 +/- 15.62,15.81 +/- 0.86,30.54 +/- 0.01,14.49 +/- 1.23,61.45 +/- 5.10
HyperVul-RiskSafety,gated,test_oracle_max_f1,2,0.17281399046104928,0.04340222575516693,0.59375,0.09375,0.259854287315524,0.04203250513730618,0.3825835603694598,0.013456043590936273,0.1448934824047688,0.0123116916761639,0.6145260989010989,0.050995879120879106,17.28 +/- 4.34,59.38 +/- 9.38,25.99 +/- 4.20,38.26 +/- 1.35,14.49 +/- 1.23,61.45 +/- 5.10
Pairwise-GAT,augmented_data,max_f1,2,0.14036500268384328,0.004562533548040801,0.65625,0.03125,0.23104912067919953,0.004244996967859294,0.37762509722582316,0.0016852476017629736,0.2078961361835982,0.006166511433122135,0.7156593406593407,0.010302197802197877,14.04 +/- 0.46,65.62 +/- 3.12,23.10 +/- 0.42,37.76 +/- 0.17,20.79 +/- 0.62,71.57 +/- 1.03
Pairwise-GAT,augmented_data,target_precision_80,2,0.18463302752293578,0.06536697247706422,0.4375,0.375,0.15400000000000003,0.054000000000000006,0.22462597755865352,0.15109656579394765,0.2078961361835982,0.006166511433122135,0.7156593406593407,0.010302197802197877,18.46 +/- 6.54,43.75 +/- 37.50,15.40 +/- 5.40,22.46 +/- 15.11,20.79 +/- 0.62,71.57 +/- 1.03
Pairwise-GAT,augmented_data,target_recall_90,2,0.12153778942769769,0.0022717343818261237,0.8125,0.0,0.21143801652892563,0.0034380165289256137,0.38016896398399286,0.004446420631391723,0.2078961361835982,0.006166511433122135,0.7156593406593407,0.010302197802197877,12.15 +/- 0.23,81.25 +/- 0.00,21.14 +/- 0.34,38.02 +/- 0.44,20.79 +/- 0.62,71.57 +/- 1.03
Pairwise-GAT,augmented_data,test_oracle_max_f1,2,0.33436532507739936,0.018575851393188875,0.375,0.0,0.35324675324675325,0.010389610389610365,0.36590807675145026,0.004462293618920143,0.2078961361835982,0.006166511433122135,0.7156593406593407,0.010302197802197877,33.44 +/- 1.86,37.50 +/- 0.00,35.32 +/- 1.04,36.59 +/- 0.45,20.79 +/- 0.62,71.57 +/- 1.03
Pairwise-RGCN,augmented_data,max_f1,2,0.10966981132075472,0.01533018867924528,0.625,0.0,0.18613387978142076,0.02219945355191257,0.3206699346405229,0.026552287581699308,0.13845999085839383,0.002367718738325003,0.6480082417582418,0.014423076923076927,10.97 +/- 1.53,62.50 +/- 0.00,18.61 +/- 2.22,32.07 +/- 2.66,13.85 +/- 0.24,64.80 +/- 1.44
