scope,method,variant,evaluation,notes,n,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_fmt,recall_fmt,f1_fmt,f2_fmt,pr_auc_fmt,roc_auc_fmt
all_scope,CallGraph-GAT,clean_phase0d,validation_threshold,clean_split_baseline,5,0.21592218054074808,0.014266410092154541,0.6,0.08944271909999157,0.3158894878008538,0.02091647120087106,0.4396121724283245,0.041212763753528885,0.22752706569179065,0.0203852048136373,0.6754578754578754,0.010636911059144022,21.59 +/- 1.43,60.00 +/- 8.94,31.59 +/- 2.09,43.96 +/- 4.12,22.75 +/- 2.04,67.55 +/- 1.06
all_scope,Current HyperVul,clean_phase0d,validation_threshold,clean_split_baseline,5,0.24878986063088931,0.018660340606186935,0.6199999999999999,0.10456258094238745,0.3539697538326893,0.034642768529290824,0.4757700534076439,0.06141280351124938,0.314088540497114,0.0173067946364001,0.7206593406593408,0.008818562450938872,24.88 +/- 1.87,62.00 +/- 10.46,35.40 +/- 3.46,47.58 +/- 6.14,31.41 +/- 1.73,72.07 +/- 0.88
all_scope,Function+Features MLP,clean_phase0d,validation_threshold,clean_split_baseline,5,0.22542569562035633,0.017044260170768863,0.6666666666666666,0.036514837167011066,0.33608560670569765,0.016193246314850473,0.47757714705677473,0.012690019231179139,0.2228945248050515,0.015895217856228133,0.6959523809523811,0.013709179648065194,22.54 +/- 1.70,66.67 +/- 3.65,33.61 +/- 1.62,47.76 +/- 1.27,22.29 +/- 1.59,69.60 +/- 1.37
all_scope,Function-MLP,clean_phase0d,validation_threshold,clean_split_baseline,5,0.22539641943734012,0.011017857430176966,0.5466666666666666,0.0805536398239638,0.3183199340342197,0.021480597421534763,0.4240177867837442,0.04260462456089792,0.22893491239306077,0.010871587069274633,0.7048901098901099,0.011931443753865612,22.54 +/- 1.10,54.67 +/- 8.06,31.83 +/- 2.15,42.40 +/- 4.26,22.89 +/- 1.09,70.49 +/- 1.19
all_scope,HyperVul risk-vs-safety,concat,validation_threshold,phase1b_clean_no_augmentation,5,0.2925728991141449,0.02123946730719869,0.45999999999999996,0.06463573143221772,0.3556335532392562,0.02577403715991089,0.4107623561756145,0.04261136579002839,0.3795666838161417,0.024040355562043345,0.7462637362637363,0.008169073059156902,29.26 +/- 2.12,46.00 +/- 6.46,35.56 +/- 2.58,41.08 +/- 4.26,37.96 +/- 2.40,74.63 +/- 0.82
all_scope,HyperVul risk-vs-safety,gated,validation_threshold,phase1b_clean_no_augmentation,5,0.29197234950050344,0.013254471969057465,0.5,0.04216370213557838,0.36749475656942,0.008941524419230398,0.43637051826533835,0.021925136128955913,0.3431896542641909,0.042414439666208406,0.7245421245421246,0.0070468803158557055,29.20 +/- 1.33,50.00 +/- 4.22,36.75 +/- 0.89,43.64 +/- 2.19,34.32 +/- 4.24,72.45 +/- 0.70
all_scope,HyperVul risk-vs-safety,rule_suppression,validation_threshold,phase1b_clean_no_augmentation,5,0.29366662235805024,0.05718056896294286,0.5533333333333332,0.14079141387961916,0.365398523439213,0.03207434617070522,0.45076470291408316,0.0711901646927041,0.2894622234100595,0.018287716211588752,0.7204395604395604,0.007874691162951086,29.37 +/- 5.72,55.33 +/- 14.08,36.54 +/- 3.21,45.08 +/- 7.12,28.95 +/- 1.83,72.04 +/- 0.79
all_scope,HyperVul risk-vs-safety,subtractive,validation_threshold,phase1b_clean_no_augmentation,5,0.2661467978026209,0.021660031418445247,0.5733333333333333,0.04898979485566355,0.3625808181212872,0.02324871696041778,0.4645446059453409,0.03050816252380374,0.32117768650126494,0.017316682302954522,0.720952380952381,0.0035260096853066436,26.61 +/- 2.17,57.33 +/- 4.90,36.26 +/- 2.32,46.45 +/- 3.05,32.12 +/- 1.73,72.10 +/- 0.35
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,test_oracle,shortcut_leaky_targeted_augmentation,5,0.5659487571252277,0.09632139625365037,0.7066666666666667,0.11035296904831235,0.6127571718342509,0.029292905389736834,0.6604011501271776,0.05295499452420797,0.6136307810482242,0.03646011406419922,0.8986813186813187,0.007967685544407624,56.59 +/- 9.63,70.67 +/- 11.04,61.28 +/- 2.93,66.04 +/- 5.30,61.36 +/- 3.65,89.87 +/- 0.80
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,validation_threshold,shortcut_leaky_targeted_augmentation,5,0.5479409300377042,0.07987746394534755,0.6533333333333333,0.14391355429948602,0.5785603145490944,0.03683687258489905,0.6153122684726341,0.08383646215155739,0.6136307810482242,0.03646011406419922,0.8986813186813187,0.007967685544407624,54.79 +/- 7.99,65.33 +/- 14.39,57.86 +/- 3.68,61.53 +/- 8.38,61.36 +/- 3.65,89.87 +/- 0.80
