split,graph_id,source,project,contract,contract_label,n_pos,n_neg,interaction_count,n_helper,n_edges,risky_negative_interactions,strong_low_level_or_delegatecall
train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,FORGE,vfp_00088,EnjoyoorsVaultWithdrawals,1,1,0,1,0,0,0,0
train,FORGE::vfp_00029::AntiSandwichHook,FORGE,vfp_00029,AntiSandwichHook,1,1,1,2,0,2,0,0
train,FORGE::vfp_00289::BasketToken,FORGE,vfp_00289,BasketToken,1,1,6,7,6,21,0,0
train,FORGE::vfp_00033::DineroWithdrawRequestManager,FORGE,vfp_00033,DineroWithdrawRequestManager,1,1,0,1,0,0,0,0
train,FORGE::vfp_00125::Aori,FORGE,vfp_00125,Aori,1,1,9,10,2,59,0,0
train,FORGE::vfp_00262::DIAExternalStaking,FORGE,vfp_00262,DIAExternalStaking,1,2,0,2,0,2,0,0
train,FORGE::vfp_00058::BasePositionManager,FORGE,vfp_00058,BasePositionManager,0,0,1,1,0,0,0,0
train,FORGE::vfp_00058::LikwidLendPosition,FORGE,vfp_00058,LikwidLendPosition,0,0,6,6,0,21,0,0
train,FORGE::vfp_00058::LikwidPairPosition,FORGE,vfp_00058,LikwidPairPosition,1,1,4,5,0,16,0,0
train,FORGE::vfp_00058::LikwidMarginPosition,FORGE,vfp_00058,LikwidMarginPosition,1,3,6,9,0,45,0,0
train,FORGE::vfp_00179::ZkStack_CustomGasToken_Adapter,FORGE,vfp_00179,ZkStack_CustomGasToken_Adapter,1,1,2,3,0,8,0,0
train,FORGE::vfp_00200::CSExitPenalties,FORGE,vfp_00200,CSExitPenalties,1,1,3,4,0,12,0,0
train,FORGE::vfp_00200::ValidatorExitDelayVerifier,FORGE,vfp_00200,ValidatorExitDelayVerifier,1,1,5,6,3,25,0,0
train,FORGE::vfp_00153::PolygonStrategy,FORGE,vfp_00153,PolygonStrategy,1,1,15,16,1,109,0,0
train,FORGE::vfp_00174::P2pResolvProxy,FORGE,vfp_00174,P2pResolvProxy,1,2,3,5,1,6,0,0
train,FORGE::vfp_00116::L1Mailbox,FORGE,vfp_00116,L1Mailbox,1,1,3,4,0,1,0,0
train,FORGE::vfp_00116::L2Mailbox,FORGE,vfp_00116,L2Mailbox,0,0,1,1,2,4,0,0
train,FORGE::vfp_00116::L1ETHBridge,FORGE,vfp_00116,L1ETHBridge,0,0,1,1,0,0,0,0
train,FORGE::vfp_00096::MarketConfigurator,FORGE,vfp_00096,MarketConfigurator,1,1,16,17,1,47,0,0
train,FORGE::vfp_00175::P2pYieldProxy,FORGE,vfp_00175,P2pYieldProxy,1,1,1,2,1,4,0,0
train,FORGE::vfp_00007::Folio,FORGE,vfp_00007,Folio,1,4,13,17,5,80,0,0
train,FORGE::vfp_00045::PDPVerifier,FORGE,vfp_00045,PDPVerifier,1,1,9,10,6,42,0,0
train,FORGE::vfp_00260::Arbitrum_Adapter,FORGE,vfp_00260,Arbitrum_Adapter,0,0,2,2,0,1,0,0
train,FORGE::vfp_00260::Ovm_WithdrawalHelper,FORGE,vfp_00260,Ovm_WithdrawalHelper,0,0,1,1,0,0,0,0
train,FORGE::vfp_00260::Optimism_Adapter,FORGE,vfp_00260,Optimism_Adapter,0,0,1,1,0,0,0,0
train,FORGE::vfp_00260::Router_Adapter,FORGE,vfp_00260,Router_Adapter,1,2,0,2,0,2,0,0
train,FORGE::vfp_00186::MerkleDistributor,FORGE,vfp_00186,MerkleDistributor,1,1,1,2,2,4,0,0
train,FORGE::vfp_00224::OidcRecoveryValidator,FORGE,vfp_00224,OidcRecoveryValidator,1,1,1,2,1,2,0,0
train,FORGE::vfp_00221::LimitOrderHook,FORGE,vfp_00221,LimitOrderHook,1,4,3,7,2,26,0,0
train,FORGE::vfp_00234::mErc20Host,FORGE,vfp_00234,mErc20Host,1,1,1,2,0,0,0,0
train,FORGE::vfp_00032::AbstractStakingStrategy,FORGE,vfp_00032,AbstractStakingStrategy,0,0,10,10,5,43,0,0
train,FORGE::vfp_00032::RewardManagerMixin,FORGE,vfp_00032,RewardManagerMixin,0,0,6,6,3,17,0,0
train,FORGE::vfp_00032::GenericERC4626WithdrawRequestManager,FORGE,vfp_00032,GenericERC4626WithdrawRequestManager,1,1,4,5,3,17,0,0
train,FORGE::vfp_00032::AbstractWithdrawRequestManager,FORGE,vfp_00032,AbstractWithdrawRequestManager,0,0,3,3,2,8,0,0
train,FORGE::vfp_00032::AbstractYieldStrategy,FORGE,vfp_00032,AbstractYieldStrategy,1,1,4,5,3,15,0,0
train,FORGE::vfp_00032::AbstractSingleSidedLP,FORGE,vfp_00032,AbstractSingleSidedLP,0,0,8,8,2,23,0,0
train,FORGE::vfp_00032::CurveConvex2Token,FORGE,vfp_00032,CurveConvex2Token,0,0,9,9,2,22,0,0
train,FORGE::vfp_00032::CurveConvexLib,FORGE,vfp_00032,CurveConvexLib,1,1,8,9,0,26,0,0
train,FORGE::vfp_00126::HubPool,FORGE,vfp_00126,HubPool,0,0,16,16,3,75,8,1
train,FORGE::vfp_00126::Arbitrum_Adapter,FORGE,vfp_00126,Arbitrum_Adapter,0,0,1,1,0,0,0,0
train,FORGE::vfp_00126::SpokePool,FORGE,vfp_00126,SpokePool,1,1,10,11,1,24,0,0
train,FORGE::vfp_00288::DelegationMetaSwapAdapter,FORGE,vfp_00288,DelegationMetaSwapAdapter,1,1,0,1,0,0,0,0
train,FORGE::vfp_00181::BaseCustomAccounting,FORGE,vfp_00181,BaseCustomAccounting,1,2,2,4,0,9,0,0
train,FORGE::vfp_00161::ChainCfg,FORGE,vfp_00161,ChainCfg,1,1,0,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishServicesContract,DAPP,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26,StakefishServicesContract,0,0,1,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishERC721Wrapper,DAPP,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26,StakefishERC721Wrapper,1,1,1,2,1,3,0,0
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishERC20Wrapper,DAPP,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26,StakefishERC20Wrapper,0,0,2,2,2,5,0,0
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishServicesContractFactory,DAPP,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26,StakefishServicesContractFactory,0,0,3,3,0,4,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d::UniswapV3Pool,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d,UniswapV3Pool,1,1,9,10,0,32,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d::TestUniswapV3ReentrantCallee,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d,TestUniswapV3ReentrantCallee,0,0,1,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::WETH9,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,WETH9,0,0,1,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::TokenTimelock,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,TokenTimelock,0,0,1,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyBase,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyBase,0,0,1,1,1,2,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyOwnership,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyOwnership,0,0,1,1,1,2,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyBreeding,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyBreeding,0,0,3,3,1,6,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::ClockAuctionBase,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,ClockAuctionBase,0,0,4,4,2,7,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::ClockAuction,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,ClockAuction,0,0,4,4,2,7,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::SiringClockAuction,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,SiringClockAuction,0,0,4,4,2,7,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::SaleClockAuction,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,SaleClockAuction,0,0,4,4,2,7,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyAuction,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyAuction,0,0,9,9,7,36,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyMinting,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyMinting,0,0,11,11,7,50,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyCore,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,KittyCore,0,0,11,11,7,50,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Migrations,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,Migrations,0,0,1,1,0,0,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::AdaptedERC721,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,AdaptedERC721,0,0,4,4,3,10,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::NonFungibleToken,DAPP,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,NonFungibleToken,0,0,4,4,3,10,0,0
