split,graph_id,dataset,source,project,contract,source_file,contract_label,n_pos,n_neg,interaction_count,vulnerability_types,scopes,primary_line_span,normalized_contract_hash,contract_signature_hash,function_hashes,family_key
train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,FORGE,FORGE,vfp_00088,EnjoyoorsVaultWithdrawals,EnjoyoorsVaultWithdrawals.sol,1,1,0,1,Reentrancy (heuristic),reentrancy,EnjoyoorsVaultWithdrawals.sol::_claimWithdrawal,dd27ed6be4cfd61e087ffdfadc3bd67d322f088d79d875afbdbc4cdc3327a7e0,37b159674786c3a880877ab04d2f232b8a14e61e9675e757a45e918bd14c77df,55409fae26cab96061eb10b7273bc777d43a27832e1e7457a39b033a5bcd0380,FORGE::vfp_00088
train,FORGE::vfp_00029::AntiSandwichHook,FORGE,FORGE,vfp_00029,AntiSandwichHook,AntiSandwichHook.sol,1,1,1,2,Front-running / Tx Order (heuristic),front-running,AntiSandwichHook.sol#L76,d7bf46e63cbfd80511dae5b1196bd1e5c2404e67b10309825e126bbce385fbb5,d7bf46e63cbfd80511dae5b1196bd1e5c2404e67b10309825e126bbce385fbb5,4412262142e9e0b04599c51c9f89dae3b07508f9621f9874998fc2963b2ee2f1|9b6060ddd38d0e2cd9ce20ec778d4cc6241342fee46446f71d50d01db924dabf,FORGE::vfp_00029
train,FORGE::vfp_00289::BasketToken,FORGE,FORGE,vfp_00289,BasketToken,BasketToken.sol,1,1,6,7,Reentrancy (heuristic),reentrancy,BasketToken.sol::proRataRedeem,f3ee0bbf30bffeae94907b91865b6c16e629b816f3970a93b06078b22222d6d6,086279a90e198d3ff930c0a02c4a33207b9e654d60cc7a69852dde7cede492e5,25a5eb0813cf370f28cad9ca2eadd09019b0952cf3e8742d35e0344399900d81|5d161a5d62bd1cf2dd3a1b1af2e101e0bb4a90d41551a11b0368f997cb8c082d|7da84bb794298666216e2526b153e20b31b694e7af354e1ffc436e9547d4a073|96f16eaf06aa861c3229a61d41142672ac37269cbcbc1ad0d3ea4eee90059759|9ce04c27763e2da4dcd2446ceb6d08c8bc107f1a49fd9eabc09e9968c34e9965|bdd6d82ce8572c6d7fc1b937ce9a97ee3f8bcb48a3ace3b6ff98c24bbedb3168|f7305d1371d617820a23bc4030651b77cc0c8b5b79270f862b8c8e7a2908368f,FORGE::vfp_00289
train,FORGE::vfp_00033::DineroWithdrawRequestManager,FORGE,FORGE,vfp_00033,DineroWithdrawRequestManager,Dinero.sol,1,1,0,1,Front-running / Tx Order (heuristic),front-running,src/withdraws/Dinero.sol::_initiateWithdrawImpl,ca4244e26a1cf0fd69f4f85fe7d19d322bc18b8b3f3de27bdeef775bfbe5df10,d765822db31916bc3535106416ce7e1e6f47c27c2b8208b6a64e451f3badf11f,9c166d7b349952d64bd98e97423973f67ec16697d2927e662acb124d1c83ae28,FORGE::vfp_00033
train,FORGE::vfp_00125::Aori,FORGE,FORGE,vfp_00125,Aori,Aori.sol,1,1,9,10,Reentrancy (heuristic),reentrancy,Aori.sol::cancel,50537fea7aecfe78ad432b846637671cf27651f3c8c59186beea8f553344cbe2,70d01e07f22e3b8e9a8dc553326cd55f0abf62eb2d734fb104cb50d11ab0f4ee,2f3cb740e5cf18026ab0c1eedbd924f6382667db7ff9d7f5358dddae67ece3bd|5ee5fd85be53cea25bb4324990e6f0734594d18459e6ab5aaa4b2b5c9fefdbff|65c554933f6de6e86ad5319926101091de0e7148c5d9477b5818186de3f975a1|7624f0d5fec6c8a7ae4672b10ce229e1ef77fe35fe894a2e854ee49c343b6494|7b1948fbe52b8532e08a3a1d75341d6b19beef4f7c0873e29fd29e7d3781de96|b2b104ad606d84921e5f59d2cdad6856f8fae8a2fb3846fce957e7169a72c98a|c849829ed2b2a66cb53e911c5869d4ca639c2b44a1b381d3915c7e3ff44b4b65|d06da90023f67935b66de0b48c216bf3a9f0a0f0dd672cc802b46fc651c6ecba|d6951c700e7a62dc714bc009371c3136b05c3ac55c6a21c1f2669f9a6876332c|e759353f4d63338c7b1b2c03e01402fc528b592a03eb4c49e6204cd0099b9482,FORGE::vfp_00125
train,FORGE::vfp_00262::DIAExternalStaking,FORGE,FORGE,vfp_00262,DIAExternalStaking,DIAExternalStaking.sol,1,2,0,2,Front-running / Tx Order (heuristic),front-running,DIAExternalStaking.sol::_stake,76f254b13a4026226afe361c2595a0d68d84e7797bfcccc88c66d8a49f78ad8d,31196941a3f5f97574e9cf2f18162c9050e7504b1e8908a4029f96d0bae78763,6723592925c99369f8e873505b2c8b29d0011ef7ebca3530aa850da189280962|f24007f11f53214d2761909e48335770e01e13a3bb5f05b5f0736409dfcabe7d,FORGE::vfp_00262
train,FORGE::vfp_00058::BasePositionManager,FORGE,FORGE,vfp_00058,BasePositionManager,,0,0,1,1,,,,8d20210c7268fd0573a09feef4bd2b9f34087c066ab294d44d8f0d250d7bc0b0,8d20210c7268fd0573a09feef4bd2b9f34087c066ab294d44d8f0d250d7bc0b0,0e4f0a3860dfed6be9d2cb726face64f72a12cf0ea92c3f0097473bb4f6b8b53,FORGE::vfp_00058
train,FORGE::vfp_00058::LikwidLendPosition,FORGE,FORGE,vfp_00058,LikwidLendPosition,,0,0,6,6,,,,029367efb9fd7c12fb1c289c9c6c6de822e0a35975c348e4da99ae87aea94af0,029367efb9fd7c12fb1c289c9c6c6de822e0a35975c348e4da99ae87aea94af0,01655408f53d328a68ae9127ddacc1cdf61391d6e0cee55e0c5793350381a669|08bae426d5010bdd20ece670657ca6711847a21fdb9830b6f80a44cf5ad19ae9|09153336196d16539eb9d1919e7e6bf170a2a08f6f4c3a02737a0180dd20f249|0e4f0a3860dfed6be9d2cb726face64f72a12cf0ea92c3f0097473bb4f6b8b53|760112240e35c5fca37d88704bee23fb91b85ff51591e1f8e6dc5ec654a5563e|c074e53a67948e933b375520cf95b2929242a3f3a7eb3e6c90189287a21b3439,FORGE::vfp_00058
train,FORGE::vfp_00058::LikwidPairPosition,FORGE,FORGE,vfp_00058,LikwidPairPosition,LikwidPairPosition.sol,1,1,4,5,Front-running / Tx Order (heuristic),front-running,LikwidPairPosition.sol::removeLiquidity#102,e7c1447c6bfcea83bc4f9523088d3f2d9e4eef8aa0ef7cb9da0c8be3ee339b2c,7d9b8ff9d54a36e014d160b3e4964525b629db8fcf1d90e5b4eb12019e1612aa,0e4f0a3860dfed6be9d2cb726face64f72a12cf0ea92c3f0097473bb4f6b8b53|577782dc1bd1bebb30a1eae1622fdf1305b49442adccd61735cbd6bbbf801cdb|7e50a3d1b7b60a1170be88d84ddc1382710b6d0b735a4b92d922bc00e253ae2a|822860aca38367ed1336741637e8804c1ae7c2538de147db6873a347bc0ec820|a930e1dd63a664e6249f4636c4f61e07dd45bbe2f33cb0dbdc51aad5a34eaea6,FORGE::vfp_00058
train,FORGE::vfp_00058::LikwidMarginPosition,FORGE,FORGE,vfp_00058,LikwidMarginPosition,LikwidMarginPosition.sol,1,3,6,9,"CWE:CWE-670,CWE-691",other,LikwidMarginPosition.sol::_margin#227,dc0d6364d9ebfe63efdaf6137d2b25d16984346c1cac475bab758b15600d9a00,d960def69ae07ea99cef1ca407da4dfa96ef4c9b477f5ebff6733922222863cc,0279a11f1e6b0e0c519c25319b3b441642b10eb0f3ccfd65f54d2d7d61e35d35|0da6cf2c1f70bc137cbf42a683ed0e2ca89e6d96dd9daafcbefd72556e61edc0|0e4f0a3860dfed6be9d2cb726face64f72a12cf0ea92c3f0097473bb4f6b8b53|55a22d109b7e73b9656604346a8f456836db39bad640c048b5ffc32aef4f00da|705903324e0a00703f9a89a44ef2faf7e11f3909197fe34d6d12c822084fd39d|7a91a925d20bb4ac60c7d29ad87b269ff12e5a5687cb5c9453226237ebf1ae86|bd3c8f74549e0c18107cfe54d09c7fbe97fa62c77ac4ae0e4d590782ad8fad28|ee646388572957f4010254b3e74d658253d5cdd8a9f0d1723d20d47bcbcede58|efffbbbdde0b08c9b80367083b3ab3eb9c3b623ebc2813fe0702b9b5907b93aa,FORGE::vfp_00058
