group_kind,group_key,member_count,splits,labels,members,recommended_action
exact_contract_hash,2cb70b7ce7dc1c8de3b191415505d95cf56bf3d9dd4966587e1d38d02d20b1c5,4,train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::WETH9 ; train:DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::WBNB ; train:DAPP::DAppSCAN-source/contracts/QuillAudits-Alium Finance Smart Contract/alium-farm-e37d6af39af68049c2684085f025385407b4bd55::WBNB ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-YieldProtocol/fyDai-4422fda75931f2bfea49f5041ec90dc026e5c03d::WETH9,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,253c83e45c58e1bc37e8fc008934654e3b5b3319a1a5152bc48d0f9e5cbd07e6,2,train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyBase ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyOwnership,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,fad344dbda46305afc67081407b7e9f2855b74778564c9f0b8de57949a8bbe97,4,train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::ClockAuctionBase ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::ClockAuction ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::SiringClockAuction ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::SaleClockAuction,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,8b70ff0079ab395571349f2c79129e041c048a93fad7c42643b10ae2ef02855f,2,train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyMinting ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::KittyCore,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,ce98735ec8b84c2b49a7f15c6bd73a99df3469ffab8e473bec015819b4b2eecd,9,test|train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Migrations ; train:DAPP::DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9::Migrations ; train:DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::Migrations ; train:DAPP::DAppSCAN-source/contracts/SlowMist-CFFv2 Smart Contract Security Audit Report/cff-contract-v2-c86bef3f13c7585f547f9cd0ca900f94664e96b7::Migrations ; train:DAPP::DAppSCAN-source/contracts/consensys-MCDEX_Mai_Protocol_V2/mai-protocol-v2-4b198083ec4ae2d6851e101fc44ea333eaa3cd92::Migrations ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Buffer/code::Migrations ; train:DAPP::DAppSCAN-source/contracts/QuillAudits-LTO Network-Token Sale/lto-erc20-token-02fa2620aef4c854675230b6544461961d47f968::Migrations ; train:DAPP::DAppSCAN-source/contracts/consensys-ENS_Permanent_Registrar/ethregistrar-e52abfc2799ac361364aca6135fc20f9175a29fd::Migrations ; test:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c::Migrations,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,94c07a35112de623b24119ef6683ec3de953c6c397f7c61d279d142d9caad8da,2,train,0,train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::AdaptedERC721 ; train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::NonFungibleToken,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,d4944d1d5ef63807d5c5cdb78d8365a86bc66ec31c84b03183aeded55a9c0e07,2,train,0,train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::MerkleRewards ; train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::OptimisticRewards,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,d67eda6b5c6faacbc332dcaf4750f3f8644e77c9ad639d53f17ba1ddcd873928,2,train,0,train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::VestingVault ; train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::TestVestingVault,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,db7315b0d40f5d14ff0b12a463f0aaee19a6e309b2e73f0040771790dbf99263,2,train,0,train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::Treasury ; train:DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::TestTreasury,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,434f0f419544089bdacce244a5ef56cf59edac51b9e20d2f9c13285546c5ab1f,2,train,0,train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::WETH ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::WETH,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,16393926db839a883956256897c681d01c84f8fc3c298ff91a89d379e804eeeb,2,train,0,train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::SwapToPrice ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::SwapToPrice,same_split_or_merge; quarantine_if_labels_conflict
exact_contract_hash,d2922cbb28f6b8742109ca8449554b86700c3a17ade4ed2889fa92707d34d11b,3,train,0,train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::ChainlinkFXSUSDPriceConsumer ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::ChainlinkETHUSDPriceConsumer ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::ChainlinkETHUSDPriceConsumer,same_split_or_merge; quarantine_if_labels_conflict
