conflict_kind,normalized_source_hash,member_count,splits,labels,members,recommended_action
exact_function_hash_conflicting_label,19c4099dff5fbedbb2e6cf5e6a0c84dc6d30c601012abe6697dc205f36785558,5,train,0|1,train:FORGE::vfp_00032::AbstractStakingStrategy::mintShares[y=0] ; train:FORGE::vfp_00032::RewardManagerMixin::mintShares[y=0] ; train:FORGE::vfp_00032::AbstractYieldStrategy::mintShares[y=1] ; train:FORGE::vfp_00032::AbstractSingleSidedLP::mintShares[y=0] ; train:FORGE::vfp_00032::CurveConvex2Token::mintShares[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,cb1b285f5f52b1843551a3ec8373df7d4c12235576ea4c1129cffd0a988d07d8,2,train,0|1,train:FORGE::vfp_00032::GenericERC4626WithdrawRequestManager::stakeTokens[y=1] ; train:FORGE::vfp_00032::AbstractWithdrawRequestManager::stakeTokens[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,370b1da585e99546b8b4c22fd961c8a83ca9edd5a89296e514b5d9e582450c63,3,val,0|1,val:FORGE::vfp_00156::HyperCoreFlowExecutor::_initiateSwapFlow[y=1] ; val:FORGE::vfp_00156::DstOFTHandler::_initiateSwapFlow[y=0] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::_initiateSwapFlow[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,c9411e9a936280e0cd045c79fe9b02f7e365f54194f0852073ba5ff1f05ae973,3,val,0|1,val:FORGE::vfp_00156::HyperCoreFlowExecutor::finalizeSwapFlows[y=1] ; val:FORGE::vfp_00156::DstOFTHandler::finalizeSwapFlows[y=0] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::finalizeSwapFlows[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,72a29dab7a7d4843bed135a96886ab76c6f389384f0768c20537a3a8ef394d44,3,val,0|1,val:FORGE::vfp_00156::HyperCoreFlowExecutor::_finalizeSingleSwap[y=1] ; val:FORGE::vfp_00156::DstOFTHandler::_finalizeSingleSwap[y=0] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::_finalizeSingleSwap[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,3f36214bdc0eb76e4e58d770386526becdea4a96b2b0d2113dfa87b576c5721e,3,val,0|1,val:FORGE::vfp_00156::HyperCoreFlowExecutor::_fallbackHyperEVMFlow[y=1] ; val:FORGE::vfp_00156::DstOFTHandler::_fallbackHyperEVMFlow[y=0] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::_fallbackHyperEVMFlow[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,2c51fb9444190dcf926a903d3e105440c4fc9a711a1bca5a23c3c3b49d431a1a,3,val,0|1,val:FORGE::vfp_00156::HyperCoreFlowExecutor::activateUserAccount[y=1] ; val:FORGE::vfp_00156::DstOFTHandler::activateUserAccount[y=0] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::activateUserAccount[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,3d3bc858b39d03f1a78b1992da0b8267a20ac9e24f9ef1a1aecc4af4b4c2f32c,3,val,0|1,val:FORGE::vfp_00156::DstOFTHandler::_executeFlow[y=0] ; val:FORGE::vfp_00156::ArbitraryEVMFlowExecutor::_executeFlow[y=1] ; val:FORGE::vfp_00156::SponsoredCCTPDstPeriphery::_executeFlow[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,815f4a5891f872d64733469450a2a0eff47e24b6d4d6434d1c7323afe0fbdad2,2,test,0|1,test:FORGE::vfp_00102::OracleLess::_cancelOrder[y=1] ; test:FORGE::vfp_00102::Bracket::_cancelOrder[y=0],positive_wins_if_verified_else_quarantine_group
exact_function_hash_conflicting_label,036795e2017568bc655f4e04098bde9fd7ea6ab68fc13af079a9d5a747e86be9,2,test,0|1,test:FORGE::vfp_00102::OracleLess::procureTokens[y=1] ; test:FORGE::vfp_00102::Bracket::procureTokens[y=0],positive_wins_if_verified_else_quarantine_group
