split,graph_id,contract,positive_interaction_count,vulnerable_interaction_ids,vulnerable_function_names,source_spans,vulnerability_types,evidence_pointers,supports_top1_top3_top5_mrr_recall_at_k,missing_source_span_count,missing_evidence_pointer_count
train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,EnjoyoorsVaultWithdrawals,1,i:_claimWithdrawal,_claimWithdrawal,EnjoyoorsVaultWithdrawals.sol::_claimWithdrawal,Reentrancy (heuristic)|Reentrancy (SWC-107),data/FORGE-Curated/flatten/vfp-vuln/vfp_00088.json#0,True,0,0
train,FORGE::vfp_00033::DineroWithdrawRequestManager,DineroWithdrawRequestManager,1,i:_initiateWithdrawImpl,_initiateWithdrawImpl,src/withdraws/Dinero.sol::_initiateWithdrawImpl,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00033.json#2,True,0,0
train,FORGE::vfp_00125::Aori,Aori,1,i:cancel,cancel,Aori.sol::cancel,Reentrancy (heuristic)|Reentrancy (SWC-107),data/FORGE-Curated/flatten/vfp-vuln/vfp_00125.json#0,True,0,0
train,FORGE::vfp_00262::DIAExternalStaking,DIAExternalStaking,2,i:_stake|i:addRewardToPool,_stake|addRewardToPool,DIAExternalStaking.sol::_stake|DIAExternalStaking.sol::addRewardToPool,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00262.json#1,True,0,0
train,FORGE::vfp_00179::ZkStack_CustomGasToken_Adapter,ZkStack_CustomGasToken_Adapter,1,i:relayTokens,relayTokens,ZkStack_CustomGasToken_Adapter.sol::relayTokens#178|ZkStack_CustomGasToken_Adapter.sol#230,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00179.json#4,True,0,0
train,FORGE::vfp_00200::CSExitPenalties,CSExitPenalties,1,i:processExitDelayReport,processExitDelayReport,CSExitPenalties.sol::processExitDelayReport,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00200.json#2,True,0,0
train,FORGE::vfp_00200::ValidatorExitDelayVerifier,ValidatorExitDelayVerifier,1,i:verifyValidatorExitDelay,verifyValidatorExitDelay,ValidatorExitDelayVerifier.sol::verifyValidatorExitDelay#178-196,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00200.json#2,True,0,0
train,FORGE::vfp_00153::PolygonStrategy,PolygonStrategy,1,i:unbond,unbond,PolygonStrategy.sol::unbond,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00153.json#0,True,0,0
train,FORGE::vfp_00174::P2pResolvProxy,P2pResolvProxy,2,i:initiateWithdrawalRESOLVAccruedRewards|i:withdrawRESOLV,initiateWithdrawalRESOLVAccruedRewards|withdrawRESOLV,P2pResolvProxy.sol::initiateWithdrawalRESOLVAccruedRewards|P2pResolvProxy.sol::withdrawRESOLV,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)|CWE:CWE-435,CWE-436,CWE-437|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00174.json#5|data/FORGE-Curated/flatten/vfp-vuln/vfp_00174.json#2,True,0,0
train,FORGE::vfp_00116::L1Mailbox,L1Mailbox,1,i:getMsg,getMsg,L1Mailbox.sol::getMsg#204-215,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00116.json#3,True,0,0
train,FORGE::vfp_00096::MarketConfigurator,MarketConfigurator,1,i:_migrateFactoryTargets,_migrateFactoryTargets,MarketConfigurator.sol::_migrateFactoryTargets,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00096.json#1,True,0,0
train,FORGE::vfp_00175::P2pYieldProxy,P2pYieldProxy,1,i:_withdraw,_withdraw,P2pYieldProxy.sol::_withdraw,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00175.json#3,True,0,0
train,FORGE::vfp_00007::Folio,Folio,4,i:mint|i:distributeFees|i:getRebalance|i:startRebalance,mint|distributeFees|getRebalance|startRebalance,Folio.sol::mint|Folio.sol::distributeFees|Folio.sol::getRebalance|Folio.sol::startRebalance,"CWE:CWE-691,CWE-834|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00007.json#6,True,0,0
train,FORGE::vfp_00045::PDPVerifier,PDPVerifier,1,i:nextProvingPeriod,nextProvingPeriod,PDPVerifier.sol#L523-L564,Reentrancy (SWC-107),data/FORGE-Curated/flatten/vfp-vuln/vfp_00045.json#0,True,0,0
train,FORGE::vfp_00186::MerkleDistributor,MerkleDistributor,1,i:claim,claim,MerkleDistributor.sol::claim#61,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00186.json#0,True,0,0
train,FORGE::vfp_00224::OidcRecoveryValidator,OidcRecoveryValidator,1,i:startRecovery,startRecovery,OidcRecoveryValidator.sol::startRecovery#231-233,"CWE:CWE-188,CWE-198,CWE-435|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00224.json#16,True,0,0
train,FORGE::vfp_00221::LimitOrderHook,LimitOrderHook,4,i:_afterSwap|i:cancelOrder|i:_handlePlaceCallback|i:_handleCancelCallback,_afterSwap|cancelOrder|_handlePlaceCallback|_handleCancelCallback,LimitOrderHook.sol::_afterSwap#209|LimitOrderHook.sol#563|LimitOrderHook.sol::cancelOrder#281|LimitOrderHook.sol::cancelOrder#313|LimitOrderHook.sol::_handlePlaceCallback#425|LimitOrderHook.sol::_handlePlaceCallback#430|LimitOrderHook.sol::_handlePlaceCallback#442-458|LimitOrderHook.sol::_handleCancelCallback#466,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)|Reentrancy (heuristic)|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00221.json#3|data/FORGE-Curated/flatten/vfp-vuln/vfp_00221.json#9|data/FORGE-Curated/flatten/vfp-vuln/vfp_00221.json#12,True,0,0
train,FORGE::vfp_00234::mErc20Host,mErc20Host,1,i:_verifyProof,_verifyProof,mErc20Host.sol::_verifyProof#378-399|viewcalls.rs#get_env_input_for_l1_inclusion_and_l2_block_number#933-970|validators.rs#195,"CWE:CWE-431,CWE-691|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00234.json#8,True,0,0
train,FORGE::vfp_00032::CurveConvexLib,CurveConvexLib,1,i:unstakeAndExitPool,unstakeAndExitPool,CurveConvex2Token.sol::unstakeAndExitPool#205-211,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",data/FORGE-Curated/flatten/vfp-vuln/vfp_00032.json#8,True,0,0
train,FORGE::vfp_00181::BaseCustomAccounting,BaseCustomAccounting,2,i:addLiquidity|i:removeLiquidity,addLiquidity|removeLiquidity,BaseCustomAccounting.sol::addLiquidity#132|BaseCustomAccounting.sol#199|BaseCustomAccounting.sol::removeLiquidity#151-162,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00181.json#2,True,0,0
train,FORGE::vfp_00161::ChainCfg,ChainCfg,1,i:set_config,set_config,sys_chaincfg.sol::set_config#74,Front-running / Tx Order (heuristic)|Front-running / Tx Order (SWC-114),data/FORGE-Curated/flatten/vfp-vuln/vfp_00161.json#2,True,0,0
