status,clean_split,component_id,component_contracts,component_positive_contracts,component_reentrancy_positive_contracts,reason,split,graph_id,dataset,project,contract,source_file,contract_label,n_pos,n_neg,interaction_count,vulnerability_types,scopes,normalized_contract_hash,contract_signature_hash,family_key
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::AbstractStakingStrategy,FORGE,vfp_00032,AbstractStakingStrategy,,0,0,10,10,,,1a3064ff0e2ceded35689e9d59f7a95b01927c6aa3cdc2baa0c537d11bf5b079,1a3064ff0e2ceded35689e9d59f7a95b01927c6aa3cdc2baa0c537d11bf5b079,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::RewardManagerMixin,FORGE,vfp_00032,RewardManagerMixin,,0,0,6,6,,,dc80abfe85decff8a9f5f97f0ddcdfe55e994cabc33c4e934ed83232bd81b592,dc80abfe85decff8a9f5f97f0ddcdfe55e994cabc33c4e934ed83232bd81b592,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::GenericERC4626WithdrawRequestManager,FORGE,vfp_00032,GenericERC4626WithdrawRequestManager,GenericERC4626.sol,1,1,4,5,Unchecked Call Return (heuristic),unchecked low-level call,899ce33b98e746a30c3993cb1a80046091f693987054ac0ae95f6b23f7197b56,1304cbda8c0b28400a2491ec4369d9293c0d841a3358bad754cd160ff677849b,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::AbstractWithdrawRequestManager,FORGE,vfp_00032,AbstractWithdrawRequestManager,,0,0,3,3,,,e402f7c571ffab87f099f8e4e7c5aa16bde7797f0e6c22d5d49055e5863db2a4,e402f7c571ffab87f099f8e4e7c5aa16bde7797f0e6c22d5d49055e5863db2a4,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::AbstractYieldStrategy,FORGE,vfp_00032,AbstractYieldStrategy,,1,1,4,5,,,5a47b130d3aeb7521711292db1cd7c280aa5f00e35b59db45b24dcf18403c0df,5a47b130d3aeb7521711292db1cd7c280aa5f00e35b59db45b24dcf18403c0df,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::AbstractSingleSidedLP,FORGE,vfp_00032,AbstractSingleSidedLP,,0,0,8,8,,,0221d7d27c7f080162a2247f3eac238364c00803c3e10ed9c0706080826f3566,0221d7d27c7f080162a2247f3eac238364c00803c3e10ed9c0706080826f3566,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,FORGE::vfp_00032::CurveConvex2Token,FORGE,vfp_00032,CurveConvex2Token,,0,0,9,9,,,dc1c8a43524c69106a6a9f29eb38d14536fb42560c6fbddc55ae0d0442030b2d,dc1c8a43524c69106a6a9f29eb38d14536fb42560c6fbddc55ae0d0442030b2d,FORGE::vfp_00032
quarantine,,,,,,duplicate_or_label_conflict,train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Migrations,DAppSCAN,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607,Migrations,,0,0,1,1,,,ce98735ec8b84c2b49a7f15c6bd73a99df3469ffab8e473bec015819b4b2eecd,ce98735ec8b84c2b49a7f15c6bd73a99df3469ffab8e473bec015819b4b2eecd,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607
quarantine,,,,,,duplicate_or_label_conflict,train,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::Timelock,DAppSCAN,DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd,Timelock,,0,0,1,1,,,e17100050ef678ef25b84ffe2d94c61528b8c0d6a15cd8d41ad2a79f2430292c,e17100050ef678ef25b84ffe2d94c61528b8c0d6a15cd8d41ad2a79f2430292c,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd
quarantine,,,,,,duplicate_or_label_conflict,train,DAPP::DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9::Migrations,DAppSCAN,DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9,Migrations,,0,0,1,1,,,ce98735ec8b84c2b49a7f15c6bd73a99df3469ffab8e473bec015819b4b2eecd,ce98735ec8b84c2b49a7f15c6bd73a99df3469ffab8e473bec015819b4b2eecd,DAPP::DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9
