model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
Function-MLP,42,max_f1,max_f1,contract,0.903,0.32653061224489793,0.5333333333333333,0.20588235294117646,0.4666666666666667,0.28571428571428564,0.3723404255319149,0.20886745970633794,0.683058608058608,14,128,54,16,212,30,182,0.23595505617977527,0.20967741935483872,0.18791946308724833,0.8300000000000001,0.664,0.388,0.7333333333333333,0.8333333333333334,0.9
Function-MLP,42,high_recall,target_recall,contract,0.388,0.16167664670658682,0.9,0.18791946308724833,0.9333333333333333,0.3128491620111732,0.5204460966542751,0.20886745970633794,0.683058608058608,28,61,121,2,212,30,182,0.23595505617977527,0.20967741935483872,0.18791946308724833,0.8300000000000001,0.664,0.388,0.7333333333333333,0.8333333333333334,0.9
Function-MLP,42,precision_focused,target_precision,contract,0.997,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.20886745970633794,0.683058608058608,0,182,0,30,212,30,182,0.23595505617977527,0.20967741935483872,0.18791946308724833,0.8300000000000001,0.664,0.388,0.7333333333333333,0.8333333333333334,0.9
Function-MLP,43,max_f1,max_f1,contract,0.809,0.26136363636363635,0.7666666666666667,0.23333333333333334,0.7,0.35,0.5,0.24187976829540556,0.717948717948718,21,113,69,9,212,30,182,0.23333333333333334,0.2336448598130841,0.20422535211267606,0.809,0.737,0.43,0.7666666666666667,0.8,0.9333333333333333
Function-MLP,43,high_recall,target_recall,contract,0.43,0.1686746987951807,0.9333333333333333,0.20422535211267606,0.9666666666666667,0.3372093023255814,0.5534351145038168,0.24187976829540556,0.717948717948718,29,69,113,1,212,30,182,0.23333333333333334,0.2336448598130841,0.20422535211267606,0.809,0.737,0.43,0.7666666666666667,0.8,0.9333333333333333
Function-MLP,43,precision_focused,target_precision,contract,0.998,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.24187976829540556,0.717948717948718,0,182,0,30,212,30,182,0.23333333333333334,0.2336448598130841,0.20422535211267606,0.809,0.737,0.43,0.7666666666666667,0.8,0.9333333333333333
Function-MLP,44,max_f1,max_f1,contract,0.869,0.3090909090909091,0.5666666666666667,0.22058823529411764,0.5,0.30612244897959184,0.398936170212766,0.2322500704679974,0.7124542124542125,15,129,53,15,212,30,182,0.2558139534883721,0.22429906542056074,0.21212121212121213,0.772,0.644,0.397,0.7,0.8,0.9
Function-MLP,44,high_recall,target_recall,contract,0.397,0.17197452229299362,0.9,0.21212121212121213,0.9333333333333333,0.345679012345679,0.5555555555555556,0.2322500704679974,0.7124542124542125,28,78,104,2,212,30,182,0.2558139534883721,0.22429906542056074,0.21212121212121213,0.772,0.644,0.397,0.7,0.8,0.9
Function-MLP,44,precision_focused,target_precision,contract,0.998,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.2322500704679974,0.7124542124542125,0,182,0,30,212,30,182,0.2558139534883721,0.22429906542056074,0.21212121212121213,0.772,0.644,0.397,0.7,0.8,0.9
Function-MLP,45,max_f1,max_f1,contract,0.929,0.2903225806451613,0.6,0.23529411764705882,0.5333333333333333,0.326530612244898,0.42553191489361697,0.22973262371596778,0.7036630036630036,16,130,52,14,212,30,182,0.2247191011235955,0.22549019607843138,0.20437956204379562,0.882,0.847,0.629,0.7,0.8,0.9
