model,seed,error_type,probability,threshold,graph_id,contract,function,node_id,label,pred,vulnerability_type,scope,external_methods,external_call_count,state_var_count,evidence_pointer
Current HyperVul,42,false_negative,0.012299279682338238,0.914,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876::ImpossibleWrappedToken,ImpossibleWrappedToken,deposit,i:deposit,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,balanceOf,1,5,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol:53-53|DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol:65-65|DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol:L53-61|DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol:L65-73
Current HyperVul,42,false_negative,0.09485797584056854,0.914,DAPP::DAppSCAN-source/contracts/SlowMist-ForTube2.0 Smart Contract Security Audit Report/bond-854527d0ea7ad2ddd3504b4d4ae3fcb57cb6445d::PRA,PRA,lock,i:lock,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,allowance|balanceOf|safeTransferFrom,3,3,DAppSCAN-source/contracts/SlowMist-ForTube2.0 Smart Contract Security Audit Report/bond-854527d0ea7ad2ddd3504b4d4ae3fcb57cb6445d/contracts/PRA.sol:66-80|DAppSCAN-source/contracts/SlowMist-ForTube2.0 Smart Contract Security Audit Report/bond-854527d0ea7ad2ddd3504b4d4ae3fcb57cb6445d/contracts/PRA.sol:L66 - L80
Current HyperVul,42,false_negative,0.2637288570404053,0.914,FORGE::vfp_00126::SpokePool,SpokePool,_setOftMessenger,i:_setOftMessenger,1,0,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",other|reentrancy,token,1,1,data/FORGE-Curated/flatten/vfp-vuln/vfp_00126.json#2
Current HyperVul,42,false_negative,0.3837188482284546,0.914,DAPP::DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0::ElementBridge,ElementBridge,convert,i:convert,1,0,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,unchecked low-level call,unlockTimestamp|approve|swap|SingleSwap|FundManagement,5,6,DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0/src/bridges/element/ElementBridge.sol:463-463|DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0/src/bridges/element/ElementBridge.sol:L463
Current HyperVul,42,false_negative,0.45448145270347595,0.914,FORGE::vfp_00288::DelegationMetaSwapAdapter,DelegationMetaSwapAdapter,swapTokens,i:swapTokens,1,0,Front-running / Tx Order (heuristic)|Reentrancy (heuristic)|Front-running / Tx Order (SWC-114)|Reentrancy (SWC-107),front-running|reentrancy|other,allowance|safeIncreaseAllowance|swap,3,1,data/FORGE-Curated/flatten/vfp-vuln/vfp_00288.json#2|data/FORGE-Curated/flatten/vfp-vuln/vfp_00288.json#3
Current HyperVul,42,false_negative,0.48652079701423645,0.914,FORGE::vfp_00058::LikwidMarginPosition,LikwidMarginPosition,_executeAddLeverage,i:_executeAddLeverage,1,0,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",other|reentrancy,reserve01|reserve01|reserve01|deduct|update|toInt128,6,1,data/FORGE-Curated/flatten/vfp-vuln/vfp_00058.json#15
Current HyperVul,42,false_negative,0.4975070655345917,0.914,DAPP::DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee::PowerBombAvaxCurve,PowerBombAvaxCurve,claimReward,i:claimReward,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,withdraw|balanceOf|safeTransfer,3,6,DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee/hardhat/contracts/PowerBombAvaxCurve.sol:269-269|DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee/hardhat/contracts/PowerBombAvaxCurve.sol:L269-293
Current HyperVul,42,false_negative,0.5265138149261475,0.914,DAPP::DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857::Exchange,Exchange,convertFundsFromInput,i:convertFundsFromInput,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,_pullFunds|_min|_getBalance|_convertFundsFromInput|_min|_getBalance|_pushFunds,7,1,DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857/contracts/Exchange.sol:80-80|DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857/contracts/Exchange.sol:L80-90
Current HyperVul,42,false_negative,0.5617731809616089,0.914,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c::BorrowerOperations,BorrowerOperations,_moveTokensAndETHfromAdjustment,i:_moveTokensAndETHfromAdjustment,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,sendETH,1,1,DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c/packages/contracts/contracts/BorrowerOperations.sol:351-351|DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c/packages/contracts/contracts/BorrowerOperations.sol:L351
Current HyperVul,42,false_negative,0.5828185081481934,0.914,DAPP::DAppSCAN-source/contracts/PeckShield-Duet/duet-collateral-contracts-92452dad092d6b5f76713484e30159b5fa75ea80::DYTokenERC20,DYTokenERC20,depositTo,i:depositTo,1,0,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,front-running,balanceOf|safeTransferFrom|balanceOf|syncDeposit,4,2,DAppSCAN-source/contracts/PeckShield-Duet/duet-collateral-contracts-92452dad092d6b5f76713484e30159b5fa75ea80/contracts/DYTokenERC20.sol:29-57|DAppSCAN-source/contracts/PeckShield-Duet/duet-collateral-contracts-92452dad092d6b5f76713484e30159b5fa75ea80/contracts/DYTokenERC20.sol:L29-L57
Current HyperVul,42,false_negative,0.6882492899894714,0.914,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::StrategyMDex,StrategyMDex,updatePool,i:updatePool,1,0,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,front-running,onAcionUpdate|getAmountIn|getTokenIn|makeRefundFee|add,5,3,DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyMDex.sol:241-241|DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyMDex.sol:L241
Current HyperVul,42,false_negative,0.6949293613433838,0.914,FORGE::vfp_00260::Router_Adapter,Router_Adapter,relayMessage,i:relayMessage,1,0,Reentrancy (SWC-107),reentrancy|other,delegatecall,1,3,data/FORGE-Curated/flatten/vfp-vuln/vfp_00260.json#3
Current HyperVul,42,false_negative,0.7458155751228333,0.914,DAPP::DAppSCAN-source/contracts/ImmuneBytes-Bird Money(MasterChef)-Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629::MasterChef,MasterChef,deposit,i:deposit,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,sub|div|mul|safeTransferFrom|add|div|mul,7,3,DAppSCAN-source/contracts/ImmuneBytes-Bird Money(MasterChef)-Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629/contracts/MasterChef.sol:262-262|DAppSCAN-source/contracts/ImmuneBytes-Bird Money(MasterChef)-Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629/contracts/MasterChef.sol:L262
Current HyperVul,42,false_negative,0.7991123199462891,0.914,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::MTGYTokenLocker,MTGYTokenLocker,withdrawLockedTokens,i:withdrawLockedTokens,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,transferFrom|transferFrom,2,1,DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca/contracts/OKLGTokenLocker.sol:126-126|DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca/contracts/OKLGTokenLocker.sol:L126
Current HyperVul,42,false_negative,0.8166999816894531,0.914,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::StrategyUtils,StrategyUtils,getAmountOut,i:getAmountOut,1,0,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,front-running,getAmountsIn,1,1,DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyUtils.sol:345-345|DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyUtils.sol:L345
Current HyperVul,42,false_negative,0.8200283646583557,0.914,FORGE::vfp_00058::LikwidMarginPosition,LikwidMarginPosition,modify,i:modify,1,0,"CWE:CWE-670,CWE-691|Reentrancy (SWC-107)",other|reentrancy,update|minBorrowLevel|unlock|toId,4,4,data/FORGE-Curated/flatten/vfp-vuln/vfp_00058.json#16|data/FORGE-Curated/flatten/vfp-vuln/vfp_00058.json#19
Current HyperVul,42,false_negative,0.8360840082168579,0.914,DAPP::DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58::Moloch,Moloch,sponsorProposal,i:sponsorProposal,1,0,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,front-running,transferFrom,1,10,DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58/contracts/Moloch.sol:266-266|DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58/contracts/Moloch.sol:L266-305
Current HyperVul,42,false_negative,0.8511319756507874,0.914,DAPP::DAppSCAN-source/contracts/ImmuneBytes-Bird Money-Final Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629::MasterChef,MasterChef,withdraw,i:withdraw,1,0,Reentrancy (SWC-107)|SWC-107-Reentrancy,reentrancy,sub|div|mul|sub|div|mul|safeTransfer,7,2,DAppSCAN-source/contracts/ImmuneBytes-Bird Money-Final Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629/contracts/MasterChef.sol:287-287|DAppSCAN-source/contracts/ImmuneBytes-Bird Money-Final Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629/contracts/MasterChef.sol:L287-306
