model,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
Function-MLP,42,0.5333333333333333,0.8666666666666667,0.9666666666666667,0.7155555555555556,0.4277777777777778,0.8277777777777777,0.9388888888888888,30
Function-MLP,43,0.5333333333333333,0.9,0.9666666666666667,0.718030303030303,0.4277777777777778,0.861111111111111,0.9388888888888888,30
Function-MLP,44,0.5333333333333333,0.9,0.9666666666666667,0.7183333333333334,0.4277777777777778,0.861111111111111,0.9388888888888888,30
Function-MLP,45,0.5333333333333333,0.9,0.9666666666666667,0.7187037037037035,0.4277777777777778,0.861111111111111,0.9388888888888888,30
Function-MLP,46,0.5666666666666667,0.9,0.9666666666666667,0.735,0.46111111111111114,0.861111111111111,0.9388888888888888,30
Function+Features MLP,42,0.5333333333333333,0.8333333333333334,0.9666666666666667,0.6964814814814815,0.4277777777777778,0.8111111111111111,0.9388888888888888,30
Function+Features MLP,43,0.5,0.8333333333333334,0.9666666666666667,0.6853703703703703,0.3944444444444445,0.8111111111111111,0.9388888888888888,30
Function+Features MLP,44,0.5,0.8333333333333334,0.9666666666666667,0.6853703703703703,0.3944444444444445,0.8111111111111111,0.9388888888888888,30
Function+Features MLP,45,0.5333333333333333,0.8333333333333334,0.9666666666666667,0.6964814814814815,0.4277777777777778,0.8111111111111111,0.9388888888888888,30
Function+Features MLP,46,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.667037037037037,0.3611111111111111,0.8111111111111111,0.9388888888888888,30
Sequence-BiGRU,42,0.5,0.7333333333333333,0.8666666666666667,0.6516810966810966,0.4222222222222222,0.7055555555555555,0.8555555555555555,30
Sequence-BiGRU,43,0.5333333333333333,0.8,0.9,0.6866666666666668,0.4388888888888889,0.7777777777777779,0.8888888888888888,30
Sequence-BiGRU,44,0.5666666666666667,0.8,0.8666666666666667,0.7092981092981092,0.4722222222222222,0.7555555555555554,0.8388888888888888,30
Sequence-BiGRU,45,0.5333333333333333,0.8,0.8666666666666667,0.679604377104377,0.40555555555555556,0.7888888888888889,0.8555555555555555,30
Sequence-BiGRU,46,0.5333333333333333,0.8,0.8666666666666667,0.6861531986531986,0.4388888888888889,0.7388888888888888,0.8555555555555555,30
CallGraph-GAT,42,0.6333333333333333,0.8333333333333334,0.9333333333333333,0.7406481481481482,0.5055555555555555,0.7777777777777779,0.9055555555555554,30
CallGraph-GAT,43,0.6,0.8333333333333334,0.9,0.7194444444444446,0.49444444444444446,0.7944444444444444,0.8722222222222221,30
CallGraph-GAT,44,0.5666666666666667,0.8333333333333334,0.9,0.7077922077922079,0.46111111111111114,0.7944444444444445,0.8722222222222221,30
CallGraph-GAT,45,0.5666666666666667,0.8666666666666667,0.9333333333333333,0.7138888888888888,0.4388888888888889,0.8277777777777778,0.9055555555555554,30
CallGraph-GAT,46,0.5666666666666667,0.8333333333333334,0.9333333333333333,0.7083333333333334,0.46111111111111114,0.7777777777777779,0.9055555555555554,30
Pairwise-RGCN,42,0.4666666666666667,0.7333333333333333,0.8333333333333334,0.6294588744588744,0.33888888888888885,0.6944444444444444,0.8222222222222222,30
Pairwise-RGCN,43,0.4666666666666667,0.7333333333333333,0.8,0.6279244829244829,0.33888888888888885,0.6777777777777777,0.7722222222222221,30
Pairwise-RGCN,44,0.5666666666666667,0.7333333333333333,0.8333333333333334,0.6856228956228955,0.4388888888888889,0.711111111111111,0.8222222222222222,30
Pairwise-RGCN,45,0.5666666666666667,0.7666666666666667,0.8333333333333334,0.6866161616161615,0.4388888888888889,0.7277777777777777,0.8055555555555555,30
Pairwise-RGCN,46,0.6,0.7666666666666667,0.8,0.7079785954785954,0.4722222222222222,0.7277777777777777,0.7888888888888889,30
Pairwise-GAT,42,0.43333333333333335,0.6666666666666666,0.8333333333333334,0.6067989417989419,0.3222222222222222,0.6277777777777778,0.8055555555555555,30
Pairwise-GAT,43,0.4666666666666667,0.7333333333333333,0.9,0.638148148148148,0.3611111111111111,0.7333333333333333,0.8888888888888888,30
Pairwise-GAT,44,0.5,0.6666666666666666,0.9,0.6436988304093567,0.3944444444444445,0.6277777777777778,0.8555555555555555,30
Pairwise-GAT,45,0.5333333333333333,0.7,0.8,0.6573280423280425,0.40555555555555556,0.6777777777777777,0.7888888888888889,30
Pairwise-GAT,46,0.5666666666666667,0.8,0.9333333333333333,0.7044444444444444,0.46111111111111114,0.7888888888888889,0.9222222222222222,30
Current HyperVul,42,0.5333333333333333,0.8,0.9333333333333333,0.6875,0.41111111111111115,0.7777777777777778,0.9222222222222222,30
Current HyperVul,43,0.43333333333333335,0.8333333333333334,0.9333333333333333,0.6489285714285714,0.3277777777777778,0.8111111111111111,0.9222222222222222,30
Current HyperVul,44,0.5333333333333333,0.7666666666666667,0.9333333333333333,0.6953703703703703,0.4277777777777778,0.7666666666666667,0.9222222222222222,30
Current HyperVul,45,0.43333333333333335,0.8,0.9333333333333333,0.6440211640211639,0.3277777777777778,0.8,0.9111111111111112,30
Current HyperVul,46,0.5333333333333333,0.7666666666666667,0.9666666666666667,0.6930555555555554,0.41111111111111115,0.7666666666666667,0.9444444444444445,30
