model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
Function-MLP,42,max_f1,max_f1,interaction,0.9400000000000001,0.23809523809523808,0.39215686274509803,0.14285714285714285,0.275,0.18803418803418803,0.2320675105485232,0.11287420432906344,0.7977966101694915,11,1114,66,29,1220,40,1180
Function-MLP,42,high_recall,target_recall,interaction,0.099,0.05324074074074074,0.9019607843137255,0.05555555555555555,0.975,0.10512129380053908,0.2262180974477958,0.11287420432906344,0.7977966101694915,39,517,663,1,1220,40,1180
Function-MLP,42,precision_focused,target_precision,interaction,0.84,0.1728395061728395,0.5490196078431373,0.12195121951219512,0.5,0.19607843137254902,0.30864197530864196,0.11287420432906344,0.7977966101694915,20,1036,144,20,1220,40,1180
Function-MLP,43,max_f1,max_f1,interaction,0.922,0.21875,0.4117647058823529,0.15841584158415842,0.4,0.22695035460992907,0.30651340996168586,0.14304833342757373,0.8181355932203391,16,1095,85,24,1220,40,1180
Function-MLP,43,high_recall,target_recall,interaction,0.083,0.05043859649122807,0.9019607843137255,0.05652173913043478,0.975,0.10684931506849314,0.22941176470588237,0.14304833342757373,0.8181355932203391,39,529,651,1,1220,40,1180
Function-MLP,43,precision_focused,target_precision,interaction,0.8260000000000001,0.15384615384615385,0.5882352941176471,0.11515151515151516,0.475,0.1853658536585366,0.2923076923076923,0.14304833342757373,0.8181355932203391,19,1034,146,21,1220,40,1180
Function-MLP,44,max_f1,max_f1,interaction,0.9380000000000001,0.2465753424657534,0.35294117647058826,0.1864406779661017,0.275,0.22222222222222224,0.25114155251141546,0.12708268440858522,0.8170127118644068,11,1132,48,29,1220,40,1180
Function-MLP,44,high_recall,target_recall,interaction,0.045,0.05064655172413793,0.9215686274509803,0.05524079320113314,0.975,0.10455764075067024,0.2251732101616628,0.12708268440858522,0.8170127118644068,39,513,667,1,1220,40,1180
Function-MLP,44,precision_focused,target_precision,interaction,0.838,0.18493150684931506,0.5294117647058824,0.13740458015267176,0.45,0.2105263157894737,0.30927835051546393,0.12708268440858522,0.8170127118644068,18,1067,113,22,1220,40,1180
Function-MLP,45,max_f1,max_f1,interaction,0.9580000000000001,0.2222222222222222,0.39215686274509803,0.13580246913580246,0.275,0.18181818181818182,0.22821576763485477,0.12408572913559478,0.8084110169491525,11,1110,70,29,1220,40,1180
Function-MLP,45,high_recall,target_recall,interaction,0.188,0.053117782909930716,0.9019607843137255,0.05847076461769116,0.975,0.11032531824611033,0.23579201934703753,0.12408572913559478,0.8084110169491525,39,552,628,1,1220,40,1180
Function-MLP,45,precision_focused,target_precision,interaction,0.92,0.18064516129032257,0.5490196078431373,0.13178294573643412,0.425,0.2011834319526627,0.2941176470588235,0.12408572913559478,0.8084110169491525,17,1068,112,23,1220,40,1180
Function-MLP,46,max_f1,max_f1,interaction,0.922,0.22340425531914893,0.4117647058823529,0.15306122448979592,0.375,0.21739130434782608,0.29069767441860467,0.1302236824558149,0.8082838983050847,15,1097,83,25,1220,40,1180
Function-MLP,46,high_recall,target_recall,interaction,0.085,0.05145413870246085,0.9019607843137255,0.056195965417867436,0.975,0.10626702997275203,0.2283372365339578,0.1302236824558149,0.8082838983050847,39,525,655,1,1220,40,1180
Function-MLP,46,precision_focused,target_precision,interaction,0.834,0.15463917525773196,0.5882352941176471,0.10714285714285714,0.45,0.17307692307692304,0.27439024390243905,0.1302236824558149,0.8082838983050847,18,1030,150,22,1220,40,1180
Function+Features MLP,42,max_f1,max_f1,interaction,0.879,0.20833333333333334,0.49019607843137253,0.1391304347826087,0.4,0.2064516129032258,0.2909090909090909,0.11072725771077833,0.8072881355932203,16,1081,99,24,1220,40,1180
Function+Features MLP,42,high_recall,target_recall,interaction,0.08,0.05239179954441914,0.9019607843137255,0.057692307692307696,0.975,0.10893854748603353,0.23325358851674644,0.11072725771077833,0.8072881355932203,39,543,637,1,1220,40,1180
Function+Features MLP,42,precision_focused,target_precision,interaction,0.842,0.18543046357615894,0.5490196078431373,0.11805555555555555,0.425,0.18478260869565216,0.2796052631578948,0.11072725771077833,0.8072881355932203,17,1053,127,23,1220,40,1180
Function+Features MLP,43,max_f1,max_f1,interaction,0.924,0.20754716981132076,0.43137254901960786,0.16666666666666666,0.425,0.23943661971830985,0.3244274809160305,0.13823974799376595,0.8245974576271187,17,1095,85,23,1220,40,1180
Function+Features MLP,43,high_recall,target_recall,interaction,0.076,0.051762114537444934,0.9215686274509803,0.05714285714285714,0.95,0.10780141843971631,0.2303030303030303,0.13823974799376595,0.8245974576271187,38,553,627,2,1220,40,1180
Function+Features MLP,43,precision_focused,target_precision,interaction,0.755,0.13157894736842105,0.6862745098039216,0.10300429184549356,0.6,0.17582417582417584,0.30534351145038163,0.13823974799376595,0.8245974576271187,24,971,209,16,1220,40,1180
Function+Features MLP,44,max_f1,max_f1,interaction,0.87,0.18354430379746836,0.5686274509803921,0.1206896551724138,0.525,0.19626168224299065,0.3143712574850299,0.12268246113977792,0.8066737288135593,21,1027,153,19,1220,40,1180
Function+Features MLP,44,high_recall,target_recall,interaction,0.121,0.050716648291069456,0.9019607843137255,0.05539358600583091,0.95,0.1046831955922865,0.22458628841607567,0.12268246113977792,0.8066737288135593,38,532,648,2,1220,40,1180
Function+Features MLP,44,precision_focused,target_precision,interaction,0.87,0.18354430379746836,0.5686274509803921,0.1206896551724138,0.525,0.19626168224299065,0.3143712574850299,0.12268246113977792,0.8066737288135593,21,1027,153,19,1220,40,1180
Function+Features MLP,45,max_f1,max_f1,interaction,0.713,0.1951219512195122,0.47058823529411764,0.15503875968992248,0.5,0.23668639053254437,0.34602076124567477,0.1185635477976217,0.8122033898305085,20,1071,109,20,1220,40,1180
Function+Features MLP,45,high_recall,target_recall,interaction,0.032,0.05128205128205128,0.9019607843137255,0.056439942112879886,0.975,0.106703146374829,0.2291421856639248,0.1185635477976217,0.8122033898305085,39,528,652,1,1220,40,1180
Function+Features MLP,45,precision_focused,target_precision,interaction,0.514,0.14864864864864866,0.6470588235294118,0.10550458715596331,0.575,0.17829457364341086,0.30423280423280424,0.1185635477976217,0.8122033898305085,23,985,195,17,1220,40,1180
Function+Features MLP,46,max_f1,max_f1,interaction,0.871,0.18439716312056736,0.5098039215686274,0.1417910447761194,0.475,0.21839080459770116,0.32312925170068024,0.11820891145655527,0.8108050847457626,19,1065,115,21,1220,40,1180
Function+Features MLP,46,high_recall,target_recall,interaction,0.083,0.05221339387060159,0.9019607843137255,0.05731523378582202,0.95,0.1081081081081081,0.23086269744835963,0.11820891145655527,0.8108050847457626,38,555,625,2,1220,40,1180
Function+Features MLP,46,precision_focused,target_precision,interaction,0.8200000000000001,0.1631578947368421,0.6078431372549019,0.12209302325581395,0.525,0.19811320754716982,0.3162650602409639,0.11820891145655527,0.8108050847457626,21,1029,151,19,1220,40,1180
Sequence-BiGRU,42,max_f1,max_f1,interaction,0.937,0.21621621621621623,0.3137254901960784,0.11363636363636363,0.125,0.11904761904761904,0.12254901960784312,0.10941746756927881,0.7982627118644068,5,1141,39,35,1220,40,1180
Sequence-BiGRU,42,high_recall,target_recall,interaction,0.004,0.040280210157618214,0.9019607843137255,0.0489060489060489,0.95,0.09302325581395349,0.20277481323372465,0.10941746756927881,0.7982627118644068,38,441,739,2,1220,40,1180
Sequence-BiGRU,42,precision_focused,target_precision,interaction,0.686,0.13725490196078433,0.5490196078431373,0.1165644171779141,0.475,0.18719211822660098,0.2941176470588235,0.10941746756927881,0.7982627118644068,19,1036,144,21,1220,40,1180
Sequence-BiGRU,43,max_f1,max_f1,interaction,0.85,0.13580246913580246,0.43137254901960786,0.12280701754385964,0.35,0.1818181818181818,0.2554744525547445,0.11855951253779319,0.8037923728813559,14,1080,100,26,1220,40,1180
Sequence-BiGRU,43,high_recall,target_recall,interaction,0.019,0.040905134899912966,0.9215686274509803,0.050518134715025906,0.975,0.0960591133004926,0.20922746781115883,0.11855951253779319,0.8037923728813559,39,447,733,1,1220,40,1180
Sequence-BiGRU,43,precision_focused,target_precision,interaction,0.809,0.12903225806451613,0.47058823529411764,0.1232876712328767,0.45,0.1935483870967742,0.29411764705882354,0.11855951253779319,0.8037923728813559,18,1052,128,22,1220,40,1180
Sequence-BiGRU,44,max_f1,max_f1,interaction,0.853,0.13157894736842105,0.49019607843137253,0.1206896551724138,0.35,0.1794871794871795,0.2536231884057971,0.15434373124574474,0.8024152542372883,14,1078,102,26,1220,40,1180
Sequence-BiGRU,44,high_recall,target_recall,interaction,0.033,0.04703476482617587,0.9019607843137255,0.05709876543209876,0.925,0.10755813953488372,0.22896039603960397,0.15434373124574474,0.8024152542372883,37,569,611,3,1220,40,1180
Sequence-BiGRU,44,precision_focused,target_precision,interaction,0.853,0.13157894736842105,0.49019607843137253,0.1206896551724138,0.35,0.1794871794871795,0.2536231884057971,0.15434373124574474,0.8024152542372883,14,1078,102,26,1220,40,1180
Sequence-BiGRU,45,max_f1,max_f1,interaction,0.933,0.1258741258741259,0.35294117647058826,0.12359550561797752,0.275,0.17054263565891475,0.22088353413654618,0.1294508085002931,0.8082838983050847,11,1102,78,29,1220,40,1180
Sequence-BiGRU,45,high_recall,target_recall,interaction,0.028,0.04388422035480859,0.9215686274509803,0.052269601100412656,0.95,0.09908735332464146,0.21420518602029312,0.1294508085002931,0.8082838983050847,38,491,689,2,1220,40,1180
Sequence-BiGRU,45,precision_focused,target_precision,interaction,0.73,0.09253731343283582,0.6078431372549019,0.10212765957446808,0.6,0.17454545454545453,0.30379746835443033,0.1294508085002931,0.8082838983050847,24,969,211,16,1220,40,1180
Sequence-BiGRU,46,max_f1,max_f1,interaction,0.856,0.14084507042253522,0.39215686274509803,0.1388888888888889,0.375,0.20270270270270274,0.2798507462686567,0.13545943792039408,0.8037923728813559,15,1087,93,25,1220,40,1180
Sequence-BiGRU,46,high_recall,target_recall,interaction,0.007,0.04267161410018553,0.9019607843137255,0.051351351351351354,0.95,0.09743589743589745,0.21111111111111117,0.13545943792039408,0.8037923728813559,38,478,702,2,1220,40,1180
Sequence-BiGRU,46,precision_focused,target_precision,interaction,0.856,0.14084507042253522,0.39215686274509803,0.1388888888888889,0.375,0.20270270270270274,0.2798507462686567,0.13545943792039408,0.8037923728813559,15,1087,93,25,1220,40,1180
