run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
all_scope,HyperVul native MIL,mil_max,42,interaction,max_f1,max_f1,0.728,0.3333333333333333,0.2549019607843137,0.15789473684210525,0.15,0.15384615384615385,0.15151515151515152,0.11220115951527469,0.8015889830508475,6,1148,32,34,1220,40,1180
all_scope,HyperVul native MIL,mil_max,42,interaction,high_recall,target_recall,0.192,0.04204753199268738,0.9019607843137255,0.050387596899224806,0.975,0.09582309582309582,0.20877944325481798,0.11220115951527469,0.8015889830508475,39,445,735,1,1220,40,1180
all_scope,HyperVul native MIL,mil_max,42,interaction,precision_focused,target_precision,0.503,0.11851851851851852,0.6274509803921569,0.11627906976744186,0.625,0.19607843137254904,0.33333333333333337,0.11220115951527469,0.8015889830508475,25,990,190,15,1220,40,1180
all_scope,HyperVul native MIL,mil_max,43,interaction,max_f1,max_f1,0.891,0.3023255813953488,0.2549019607843137,0.16326530612244897,0.2,0.17977528089887637,0.1913875598086124,0.12395303392298275,0.8069915254237288,8,1139,41,32,1220,40,1180
all_scope,HyperVul native MIL,mil_max,43,interaction,high_recall,target_recall,0.23500000000000001,0.045142296368989206,0.9019607843137255,0.05033112582781457,0.95,0.09559748427672957,0.20765027322404372,0.12395303392298275,0.8069915254237288,38,463,717,2,1220,40,1180
all_scope,HyperVul native MIL,mil_max,43,interaction,precision_focused,target_precision,0.706,0.11888111888111888,0.6666666666666666,0.11304347826086956,0.65,0.19259259259259257,0.3333333333333333,0.12395303392298275,0.8069915254237288,26,976,204,14,1220,40,1180
all_scope,HyperVul native MIL,mil_max,44,interaction,max_f1,max_f1,0.676,0.27586206896551724,0.3137254901960784,0.17391304347826086,0.3,0.2201834862385321,0.26200873362445415,0.14221232805738998,0.8098305084745763,12,1123,57,28,1220,40,1180
all_scope,HyperVul native MIL,mil_max,44,interaction,high_recall,target_recall,0.162,0.05686032138442522,0.9019607843137255,0.05529225908372828,0.875,0.10401188707280833,0.22068095838587645,0.14221232805738998,0.8098305084745763,35,582,598,5,1220,40,1180
all_scope,HyperVul native MIL,mil_max,44,interaction,precision_focused,target_precision,0.399,0.12457912457912458,0.7254901960784313,0.10037174721189591,0.675,0.17475728155339806,0.31468531468531474,0.14221232805738998,0.8098305084745763,27,938,242,13,1220,40,1180
all_scope,HyperVul native MIL,mil_max,45,interaction,max_f1,max_f1,0.905,0.3137254901960784,0.3137254901960784,0.20454545454545456,0.225,0.2142857142857143,0.22058823529411764,0.12321792564625655,0.8037288135593221,9,1145,35,31,1220,40,1180
all_scope,HyperVul native MIL,mil_max,45,interaction,high_recall,target_recall,0.34800000000000003,0.04590818363273453,0.9019607843137255,0.049586776859504134,0.9,0.09399477806788513,0.20316027088036115,0.12321792564625655,0.8037288135593221,36,490,690,4,1220,40,1180
all_scope,HyperVul native MIL,mil_max,45,interaction,precision_focused,target_precision,0.785,0.11552346570397112,0.6274509803921569,0.11267605633802817,0.6,0.18972332015810275,0.32171581769436997,0.12321792564625655,0.8037288135593221,24,991,189,16,1220,40,1180
all_scope,HyperVul native MIL,mil_max,46,interaction,max_f1,max_f1,0.662,0.20634920634920634,0.2549019607843137,0.14285714285714285,0.225,0.17475728155339804,0.20179372197309417,0.15911904127347243,0.7957415254237288,9,1126,54,31,1220,40,1180
