run,model,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
all_scope,HyperVul native MIL,mil_max,42,0.43333333333333335,0.8,0.9,0.6319985569985569,0.34444444444444444,0.7555555555555554,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_max,43,0.4,0.8333333333333334,0.9,0.6244588744588743,0.3111111111111111,0.7888888888888889,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_max,44,0.5,0.8,0.9333333333333333,0.6819191919191919,0.3944444444444445,0.7722222222222221,0.9055555555555554,30
all_scope,HyperVul native MIL,mil_max,45,0.43333333333333335,0.8333333333333334,0.9,0.6502525252525252,0.3277777777777778,0.7777777777777778,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_max,46,0.5333333333333333,0.8,0.9,0.6977272727272726,0.4277777777777778,0.7277777777777777,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_topk,42,0.43333333333333335,0.8,0.9,0.6377525252525252,0.3222222222222222,0.7555555555555554,0.8888888888888888,30
all_scope,HyperVul native MIL,mil_topk,43,0.5,0.8,0.9,0.6821969696969696,0.3722222222222222,0.7555555555555554,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_topk,44,0.4666666666666667,0.8,0.9,0.6591414141414141,0.3611111111111111,0.7722222222222221,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_topk,45,0.4666666666666667,0.8,0.9,0.6653318903318902,0.3611111111111111,0.7555555555555554,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_topk,46,0.43333333333333335,0.7333333333333333,0.9,0.6308080808080807,0.3277777777777778,0.7055555555555555,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_attention,42,0.4666666666666667,0.7666666666666667,0.9333333333333333,0.6583080808080808,0.3611111111111111,0.711111111111111,0.9055555555555554,30
all_scope,HyperVul native MIL,mil_attention,43,0.5333333333333333,0.7666666666666667,0.9,0.69006734006734,0.40555555555555556,0.7222222222222221,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_attention,44,0.5,0.7666666666666667,0.9333333333333333,0.6738383838383838,0.3944444444444445,0.711111111111111,0.9055555555555554,30
all_scope,HyperVul native MIL,mil_attention,45,0.4666666666666667,0.8,0.9,0.6605699855699855,0.3611111111111111,0.7444444444444444,0.8722222222222221,30
all_scope,HyperVul native MIL,mil_attention,46,0.5,0.8,0.9,0.6755050505050504,0.3944444444444445,0.7444444444444444,0.8722222222222221,30
reentrancy_only,HyperVul native MIL,mil_max,42,0.5,0.875,0.9375,0.709375,0.4375,0.8541666666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_max,43,0.5,0.875,0.9375,0.709375,0.4375,0.8020833333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_max,44,0.5,0.875,0.9375,0.709375,0.4375,0.8020833333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_max,45,0.625,0.875,0.9375,0.771875,0.5625,0.8541666666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_max,46,0.4375,0.875,0.9375,0.678125,0.40625,0.8020833333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_topk,42,0.5,0.875,0.9375,0.709375,0.4375,0.8229166666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_topk,43,0.5,0.8125,0.9375,0.69375,0.4375,0.7604166666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_topk,44,0.5,0.875,0.9375,0.709375,0.4375,0.8333333333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_topk,45,0.5,0.875,0.9375,0.709375,0.4375,0.8541666666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_topk,46,0.5,0.875,0.9375,0.709375,0.4375,0.8020833333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_attention,42,0.5,0.875,0.9375,0.6989583333333333,0.4375,0.8541666666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_attention,43,0.5625,0.8125,0.9375,0.725,0.4583333333333333,0.7604166666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_attention,44,0.5,0.875,0.9375,0.6989583333333333,0.4375,0.8333333333333333,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_attention,45,0.5,0.8125,0.9375,0.69375,0.4375,0.7604166666666666,0.9166666666666666,16
reentrancy_only,HyperVul native MIL,mil_attention,46,0.5625,0.875,0.9375,0.740625,0.5,0.8020833333333333,0.9166666666666666,16
all_scope,Current wrapped interaction HyperVul,wrapped_max,42,0.5333333333333333,0.8,0.9333333333333333,0.6875,0.41111111111111115,0.7777777777777778,0.9222222222222222,30
all_scope,Current wrapped interaction HyperVul,wrapped_max,43,0.43333333333333335,0.8333333333333334,0.9333333333333333,0.6489285714285714,0.3277777777777778,0.8111111111111111,0.9222222222222222,30
all_scope,Current wrapped interaction HyperVul,wrapped_max,44,0.5333333333333333,0.7666666666666667,0.9333333333333333,0.6953703703703703,0.4277777777777778,0.7666666666666667,0.9222222222222222,30
all_scope,Current wrapped interaction HyperVul,wrapped_max,45,0.43333333333333335,0.8,0.9333333333333333,0.6440211640211639,0.3277777777777778,0.8,0.9111111111111112,30
all_scope,Current wrapped interaction HyperVul,wrapped_max,46,0.5333333333333333,0.7666666666666667,0.9666666666666667,0.6930555555555554,0.41111111111111115,0.7666666666666667,0.9444444444444445,30
