run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,HyperVul native MIL,mil_max,42,contract,max_f1,max_f1,0.52,0.24468085106382978,0.7666666666666667,0.2345679012345679,0.6333333333333333,0.34234234234234234,0.47263681592039797,0.3268942267826174,0.7163003663003663,19,120,62,11,212,30,182,0.2345679012345679,0.2159090909090909,0.19469026548672566,0.52,0.49,0.394,0.7666666666666667,0.8,0.9
all_scope,HyperVul native MIL,mil_max,42,contract,high_recall,target_recall,0.394,0.17088607594936708,0.9,0.19469026548672566,0.7333333333333333,0.3076923076923077,0.4721030042918455,0.3268942267826174,0.7163003663003663,22,91,91,8,212,30,182,0.2345679012345679,0.2159090909090909,0.19469026548672566,0.52,0.49,0.394,0.7666666666666667,0.8,0.9
all_scope,HyperVul native MIL,mil_max,42,contract,precision_focused,target_precision,0.861,1.0,0.03333333333333333,1.0,0.03333333333333333,0.06451612903225806,0.04132231404958678,0.3268942267826174,0.7163003663003663,1,182,0,29,212,30,182,0.2345679012345679,0.2159090909090909,0.19469026548672566,0.52,0.49,0.394,0.7666666666666667,0.8,0.9
all_scope,HyperVul native MIL,mil_max,43,contract,max_f1,max_f1,0.764,0.27848101265822783,0.7333333333333333,0.25,0.6333333333333333,0.3584905660377358,0.4846938775510204,0.3021917870878457,0.7166666666666667,19,125,57,11,212,30,182,0.25,0.21978021978021978,0.19402985074626866,0.764,0.7010000000000001,0.502,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_max,43,contract,high_recall,target_recall,0.502,0.15976331360946747,0.9,0.19402985074626866,0.8666666666666667,0.3170731707317074,0.5118110236220472,0.3021917870878457,0.7166666666666667,26,74,108,4,212,30,182,0.25,0.21978021978021978,0.19402985074626866,0.764,0.7010000000000001,0.502,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_max,43,contract,precision_focused,target_precision,0.9480000000000001,0.75,0.1,0.625,0.16666666666666666,0.2631578947368421,0.19531249999999997,0.3021917870878457,0.7166666666666667,5,179,3,25,212,30,182,0.25,0.21978021978021978,0.19402985074626866,0.764,0.7010000000000001,0.502,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_max,44,contract,max_f1,max_f1,0.445,0.2717391304347826,0.8333333333333334,0.2247191011235955,0.6666666666666666,0.3361344537815126,0.4784688995215312,0.33083453643592287,0.7426739926739927,20,113,69,10,212,30,182,0.2247191011235955,0.2247191011235955,0.2,0.445,0.445,0.289,0.8333333333333334,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_max,44,contract,high_recall,target_recall,0.289,0.17647058823529413,0.9,0.2,0.8333333333333334,0.3225806451612903,0.5102040816326531,0.33083453643592287,0.7426739926739927,25,82,100,5,212,30,182,0.2247191011235955,0.2247191011235955,0.2,0.445,0.445,0.289,0.8333333333333334,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_max,44,contract,precision_focused,target_precision,0.863,1.0,0.06666666666666667,0.5,0.03333333333333333,0.0625,0.040983606557377046,0.33083453643592287,0.7426739926739927,1,181,1,29,212,30,182,0.2247191011235955,0.2247191011235955,0.2,0.445,0.445,0.289,0.8333333333333334,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_max,45,contract,max_f1,max_f1,0.8290000000000001,0.27631578947368424,0.7,0.2753623188405797,0.6333333333333333,0.3838383838383838,0.5026455026455026,0.3259333741597862,0.7336996336996338,19,132,50,11,212,30,182,0.2753623188405797,0.2159090909090909,0.20155038759689922,0.8290000000000001,0.785,0.639,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_max,45,contract,high_recall,target_recall,0.639,0.16363636363636364,0.9,0.20155038759689922,0.8666666666666667,0.32704402515723274,0.5220883534136546,0.3259333741597862,0.7336996336996338,26,79,103,4,212,30,182,0.2753623188405797,0.2159090909090909,0.20155038759689922,0.8290000000000001,0.785,0.639,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_max,45,contract,precision_focused,target_precision,0.785,0.23529411764705882,0.8,0.2159090909090909,0.6333333333333333,0.3220338983050848,0.4567307692307692,0.3259333741597862,0.7336996336996338,19,113,69,11,212,30,182,0.2753623188405797,0.2159090909090909,0.20155038759689922,0.8290000000000001,0.785,0.639,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_max,46,contract,max_f1,max_f1,0.501,0.26666666666666666,0.6666666666666666,0.21621621621621623,0.5333333333333333,0.3076923076923077,0.4123711340206186,0.38562128856416356,0.7316849816849816,16,124,58,14,212,30,182,0.23809523809523808,0.23255813953488372,0.20353982300884957,0.445,0.421,0.306,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_max,46,contract,high_recall,target_recall,0.306,0.16770186335403728,0.9,0.20353982300884957,0.7666666666666667,0.3216783216783217,0.4935622317596567,0.38562128856416356,0.7316849816849816,23,92,90,7,212,30,182,0.23809523809523808,0.23255813953488372,0.20353982300884957,0.445,0.421,0.306,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_max,46,contract,precision_focused,target_precision,0.405,0.22935779816513763,0.8333333333333334,0.22988505747126436,0.6666666666666666,0.34188034188034183,0.48309178743961345,0.38562128856416356,0.7316849816849816,20,115,67,10,212,30,182,0.23809523809523808,0.23255813953488372,0.20353982300884957,0.445,0.421,0.306,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,42,contract,max_f1,max_f1,0.607,0.26582278481012656,0.7,0.2345679012345679,0.6333333333333333,0.34234234234234234,0.47263681592039797,0.24469321639086405,0.6954212454212454,19,120,62,11,212,30,182,0.2345679012345679,0.1984126984126984,0.17058823529411765,0.607,0.404,0.151,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,42,contract,high_recall,target_recall,0.151,0.13846153846153847,0.9,0.17058823529411765,0.9666666666666667,0.29000000000000004,0.5000000000000001,0.24469321639086405,0.6954212454212454,29,41,141,1,212,30,182,0.2345679012345679,0.1984126984126984,0.17058823529411765,0.607,0.404,0.151,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,42,contract,precision_focused,target_precision,0.975,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.24469321639086405,0.6954212454212454,0,182,0,30,212,30,182,0.2345679012345679,0.1984126984126984,0.17058823529411765,0.607,0.404,0.151,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,43,contract,max_f1,max_f1,0.764,0.26666666666666666,0.6666666666666666,0.2345679012345679,0.6333333333333333,0.34234234234234234,0.47263681592039797,0.2865685671876514,0.714102564102564,19,120,62,11,212,30,182,0.25301204819277107,0.19047619047619047,0.1746987951807229,0.746,0.547,0.262,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,43,contract,high_recall,target_recall,0.262,0.13846153846153847,0.9,0.1746987951807229,0.9666666666666667,0.29591836734693877,0.506993006993007,0.2865685671876514,0.714102564102564,29,45,137,1,212,30,182,0.25301204819277107,0.19047619047619047,0.1746987951807229,0.746,0.547,0.262,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,43,contract,precision_focused,target_precision,0.979,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.2865685671876514,0.714102564102564,0,182,0,30,212,30,182,0.25301204819277107,0.19047619047619047,0.1746987951807229,0.746,0.547,0.262,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,44,contract,max_f1,max_f1,0.458,0.2777777777777778,0.6666666666666666,0.2608695652173913,0.6,0.36363636363636365,0.4761904761904763,0.28132910553309065,0.7124542124542125,18,131,51,12,212,30,182,0.2261904761904762,0.19327731092436976,0.17575757575757575,0.41200000000000003,0.28500000000000003,0.14400000000000002,0.7,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_topk,44,contract,high_recall,target_recall,0.14400000000000002,0.14673913043478262,0.9,0.17575757575757575,0.9666666666666667,0.29743589743589743,0.5087719298245614,0.28132910553309065,0.7124542124542125,29,46,136,1,212,30,182,0.2261904761904762,0.19327731092436976,0.17575757575757575,0.41200000000000003,0.28500000000000003,0.14400000000000002,0.7,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_topk,44,contract,precision_focused,target_precision,0.844,1.0,0.06666666666666667,0.5,0.03333333333333333,0.0625,0.040983606557377046,0.28132910553309065,0.7124542124542125,1,181,1,29,212,30,182,0.2261904761904762,0.19327731092436976,0.17575757575757575,0.41200000000000003,0.28500000000000003,0.14400000000000002,0.7,0.8333333333333334,0.9
all_scope,HyperVul native MIL,mil_topk,45,contract,max_f1,max_f1,0.811,0.26666666666666666,0.5333333333333333,0.2777777777777778,0.5,0.35714285714285715,0.43103448275862066,0.3254044655140423,0.7173992673992674,15,143,39,15,212,30,182,0.24096385542168675,0.2,0.17964071856287425,0.732,0.604,0.333,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,45,contract,high_recall,target_recall,0.333,0.13989637305699482,0.9,0.17964071856287425,1.0,0.3045685279187817,0.5226480836236934,0.3254044655140423,0.7173992673992674,30,45,137,0,212,30,182,0.24096385542168675,0.2,0.17964071856287425,0.732,0.604,0.333,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,45,contract,precision_focused,target_precision,0.9550000000000001,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3254044655140423,0.7173992673992674,0,182,0,30,212,30,182,0.24096385542168675,0.2,0.17964071856287425,0.732,0.604,0.333,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,46,contract,max_f1,max_f1,0.318,0.22,0.7333333333333333,0.22093023255813954,0.6333333333333333,0.3275862068965517,0.4611650485436893,0.27293844738756967,0.697069597069597,19,115,67,11,212,30,182,0.22093023255813954,0.19327731092436976,0.1761006289308176,0.318,0.214,0.116,0.7333333333333333,0.8,0.9
