run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
reentrancy_only,HyperVul native MIL,mil_max,42,contract,max_f1,max_f1,0.841,0.22857142857142856,0.5714285714285714,0.16666666666666666,0.375,0.23076923076923078,0.30000000000000004,0.29564619480024135,0.7002060439560439,6,152,30,10,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,42,contract,high_recall,target_recall,0.604,0.11290322580645161,1.0,0.11363636363636363,0.625,0.1923076923076923,0.3289473684210526,0.29564619480024135,0.7002060439560439,10,104,78,6,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,42,contract,precision_focused,target_precision,0.967,1.0,0.14285714285714285,1.0,0.0625,0.11764705882352941,0.07692307692307693,0.29564619480024135,0.7002060439560439,1,182,0,15,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,43,contract,max_f1,max_f1,0.785,0.2222222222222222,0.7142857142857143,0.19047619047619047,0.5,0.27586206896551724,0.3773584905660377,0.3662976213101794,0.7091346153846154,8,148,34,8,198,16,182,0.19047619047619047,0.12987012987012986,0.11702127659574468,0.785,0.624,0.529,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,43,contract,high_recall,target_recall,0.529,0.0958904109589041,1.0,0.11702127659574468,0.6875,0.19999999999999998,0.34810126582278483,0.3662976213101794,0.7091346153846154,11,99,83,5,198,16,182,0.19047619047619047,0.12987012987012986,0.11702127659574468,0.785,0.624,0.529,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,43,contract,precision_focused,target_precision,0.964,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3662976213101794,0.7091346153846154,0,182,0,16,198,16,182,0.19047619047619047,0.12987012987012986,0.11702127659574468,0.785,0.624,0.529,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,44,contract,max_f1,max_f1,0.396,0.18181818181818182,0.7142857142857143,0.14,0.4375,0.21212121212121213,0.30701754385964913,0.35686670291082484,0.7050137362637363,7,139,43,9,198,16,182,0.14,0.14102564102564102,0.11578947368421053,0.396,0.255,0.197,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,44,contract,high_recall,target_recall,0.197,0.09285714285714286,0.9285714285714286,0.11578947368421053,0.6875,0.19819819819819817,0.34591194968553457,0.35686670291082484,0.7050137362637363,11,98,84,5,198,16,182,0.14,0.14102564102564102,0.11578947368421053,0.396,0.255,0.197,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,44,contract,precision_focused,target_precision,0.855,1.0,0.14285714285714285,1.0,0.0625,0.11764705882352941,0.07692307692307693,0.35686670291082484,0.7050137362637363,1,182,0,15,198,16,182,0.14,0.14102564102564102,0.11578947368421053,0.396,0.255,0.197,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,45,contract,max_f1,max_f1,0.28600000000000003,0.18867924528301888,0.7142857142857143,0.11666666666666667,0.4375,0.18421052631578946,0.28225806451612906,0.31000283928207345,0.7015796703296704,7,129,53,9,198,16,182,0.11666666666666667,0.10638297872340426,0.11764705882352941,0.28600000000000003,0.155,0.126,0.7142857142857143,0.8571428571428571,0.9285714285714286
