split,label_group,feature,coverage,correlation_with_label,false_positive_enrichment,missing_rate,reliability
train,positive,state_update_before_external_call,0.1518324607329843,0.02191666882911381,0.304,0.0,medium
train,positive,state_update_after_external_call,0.13089005235602094,0.009682589502896062,0.204,0.0,medium
train,positive,return_value_checked,0.010471204188481676,0.003319772004095723,0.02,0.0,high
train,positive,require_assert_guard_before_call,0.5078534031413613,0.07838761145738052,0.796,0.0,low
train,positive,nonreentrant_modifier,0.16753926701570682,0.05076034174439129,0.208,0.0,high
train,positive,only_owner_or_access_control,0.10471204188481675,0.007233007268728121,0.288,0.0,medium
train,positive,callee_user_controlled,0.43455497382198954,0.02124493199640544,0.528,0.0,low
train,positive,trusted_or_fixed_callee,0.3089005235602094,0.02745827782592488,0.352,0.0,low
train,positive,safe_erc20_wrapper,0.3193717277486911,0.05620215649086748,0.572,0.0,high
train,positive,delegatecall_target_fixed,0.0,0.0,0.0,0.0,medium
train,positive,delegatecall_target_user_controlled,0.0,-0.003045784467315945,0.0,0.0,medium
train,positive,try_catch_presence,0.0,-0.005493562851050785,0.0,0.0,high
train,positive,contract_many_risky_interactions,0.3089005235602094,-0.050222191261385676,0.308,0.0,low
train,positive,contract_modifier_access_summary,0.5497382198952879,0.0010137777244678893,0.576,0.0,low
train,positive,contract_inheritance_modifier_summary,0.675392670157068,-0.03372880885348252,0.668,0.0,low
train,negative,state_update_before_external_call,0.10465375194834113,0.02191666882911381,0.304,0.0,medium
train,negative,state_update_after_external_call,0.10966377198842128,0.009682589502896062,0.204,0.0,medium
train,negative,return_value_checked,0.008350033400133601,0.003319772004095723,0.02,0.0,high
train,negative,require_assert_guard_before_call,0.26430639055889554,0.07838761145738052,0.796,0.0,low
train,negative,nonreentrant_modifier,0.07359162769984413,0.05076034174439129,0.208,0.0,high
train,negative,only_owner_or_access_control,0.09018036072144289,0.007233007268728121,0.288,0.0,medium
train,negative,callee_user_controlled,0.3629481184591405,0.02124493199640544,0.528,0.0,low
train,negative,trusted_or_fixed_callee,0.22801157871298153,0.02745827782592488,0.352,0.0,low
train,negative,safe_erc20_wrapper,0.17034068136272545,0.05620215649086748,0.572,0.0,high
train,negative,delegatecall_target_fixed,0.0,0.0,0.0,0.0,medium
train,negative,delegatecall_target_user_controlled,0.00044533511467379205,-0.003045784467315945,0.0,0.0,medium
train,negative,try_catch_presence,0.0014473391226898242,-0.005493562851050785,0.0,0.0,high
train,negative,contract_many_risky_interactions,0.4846359385437542,-0.050222191261385676,0.308,0.0,low
train,negative,contract_modifier_access_summary,0.546203518147406,0.0010137777244678893,0.576,0.0,low
train,negative,contract_inheritance_modifier_summary,0.7744377644177244,-0.03372880885348252,0.668,0.0,low
val,positive,state_update_before_external_call,0.0196078431372549,-0.021589431120031685,0.156,0.0,medium
val,positive,state_update_after_external_call,0.11764705882352941,0.034304891131787495,0.16,0.0,medium
val,positive,return_value_checked,0.0196078431372549,-0.018463230833343943,0.024,0.0,high
val,positive,require_assert_guard_before_call,0.37254901960784315,0.04040771766566528,0.54,0.0,low
val,positive,nonreentrant_modifier,0.09803921568627451,0.05246608279836561,0.06,0.0,high
val,positive,only_owner_or_access_control,0.058823529411764705,0.0030065777465015484,0.132,0.0,medium
val,positive,callee_user_controlled,0.29411764705882354,0.009870308622957031,0.52,0.0,low
val,positive,trusted_or_fixed_callee,0.27450980392156865,0.06467991490331744,0.208,0.0,low
val,positive,safe_erc20_wrapper,0.27450980392156865,0.10399746125295332,0.164,0.0,high
val,positive,delegatecall_target_fixed,0.0,0.0,0.0,0.0,medium
val,positive,delegatecall_target_user_controlled,0.0196078431372549,0.13791966747093312,0.0,0.0,medium
val,positive,try_catch_presence,0.0,-0.006130878216644804,0.004,0.0,high
val,positive,contract_many_risky_interactions,0.11764705882352941,-0.07941062754331694,0.108,0.0,low
val,positive,contract_modifier_access_summary,0.29411764705882354,-0.029668155429247892,0.256,0.0,low
val,positive,contract_inheritance_modifier_summary,0.7450980392156863,0.01938308006656275,0.492,0.0,low
val,negative,state_update_before_external_call,0.04559457794208256,-0.021589431120031685,0.156,0.0,medium
val,negative,state_update_after_external_call,0.06715958102279729,0.034304891131787495,0.16,0.0,medium
val,negative,return_value_checked,0.04066543438077634,-0.018463230833343943,0.024,0.0,high
val,negative,require_assert_guard_before_call,0.2680221811460259,0.04040771766566528,0.54,0.0,low
val,negative,nonreentrant_modifier,0.03820086260012323,0.05246608279836561,0.06,0.0,high
val,negative,only_owner_or_access_control,0.05483672211953173,0.0030065777465015484,0.132,0.0,medium
val,negative,callee_user_controlled,0.26863832409118915,0.009870308622957031,0.52,0.0,low
val,negative,trusted_or_fixed_callee,0.14171287738755392,0.06467991490331744,0.208,0.0,low
val,negative,safe_erc20_wrapper,0.09365372766481823,0.10399746125295332,0.164,0.0,high
val,negative,delegatecall_target_fixed,0.0,0.0,0.0,0.0,medium
val,negative,delegatecall_target_user_controlled,0.0,0.13791966747093312,0.0,0.0,medium
val,negative,try_catch_presence,0.0012322858903265558,-0.006130878216644804,0.004,0.0,high
val,negative,contract_many_risky_interactions,0.3345656192236599,-0.07941062754331694,0.108,0.0,low
val,negative,contract_modifier_access_summary,0.37769562538508933,-0.029668155429247892,0.256,0.0,low
val,negative,contract_inheritance_modifier_summary,0.6931608133086876,0.01938308006656275,0.492,0.0,low
