run,variant,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,concat,mil_topk,42,contract,max_f1,max_f1,0.625,0.23880597014925373,0.5333333333333333,0.2972972972972973,0.36666666666666664,0.3283582089552239,0.3503184713375796,0.4123675134786778,0.7487179487179487,11,156,26,19,212,30,182,0.27941176470588236,0.21818181818181817,0.2,0.5630000000000001,0.455,0.34,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,42,contract,high_recall,target_recall,0.34,0.14917127071823205,0.9,0.2,0.9333333333333333,0.3294117647058824,0.5384615384615384,0.4123675134786778,0.7487179487179487,28,70,112,2,212,30,182,0.27941176470588236,0.21818181818181817,0.2,0.5630000000000001,0.455,0.34,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,42,contract,precision_focused,target_precision,0.552,0.2,0.7333333333333333,0.2702702702702703,0.6666666666666666,0.3846153846153846,0.5154639175257731,0.4123675134786778,0.7487179487179487,20,128,54,10,212,30,182,0.27941176470588236,0.21818181818181817,0.2,0.5630000000000001,0.455,0.34,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,43,contract,max_f1,max_f1,0.618,0.2727272727272727,0.6,0.288135593220339,0.5666666666666667,0.38202247191011235,0.4748603351955308,0.3640752253609409,0.7351648351648351,17,140,42,13,212,30,182,0.2608695652173913,0.211864406779661,0.19148936170212766,0.5730000000000001,0.372,0.279,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,43,contract,high_recall,target_recall,0.279,0.15517241379310345,0.9,0.19148936170212766,0.9,0.3157894736842105,0.5172413793103448,0.3640752253609409,0.7351648351648351,27,68,114,3,212,30,182,0.2608695652173913,0.211864406779661,0.19148936170212766,0.5730000000000001,0.372,0.279,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,43,contract,precision_focused,target_precision,0.874,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3640752253609409,0.7351648351648351,0,182,0,30,212,30,182,0.2608695652173913,0.211864406779661,0.19148936170212766,0.5730000000000001,0.372,0.279,0.7,0.8333333333333334,0.9
all_scope,concat,mil_topk,44,contract,max_f1,max_f1,0.761,0.3,0.5,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.426829268292683,0.34248167216199515,0.7391941391941392,14,152,30,16,212,30,182,0.23255813953488372,0.21818181818181817,0.18012422360248448,0.673,0.586,0.28200000000000003,0.7,0.8,0.9
all_scope,concat,mil_topk,44,contract,high_recall,target_recall,0.28200000000000003,0.14210526315789473,0.9,0.18012422360248448,0.9666666666666667,0.30366492146596863,0.5160142348754448,0.34248167216199515,0.7391941391941392,29,50,132,1,212,30,182,0.23255813953488372,0.21818181818181817,0.18012422360248448,0.673,0.586,0.28200000000000003,0.7,0.8,0.9
all_scope,concat,mil_topk,44,contract,precision_focused,target_precision,0.879,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.34248167216199515,0.7391941391941392,0,182,0,30,212,30,182,0.23255813953488372,0.21818181818181817,0.18012422360248448,0.673,0.586,0.28200000000000003,0.7,0.8,0.9
all_scope,concat,mil_topk,45,contract,max_f1,max_f1,0.608,0.3018867924528302,0.5333333333333333,0.2549019607843137,0.43333333333333335,0.32098765432098764,0.3801169590643275,0.39067468828761337,0.7580586080586081,13,144,38,17,212,30,182,0.25925925925925924,0.21818181818181817,0.19858156028368795,0.51,0.419,0.313,0.7,0.8,0.9
all_scope,concat,mil_topk,45,contract,high_recall,target_recall,0.313,0.16071428571428573,0.9,0.19858156028368795,0.9333333333333333,0.32748538011695905,0.5363984674329503,0.39067468828761337,0.7580586080586081,28,69,113,2,212,30,182,0.25925925925925924,0.21818181818181817,0.19858156028368795,0.51,0.419,0.313,0.7,0.8,0.9
all_scope,concat,mil_topk,45,contract,precision_focused,target_precision,0.558,0.24691358024691357,0.6666666666666666,0.2676056338028169,0.6333333333333333,0.37623762376237624,0.49738219895287955,0.39067468828761337,0.7580586080586081,19,130,52,11,212,30,182,0.25925925925925924,0.21818181818181817,0.19858156028368795,0.51,0.419,0.313,0.7,0.8,0.9
all_scope,concat,mil_topk,46,contract,max_f1,max_f1,0.738,0.3,0.5,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4216867469879518,0.3882343197914814,0.7501831501831502,14,150,32,16,212,30,182,0.25925925925925924,0.24175824175824176,0.18243243243243243,0.638,0.601,0.336,0.7333333333333333,0.8,0.9
all_scope,concat,mil_topk,46,contract,high_recall,target_recall,0.336,0.14594594594594595,0.9,0.18243243243243243,0.9,0.30337078651685395,0.503731343283582,0.3882343197914814,0.7501831501831502,27,61,121,3,212,30,182,0.25925925925925924,0.24175824175824176,0.18243243243243243,0.638,0.601,0.336,0.7333333333333333,0.8,0.9
all_scope,concat,mil_topk,46,contract,precision_focused,target_precision,0.857,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3882343197914814,0.7501831501831502,0,182,0,30,212,30,182,0.25925925925925924,0.24175824175824176,0.18243243243243243,0.638,0.601,0.336,0.7333333333333333,0.8,0.9
all_scope,subtractive,mil_topk,42,contract,max_f1,max_f1,0.775,0.2535211267605634,0.6,0.26229508196721313,0.5333333333333333,0.3516483516483517,0.44198895027624313,0.32390150495852454,0.7256410256410256,16,137,45,14,212,30,182,0.23170731707317074,0.19327731092436976,0.17575757575757575,0.728,0.595,0.365,0.7,0.8333333333333334,0.9
all_scope,subtractive,mil_topk,42,contract,high_recall,target_recall,0.365,0.13989637305699482,0.9,0.17575757575757575,0.9666666666666667,0.29743589743589743,0.5087719298245614,0.32390150495852454,0.7256410256410256,29,46,136,1,212,30,182,0.23170731707317074,0.19327731092436976,0.17575757575757575,0.728,0.595,0.365,0.7,0.8333333333333334,0.9
all_scope,subtractive,mil_topk,42,contract,precision_focused,target_precision,0.9390000000000001,1.0,0.06666666666666667,0.5,0.03333333333333333,0.0625,0.040983606557377046,0.32390150495852454,0.7256410256410256,1,181,1,29,212,30,182,0.23170731707317074,0.19327731092436976,0.17575757575757575,0.728,0.595,0.365,0.7,0.8333333333333334,0.9
all_scope,subtractive,mil_topk,43,contract,max_f1,max_f1,0.542,0.25,0.6666666666666666,0.2328767123287671,0.5666666666666667,0.3300970873786407,0.4404145077720207,0.3174797571874566,0.7170329670329669,17,126,56,13,212,30,182,0.2222222222222222,0.21782178217821782,0.18181818181818182,0.48,0.41100000000000003,0.179,0.7333333333333333,0.8,0.9
all_scope,subtractive,mil_topk,43,contract,high_recall,target_recall,0.179,0.14361702127659576,0.9,0.18181818181818182,1.0,0.3076923076923077,0.5263157894736843,0.3174797571874566,0.7170329670329669,30,47,135,0,212,30,182,0.2222222222222222,0.21782178217821782,0.18181818181818182,0.48,0.41100000000000003,0.179,0.7333333333333333,0.8,0.9
all_scope,subtractive,mil_topk,43,contract,precision_focused,target_precision,0.89,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3174797571874566,0.7170329670329669,0,182,0,30,212,30,182,0.2222222222222222,0.21782178217821782,0.18181818181818182,0.48,0.41100000000000003,0.179,0.7333333333333333,0.8,0.9
all_scope,subtractive,mil_topk,44,contract,max_f1,max_f1,0.742,0.2909090909090909,0.5333333333333333,0.2962962962962963,0.5333333333333333,0.38095238095238093,0.4597701149425288,0.3227680020499589,0.7230769230769231,16,144,38,14,212,30,182,0.23595505617977527,0.2032520325203252,0.17682926829268292,0.612,0.431,0.245,0.7333333333333333,0.8666666666666667,0.9
all_scope,subtractive,mil_topk,44,contract,high_recall,target_recall,0.245,0.14594594594594595,0.9,0.17682926829268292,0.9666666666666667,0.29896907216494845,0.5105633802816901,0.3227680020499589,0.7230769230769231,29,47,135,1,212,30,182,0.23595505617977527,0.2032520325203252,0.17682926829268292,0.612,0.431,0.245,0.7333333333333333,0.8666666666666667,0.9
