run,variant,seed,split,threshold_from_val,protected_reentrancy_false_positives,concat_baseline_protected_fp,protected_fp_reduction_vs_concat
all_scope,concat,42,val,0.625,50,50,0
all_scope,concat,42,test,0.625,22,22,0
all_scope,concat,43,val,0.618,44,44,0
all_scope,concat,43,test,0.618,34,34,0
all_scope,concat,44,val,0.761,33,33,0
all_scope,concat,44,test,0.761,23,23,0
all_scope,concat,45,val,0.608,34,34,0
all_scope,concat,45,test,0.608,31,31,0
all_scope,concat,46,val,0.738,34,34,0
all_scope,concat,46,test,0.738,27,27,0
all_scope,subtractive,42,val,0.775,49,50,1
all_scope,subtractive,42,test,0.775,36,22,-14
all_scope,subtractive,43,val,0.542,55,44,-11
all_scope,subtractive,43,test,0.542,44,34,-10
all_scope,subtractive,44,val,0.742,36,33,-3
all_scope,subtractive,44,test,0.742,30,23,-7
all_scope,subtractive,45,val,0.792,37,34,-3
all_scope,subtractive,45,test,0.792,37,31,-6
all_scope,subtractive,46,val,0.749,51,34,-17
all_scope,subtractive,46,test,0.749,39,27,-12
all_scope,gated,42,val,0.807,48,50,2
all_scope,gated,42,test,0.807,28,22,-6
all_scope,gated,43,val,0.635,45,44,-1
all_scope,gated,43,test,0.635,34,34,0
all_scope,gated,44,val,0.743,38,33,-5
all_scope,gated,44,test,0.743,31,23,-8
all_scope,gated,45,val,0.664,33,34,1
all_scope,gated,45,test,0.664,28,31,3
all_scope,gated,46,val,0.789,42,34,-8
all_scope,gated,46,test,0.789,27,27,0
all_scope,rule_suppression,42,val,0.807,18,50,32
all_scope,rule_suppression,42,test,0.807,7,22,15
all_scope,rule_suppression,43,val,0.511,57,44,-13
all_scope,rule_suppression,43,test,0.511,43,34,-9
all_scope,rule_suppression,44,val,0.611,54,33,-21
all_scope,rule_suppression,44,test,0.611,38,23,-15
all_scope,rule_suppression,45,val,0.851,21,34,13
all_scope,rule_suppression,45,test,0.851,15,31,16
all_scope,rule_suppression,46,val,0.486,60,34,-26
all_scope,rule_suppression,46,test,0.486,46,27,-19
reentrancy_only,concat,42,val,0.625,8,8,0
reentrancy_only,concat,42,test,0.625,4,4,0
reentrancy_only,concat,43,val,0.201,100,100,0
reentrancy_only,concat,43,test,0.201,55,55,0
reentrancy_only,concat,44,val,0.17200000000000001,90,90,0
reentrancy_only,concat,44,test,0.17200000000000001,44,44,0
reentrancy_only,concat,45,val,0.8230000000000001,11,11,0
reentrancy_only,concat,45,test,0.8230000000000001,6,6,0
reentrancy_only,concat,46,val,0.79,5,5,0
reentrancy_only,concat,46,test,0.79,1,1,0
reentrancy_only,subtractive,42,val,0.729,3,8,5
reentrancy_only,subtractive,42,test,0.729,8,4,-4
reentrancy_only,subtractive,43,val,0.8320000000000001,8,100,92
reentrancy_only,subtractive,43,test,0.8320000000000001,9,55,46
reentrancy_only,subtractive,44,val,0.75,6,90,84
reentrancy_only,subtractive,44,test,0.75,9,44,35
reentrancy_only,subtractive,45,val,0.718,3,11,8
reentrancy_only,subtractive,45,test,0.718,10,6,-4
reentrancy_only,subtractive,46,val,0.917,4,5,1
reentrancy_only,subtractive,46,test,0.917,7,1,-6
reentrancy_only,gated,42,val,0.778,2,8,6
reentrancy_only,gated,42,test,0.778,3,4,1
reentrancy_only,gated,43,val,0.882,5,100,95
reentrancy_only,gated,43,test,0.882,6,55,49
reentrancy_only,gated,44,val,0.777,6,90,84
reentrancy_only,gated,44,test,0.777,4,44,40
reentrancy_only,gated,45,val,0.833,3,11,8
reentrancy_only,gated,45,test,0.833,4,6,2
reentrancy_only,gated,46,val,0.876,3,5,2
reentrancy_only,gated,46,test,0.876,3,1,-2
reentrancy_only,rule_suppression,42,val,0.914,2,8,6
reentrancy_only,rule_suppression,42,test,0.914,1,4,3
reentrancy_only,rule_suppression,43,val,0.719,33,100,67
reentrancy_only,rule_suppression,43,test,0.719,25,55,30
reentrancy_only,rule_suppression,44,val,0.49,2,90,88
reentrancy_only,rule_suppression,44,test,0.49,11,44,33
reentrancy_only,rule_suppression,45,val,0.84,34,11,-23
reentrancy_only,rule_suppression,45,test,0.84,19,6,-13
reentrancy_only,rule_suppression,46,val,0.912,1,5,4
reentrancy_only,rule_suppression,46,test,0.912,0,1,1
