review_priority,contract_id,source_path,function_name,source_span,predicted_score,current_label,vulnerability_type,detected_safety_features,external_call_line,state_update_line,modifier_guard_evidence,code_snippet,interaction_id,category,evidence,safety_feature_count
top50_highest_score|top50_weak_or_no_safety,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Distribution,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol,claim,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol#L109-L147,0.986448525385967,0,,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,"L36: tngToken.transfer(_msgSender(), tokenQuantity);",L2: Account storage userAccount = accounts[_msgSender()];,"L4: require(tokenAllocation > 0, ""Nothing to claim"");","31: \n32:         //For tracking\n33:         totalPendingVestingToken = totalPendingVestingToken.sub(tokenQuantity);\n34: \n35:         //Release token\n36:         tngToken.transfer(_msgSender(), tokenQuantity);\n37: \n38:         emit Claimed(_msgSender(), tokenQuantity);\n39:     }",i:claim,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,3
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::HoldStake,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol,addPool,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol#L83-L99,0.9826690809161039,0,,state_update_after_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L9: pid++;,"L7: require(address(token) != address(0), ""Hold: Token address is zero""); | function addPool(
        IERC20 token,
        uint256 hardcap,
        uint256 preUserHardcap,
        uint256 apy
    ) external onlyOwner","1: function addPool(\n2:         IERC20 token,\n3:         uint256 hardcap,\n4:         uint256 preUserHardcap,\n5:         uint256 apy\n6:     ) external onlyOwner {\n7:         require(address(token) != address(0), ""Hold: Token address is zero"");\n8:         token.balanceOf(address(this)); //Check ERC20\n9:         pid++;\n10:         HoldPool storage holdPool = holdPools[pid];\n11:         holdPool.apy = apy;\n12:         holdPool.token = token;\n13:         holdPool.hardcap = hardcap;\n14:         holdPool.preUserHardcap = preUserHardcap;",i:addPool,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4::PayableProxyForSoloMargin,DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/external/proxies/PayableProxyForSoloMargin.sol,operate,DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/external/proxies/PayableProxyForSoloMargin.sol#L77-L124,0.9826424245645164,0,,nonreentrant_modifier|callee_user_controlled|trusted_or_fixed_callee|contract_modifier_access_summary,L46: msg.sender.transfer(remainingWeth);,L15: for (uint256 i = 0; i < args.length; i++) {,nonReentrant/modifier,41: \n42:         // return all remaining WETH to the msg.sender as ETH\n43:         uint256 remainingWeth = WETH.balanceOf(address(this));\n44:         if (remainingWeth != 0) {\n45:             WETH.withdraw(remainingWeth);\n46:             msg.sender.transfer(remainingWeth);\n47:         }\n48:     },i:operate,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,4
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b::GaugeD1,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/GaugeD1.sol,deposit,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/GaugeD1.sol#L99-L127,0.9823820231697554,0,,require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L24: IERC20(acceptToken).transfer(vcHolding, _amountCommitHard);",L9: uint256 _acceptTokenAmount = _amountCommitSoft.add(_amountCommitHard);,"nonReentrant/modifier | L2: require(block.number <= endBlock, ""GAUGE: distribution 1 over"");","6:     	_claimSTACK(_creditTo); // new deposit doesn't get tokens right away\n7: \n8:     	// transfer tokens from sender to account\n9:     	uint256 _acceptTokenAmount = _amountCommitSoft.add(_amountCommitHard);\n10:     	if (_acceptTokenAmount > 0){\n11:     		IERC20(acceptToken).safeTransferFrom(msg.sender, address(this), _acceptTokenAmount);\n12:     	}\n13: \n14:     	CommitState memory _state = balances[_creditTo];\n15:     	// no need to update _state.tokensAccrued because that's already done in _claimSTACK\n16:     	if (_amountCommitSoft > 0){\n17:     		_state.balanceCommitSoft = _state.balanceCommitSoft.add(_amountCommitSoft);\n18: 			depositedCommitSoft = depositedCommitSoft.add(_amountCommitSoft);\n19:     	}",i:deposit,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score|top50_weak_or_no_safety,DAPP::DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6::IncognitoProxy,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol,swapBridgeCommittee,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol#L87-L145,0.980475517489832,0,,require_assert_guard_before_call,,L12: bytes32 instHash = keccak256(inst);,L15: require(instructionApproved(,"1: function swapBridgeCommittee(\n2:         bytes memory inst,\n3:         bytes32[][2] memory instPaths,\n4:         bool[][2] memory instPathIsLefts,\n5:         bytes32[2] memory instRoots,\n6:         bytes32[2] memory blkData,\n7:         uint[][2] memory sigIdxs,\n8:         uint8[][2] memory sigVs,\n9:         bytes32[][2] memory sigRs,\n10:         bytes32[][2] memory sigSs\n11:     ) public isNotPaused {\n12:         bytes32 instHash = keccak256(inst);\n13: \n14:         // Verify instruction on beacon",i:swapBridgeCommittee,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,1
top50_highest_score,DAPP::DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd::Emperium,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol,add,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol#L686-L696,0.9798872694101567,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary,,L5: isTokenInPool[token] = true;,"L2: require(!isTokenInPool[token], ""duplicated""); | function add(IERC20 token, uint64 allocPoint) external onlyOwner","1: function add(IERC20 token, uint64 allocPoint) external onlyOwner {\n2:         require(!isTokenInPool[token], ""duplicated"");\n3:         massUpdatePools();\n4: \n5:         isTokenInPool[token] = true;\n6:         totalAllocPoint += allocPoint;\n7:         poolInfo.push(\n8:             PoolInfo({token: token, allocPoint: allocPoint, lastRewardTime: uint64(block.timestamp), accKSWPerShare: 0})\n9:         );\n10:         emit AddPool(poolInfo.length - 1, token, allocPoint);\n11:     }",i:add,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,4
top50_highest_score,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishServicesContract,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol,createValidator,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol#L106-L142,0.9734371169176306,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L13: _state = State.PostDeposit;,"L12: require(_state == State.PreDeposit, ""Validator has been created""); | function createValidator(
        bytes calldata validatorPubKey, // 48 bytes
        bytes calldata depositSignature, // 96 bytes
        bytes32 depositDataRoot,
        uint64 exitDate
    )
        external
        override
        onlyOperator","1: function createValidator(\n2:         bytes calldata validatorPubKey, // 48 bytes\n3:         bytes calldata depositSignature, // 96 bytes\n4:         bytes32 depositDataRoot,\n5:         uint64 exitDate\n6:     )\n7:         external\n8:         override\n9:         onlyOperator\n10:     {\n11: \n12:         require(_state == State.PreDeposit, ""Validator has been created"");\n13:         _state = State.PostDeposit;\n14: ",i:createValidator,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-Buffer/code::BufferBNBPool,DAppSCAN-source/contracts/PeckShield-Buffer/code/Buffer-Protocol-1c648bb35feca23bc801ce76aba63ca66af5917e/contracts/Pool/BufferBNBPool.sol,send,DAppSCAN-source/contracts/PeckShield-Buffer/code/Buffer-Protocol-1c648bb35feca23bc801ce76aba63ca66af5917e/contracts/Pool/BufferBNBPool.sol#L173-L196,0.9729928102876043,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,L19: to.transfer(transferAmount);,L10: LockedLiquidity storage ll = lockedLiquidity[msg.sender][id];,"L6: require( | function send(
        uint256 id,
        address payable to,
        uint256 amount
    ) external override","14:         ll.locked = false;\n15:         lockedPremium = lockedPremium - ll.premium;\n16:         lockedAmount = lockedAmount - ll.amount;\n17: \n18:         uint256 transferAmount = amount > ll.amount ? ll.amount : amount;\n19:         to.transfer(transferAmount);\n20: \n21:         if (transferAmount <= ll.premium)\n22:             emit Profit(id, ll.premium - transferAmount);\n23:         else emit Loss(id, transferAmount - ll.premium);\n24:     }",i:send,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b::VCTreasuryV1,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Treasury/VCTreasuryV1.sol,investExecute,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Treasury/VCTreasuryV1.sol#L225-L249,0.9728160250018606,0,,state_update_before_external_call|require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,L24: msg.sender.transfer(_buy.ethOut); // send the ETH out,L5: BuyProposal memory _buy = currentBuyProposal;,"nonReentrant/modifier | L3: require(currentState == FundStates.active, ""TREASURYV1: !FundStates.active"");","11: \n12: 		BuyProposal memory _reset;\n13: 		currentBuyProposal = _reset; // set investment proposal to a blank proposal, re-entrancy guard\n14: \n15: 		uint256 _before = IERC20(_buy.tokenAccept).balanceOf(address(this));\n16: 		IERC20(_buy.tokenAccept).safeTransferFrom(msg.sender, address(this), _amount);\n17: 		uint256 _after = IERC20(_buy.tokenAccept).balanceOf(address(this));\n18: 		require(_after.sub(_before) >= _buy.amountInMin, ""TREASURYV1: received < amountInMin""); // check again to verify received amount was correct\n19: \n20: 		boughtTokens[_buy.tokenAccept] = true;\n21: \n22: 		InvestmentExecuted(_buy.buyId, _buy.tokenAccept, _amount, _buy.ethOut, msg.sender, block.timestamp);\n23: \n24: 		msg.sender.transfer(_buy.ethOut); // send the ETH out",i:investExecute,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,7
top50_highest_score,FORGE::vfp_00122::TroveManager,TroveManager.sol,_updateSystemSnapshots_excludeCollRemainder,TroveManager.sol#L1062-L1068,0.9723386897386972,0,,state_update_before_external_call|state_update_after_external_call|callee_user_controlled|contract_many_risky_interactions|contract_inheritance_modifier_summary,,L2: totalStakesSnapshot = totalStakes;,,"1: function _updateSystemSnapshots_excludeCollRemainder(IActivePool _activePool, uint256 _collRemainder) internal {\n2:         totalStakesSnapshot = totalStakes;\n3: \n4:         uint256 activeColl = _activePool.getCollBalance();\n5:         uint256 liquidatedColl = defaultPool.getCollBalance();\n6:         totalCollateralSnapshot = activeColl - _collRemainder + liquidatedColl;\n7:     }",i:_updateSystemSnapshots_excludeCollRemainder,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::IDO,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/ido/IDO.sol,createIDO,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/ido/IDO.sol#L181-L226,0.9721695135807521,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L35: idoToken.safeTransferFrom(msg.sender, address(this), idoTotal);",L24: IDOIssue = IDOIssue.add(1);,"L10: require( | function createIDO(
        IBEP20 idoToken,
        IBEP20 receiveToken,
        uint256 price,
        uint256 idoTotal,
        uint256 maxLimit,
        uint256 startTime,
        uint256 duration
    ) external onlyOwner","30:         ido.maxLimit = maxLimit;\n31:         ido.idoTotal = idoTotal;\n32:         ido.startTime = startTime;\n33:         ido.duration = duration;\n34: \n35:         idoToken.safeTransferFrom(msg.sender, address(this), idoTotal);\n36:         emit IDOCreate(\n37:             IDOIssue,\n38:             address(idoToken),\n39:             address(receiveToken),\n40:             price,\n41:             maxLimit,\n42:             idoTotal,\n43:             startTime,",i:createIDO,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,7
top50_highest_score|top50_weak_or_no_safety,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140::ERC1155DividendToken,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/libs/ERC1155DividendToken.sol,_distributeDividends,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/libs/ERC1155DividendToken.sol#L192-L220,0.9718086695576891,0,,require_assert_guard_before_call|trusted_or_fixed_callee|safe_erc20_wrapper,L22: IERC20(dividendToken).safeTransferFrom(,L6: uint256 tokenTotalSupply = totalSupply(tokenID);,L7: require(tokenTotalSupply > 0);,"17: \n18:         data.magnifiedDividendPerShare[tokenID] +=\n19:             (amount * magnitude) /\n20:             tokenTotalSupply;\n21: \n22:         IERC20(dividendToken).safeTransferFrom(\n23:             msg.sender,\n24:             address(this),\n25:             amount\n26:         );\n27: \n28:         emit DividendsDistributed(tokenID, msg.sender, dividendToken, amount);\n29:     }",i:_distributeDividends,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,3
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::DepositPool,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/DepositPool.sol,withdraw,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/DepositPool.sol#L242-L260,0.9705888365967381,0,,require_assert_guard_before_call|callee_user_controlled|trusted_or_fixed_callee|safe_erc20_wrapper|contract_many_risky_interactions|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L15: ERC20(pool.token).safeTransfer(tx.origin, _amount);",L2: PoolInfo storage pool = poolInfo[_pid];,"L4: require(user.amount >= _amount, ""DepositPool: withdraw: not good"");","10:             pool.allocRewardAmount = pool.allocRewardAmount.sub(pendingAmount);\n11:         }\n12:         if (_amount > 0) {\n13:             user.amount = user.amount.sub(_amount);\n14:             pool.totalAmount = pool.totalAmount.sub(_amount);\n15:             ERC20(pool.token).safeTransfer(tx.origin, _amount);\n16:         }\n17:         user.rewardDebt = user.amount.mul(pool.accRewardPerShare).div(1e12);\n18:         emit Withdraw(tx.origin, _pid, _amount);\n19:     }",i:withdraw,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,7
top50_highest_score,DAPP::DAppSCAN-source/contracts/QuillAudits-BCUBE Smart Contract/b-cube-ico-13f9f8a991a65f3e0ca60a2078121fdd5a921fb0::NewSaleTreasury,DAppSCAN-source/contracts/QuillAudits-BCUBE Smart Contract/b-cube-ico-13f9f8a991a65f3e0ca60a2078121fdd5a921fb0/contracts/NewSaleTreasury.sol,shareWithdraw,DAppSCAN-source/contracts/QuillAudits-BCUBE Smart Contract/b-cube-ico-13f9f8a991a65f3e0ca60a2078121fdd5a921fb0/contracts/NewSaleTreasury.sol#L120-L146,0.9704820067673641,0,,require_assert_guard_before_call|nonreentrant_modifier|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary,"L25: token.safeTransfer(_msgSender(), bcubeAmount);","L11: uint256 allowance = calcAllowance(_msgSender(), now);",nonReentrant/modifier | L6: require(,"20:             finalWithdrawn <=\n21:                 bcubeAllocationRegistry[_msgSender()].currentAllowance,\n22:             ""Insufficient allowance""\n23:         );\n24:         bcubeAllocationRegistry[_msgSender()].shareWithdrawn = finalWithdrawn;\n25:         token.safeTransfer(_msgSender(), bcubeAmount);\n26:         emit LogPublicSaleShareWithdrawn(_msgSender(), bcubeAmount);\n27:     }",i:shareWithdraw,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129::SwapMining,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6/protocol/apis/mdex/SwapMining.sol,addPair,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6/protocol/apis/mdex/SwapMining.sol#L76-L98,0.9696182582280936,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L10: uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;,"L6: require(_pair != address(0), ""_pair is the zero address""); | function addPair(
    uint256 _allocPoint,
    address _pair,
    bool _withUpdate
  ) public onlyOwner","1: function addPair(\n2:     uint256 _allocPoint,\n3:     address _pair,\n4:     bool _withUpdate\n5:   ) public onlyOwner {\n6:     require(_pair != address(0), ""_pair is the zero address"");\n7:     if (_withUpdate) {\n8:       massMintPools();\n9:     }\n10:     uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;\n11:     totalAllocPoint = totalAllocPoint.add(_allocPoint);\n12:     poolInfo.push(\n13:       PoolInfo({\n14:         pair: _pair,",i:addPair,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08::BaseReactor,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08/contracts/reactor/BaseReactor.sol,recoverERC20,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08/contracts/reactor/BaseReactor.sol#L579-L587,0.9677991085253339,0,,require_assert_guard_before_call|only_owner_or_access_control|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L7: IERC20(tokenAddress).safeTransfer(to, amountToRecover);",,"L6: if (tokenAddress == address(stablecoin)) revert InvalidToken(); | function recoverERC20(
        address tokenAddress,
        address to,
        uint256 amountToRecover
    ) external onlyGovernor","2:         address tokenAddress,\n3:         address to,\n4:         uint256 amountToRecover\n5:     ) external onlyGovernor {\n6:         if (tokenAddress == address(stablecoin)) revert InvalidToken();\n7:         IERC20(tokenAddress).safeTransfer(to, amountToRecover);\n8:         emit Recovered(tokenAddress, to, amountToRecover);\n9:     }",i:recoverERC20,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08::Reactor,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08/contracts/reactor/BaseReactor.sol,recoverERC20,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08/contracts/reactor/BaseReactor.sol#L579-L587,0.9677985512650337,0,,require_assert_guard_before_call|only_owner_or_access_control|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L7: IERC20(tokenAddress).safeTransfer(to, amountToRecover);",,"L6: if (tokenAddress == address(stablecoin)) revert InvalidToken(); | function recoverERC20(
        address tokenAddress,
        address to,
        uint256 amountToRecover
    ) external onlyGovernor","2:         address tokenAddress,\n3:         address to,\n4:         uint256 amountToRecover\n5:     ) external onlyGovernor {\n6:         if (tokenAddress == address(stablecoin)) revert InvalidToken();\n7:         IERC20(tokenAddress).safeTransfer(to, amountToRecover);\n8:         emit Recovered(tokenAddress, to, amountToRecover);\n9:     }",i:recoverERC20,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::LiquidityPool,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/LiquidityPoolOther.sol,additionalNft,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/LiquidityPoolOther.sol#L280-L309,0.9677361981879732,0,,require_assert_guard_before_call|callee_user_controlled|trusted_or_fixed_callee|safe_erc20_wrapper|contract_many_risky_interactions|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L11: IERC20(rewardToken).safeTransferFrom(msg.sender, feeWallet, nftSlotFee);",L2: PoolInfo storage pool = poolInfo[_pid];,"L4: require(user.additionalNftId == 0, ""nft already set"");","6: \n7:         uint256 level = IDsgNft(pool.additionalNft).getLevel(nftId);\n8:         require(level > 0, ""no level"");\n9: \n10:         if(nftSlotFee > 0) {\n11:             IERC20(rewardToken).safeTransferFrom(msg.sender, feeWallet, nftSlotFee);\n12:         }\n13: \n14:         IDsgNft(pool.additionalNft).safeTransferFrom(msg.sender, address(this), nftId);\n15:         IDsgNft(pool.additionalNft).burn(nftId);\n16: \n17:         if (user.amount > 0) {\n18:             uint256 pending = user.amount.mul(pool.accRewardPerShare).div(1e12).sub(user.rewardDebt);\n19:             user.rewardPending = user.rewardPending.add(pending);",i:additionalNft,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,7
top50_highest_score,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::LeveragePool,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/LeveragePool/LeveragePool.sol,withdrawAdminFees,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/LeveragePool/LeveragePool.sol#L178-L183,0.9671897545726628,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary,"L5: if (address(collateralToken)!=address(0x0)) require(collateralToken.transfer(msg.sender,uint256(amount)),""Transfer failed"");",L4: adminFees-=amount;,"L2: require (msg.sender==admin,""Only admin""); | function withdrawAdminFees(int256 amount) external","1: function withdrawAdminFees(int256 amount) external {\n2:         require (msg.sender==admin,""Only admin"");\n3:         require (amount<=adminFees,""Not enough funds"");\n4:         adminFees-=amount;\n5:         if (address(collateralToken)!=address(0x0)) require(collateralToken.transfer(msg.sender,uint256(amount)),""Transfer failed"");\n6:     }",i:withdrawAdminFees,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::SwapMining,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/SwapMining.sol,addPair,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/SwapMining.sol#L91-L107,0.9671502375425632,0,,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L6: uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;,"L2: require(_pair != address(0), ""_pair is the zero address""); | function addPair(uint256 _allocPoint, address _pair, bool _withUpdate) public onlyOwner","1: function addPair(uint256 _allocPoint, address _pair, bool _withUpdate) public onlyOwner {\n2:         require(_pair != address(0), ""_pair is the zero address"");\n3:         if (_withUpdate) {\n4:             massMintPools();\n5:         }\n6:         uint256 lastRewardBlock = block.number > startBlock ? block.number : startBlock;\n7:         totalAllocPoint = totalAllocPoint.add(_allocPoint);\n8:         poolInfo.push(PoolInfo({\n9:         pair : _pair,\n10:         quantity : 0,\n11:         totalQuantity : 0,\n12:         allocPoint : _allocPoint,\n13:         allocMdxAmount : 0,\n14:         lastRewardBlock : lastRewardBlock",i:addPair,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
