review_priority,contract_id,source_path,function_name,source_span,predicted_score,current_label,vulnerability_type,risk_evidence,safety_protection_evidence,detected_safety_features,external_call_line,state_update_line,modifier_guard_evidence,code_snippet,interaction_id,suggested_category,category,evidence,safety_feature_count
top50_highest_score|top50_weak_or_no_safety,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Distribution,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol,claim,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol#L109-L147,0.986448525385967,0,,external call plus guard/modifier/state-update signal,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,"L36: tngToken.transfer(_msgSender(), tokenQuantity);",L2: Account storage userAccount = accounts[_msgSender()];,"L4: require(tokenAllocation > 0, ""Nothing to claim"");","31: \n32:         //For tracking\n33:         totalPendingVestingToken = totalPendingVestingToken.sub(tokenQuantity);\n34: \n35:         //Release token\n36:         tngToken.transfer(_msgSender(), tokenQuantity);\n37: \n38:         emit Claimed(_msgSender(), tokenQuantity);\n39:     }",i:claim,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,3
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::HoldStake,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol,addPool,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol#L83-L99,0.9826690809161039,0,,external call plus guard/modifier/state-update signal,state_update_after_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary|access_control_signal,state_update_after_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L9: pid++;,"L7: require(address(token) != address(0), ""Hold: Token address is zero""); | function addPool(
        IERC20 token,
        uint256 hardcap,
        uint256 preUserHardcap,
        uint256 apy
    ) external onlyOwner","1: function addPool(\n2:         IERC20 token,\n3:         uint256 hardcap,\n4:         uint256 preUserHardcap,\n5:         uint256 apy\n6:     ) external onlyOwner {\n7:         require(address(token) != address(0), ""Hold: Token address is zero"");\n8:         token.balanceOf(address(this)); //Check ERC20\n9:         pid++;\n10:         HoldPool storage holdPool = holdPools[pid];\n11:         holdPool.apy = apy;\n12:         holdPool.token = token;\n13:         holdPool.hardcap = hardcap;\n14:         holdPool.preUserHardcap = preUserHardcap;",i:addPool,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4::PayableProxyForSoloMargin,DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/external/proxies/PayableProxyForSoloMargin.sol,operate,DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/external/proxies/PayableProxyForSoloMargin.sol#L77-L124,0.9826424245645164,0,,external call plus guard/modifier/state-update signal,nonreentrant_modifier|callee_user_controlled|trusted_or_fixed_callee|contract_modifier_access_summary,nonreentrant_modifier|callee_user_controlled|trusted_or_fixed_callee|contract_modifier_access_summary,L46: msg.sender.transfer(remainingWeth);,L15: for (uint256 i = 0; i < args.length; i++) {,nonReentrant/modifier,41: \n42:         // return all remaining WETH to the msg.sender as ETH\n43:         uint256 remainingWeth = WETH.balanceOf(address(this));\n44:         if (remainingWeth != 0) {\n45:             WETH.withdraw(remainingWeth);\n46:             msg.sender.transfer(remainingWeth);\n47:         }\n48:     },i:operate,protected_negative,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,4
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b::GaugeD1,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/GaugeD1.sol,deposit,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/GaugeD1.sol#L99-L127,0.9823820231697554,0,,external call plus guard/modifier/state-update signal,require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,"L24: IERC20(acceptToken).transfer(vcHolding, _amountCommitHard);",L9: uint256 _acceptTokenAmount = _amountCommitSoft.add(_amountCommitHard);,"nonReentrant/modifier | L2: require(block.number <= endBlock, ""GAUGE: distribution 1 over"");","6:     	_claimSTACK(_creditTo); // new deposit doesn't get tokens right away\n7: \n8:     	// transfer tokens from sender to account\n9:     	uint256 _acceptTokenAmount = _amountCommitSoft.add(_amountCommitHard);\n10:     	if (_acceptTokenAmount > 0){\n11:     		IERC20(acceptToken).safeTransferFrom(msg.sender, address(this), _acceptTokenAmount);\n12:     	}\n13: \n14:     	CommitState memory _state = balances[_creditTo];\n15:     	// no need to update _state.tokensAccrued because that's already done in _claimSTACK\n16:     	if (_amountCommitSoft > 0){\n17:     		_state.balanceCommitSoft = _state.balanceCommitSoft.add(_amountCommitSoft);\n18: 			depositedCommitSoft = depositedCommitSoft.add(_amountCommitSoft);\n19:     	}",i:deposit,protected_negative,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score|top50_weak_or_no_safety,DAPP::DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6::IncognitoProxy,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol,swapBridgeCommittee,DAppSCAN-source/contracts/Coinspect-Incognito Audit/bridge-eth-4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol#L87-L145,0.980475517489832,0,,external call plus guard/modifier/state-update signal,require_assert_guard_before_call,require_assert_guard_before_call,,L12: bytes32 instHash = keccak256(inst);,L15: require(instructionApproved(,"1: function swapBridgeCommittee(\n2:         bytes memory inst,\n3:         bytes32[][2] memory instPaths,\n4:         bool[][2] memory instPathIsLefts,\n5:         bytes32[2] memory instRoots,\n6:         bytes32[2] memory blkData,\n7:         uint[][2] memory sigIdxs,\n8:         uint8[][2] memory sigVs,\n9:         bytes32[][2] memory sigRs,\n10:         bytes32[][2] memory sigSs\n11:     ) public isNotPaused {\n12:         bytes32 instHash = keccak256(inst);\n13: \n14:         // Verify instruction on beacon",i:swapBridgeCommittee,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,1
top50_highest_score,DAPP::DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd::Emperium,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol,add,DAppSCAN-source/contracts/Inspex-AutoCompound/auto-compound-v2-92626a1dcfc55a28afdf4f996d600fe8bbfd6efd/Emperium.sol#L686-L696,0.9798872694101567,0,,external call plus guard/modifier/state-update signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|access_control_signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary,,L5: isTokenInPool[token] = true;,"L2: require(!isTokenInPool[token], ""duplicated""); | function add(IERC20 token, uint64 allocPoint) external onlyOwner","1: function add(IERC20 token, uint64 allocPoint) external onlyOwner {\n2:         require(!isTokenInPool[token], ""duplicated"");\n3:         massUpdatePools();\n4: \n5:         isTokenInPool[token] = true;\n6:         totalAllocPoint += allocPoint;\n7:         poolInfo.push(\n8:             PoolInfo({token: token, allocPoint: allocPoint, lastRewardTime: uint64(block.timestamp), accKSWPerShare: 0})\n9:         );\n10:         emit AddPool(poolInfo.length - 1, token, allocPoint);\n11:     }",i:add,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,4
top50_highest_score,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishServicesContract,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol,createValidator,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol#L106-L142,0.9734371169176306,0,,external call plus guard/modifier/state-update signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary|access_control_signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|contract_modifier_access_summary|contract_inheritance_modifier_summary,,L13: _state = State.PostDeposit;,"L12: require(_state == State.PreDeposit, ""Validator has been created""); | function createValidator(
        bytes calldata validatorPubKey, // 48 bytes
        bytes calldata depositSignature, // 96 bytes
        bytes32 depositDataRoot,
        uint64 exitDate
    )
        external
        override
        onlyOperator","1: function createValidator(\n2:         bytes calldata validatorPubKey, // 48 bytes\n3:         bytes calldata depositSignature, // 96 bytes\n4:         bytes32 depositDataRoot,\n5:         uint64 exitDate\n6:     )\n7:         external\n8:         override\n9:         onlyOperator\n10:     {\n11: \n12:         require(_state == State.PreDeposit, ""Validator has been created"");\n13:         _state = State.PostDeposit;\n14: ",i:createValidator,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-Buffer/code::BufferBNBPool,DAppSCAN-source/contracts/PeckShield-Buffer/code/Buffer-Protocol-1c648bb35feca23bc801ce76aba63ca66af5917e/contracts/Pool/BufferBNBPool.sol,send,DAppSCAN-source/contracts/PeckShield-Buffer/code/Buffer-Protocol-1c648bb35feca23bc801ce76aba63ca66af5917e/contracts/Pool/BufferBNBPool.sol#L173-L196,0.9729928102876043,0,,external call plus guard/modifier/state-update signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary|access_control_signal,state_update_before_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,L19: to.transfer(transferAmount);,L10: LockedLiquidity storage ll = lockedLiquidity[msg.sender][id];,"L6: require( | function send(
        uint256 id,
        address payable to,
        uint256 amount
    ) external override","14:         ll.locked = false;\n15:         lockedPremium = lockedPremium - ll.premium;\n16:         lockedAmount = lockedAmount - ll.amount;\n17: \n18:         uint256 transferAmount = amount > ll.amount ? ll.amount : amount;\n19:         to.transfer(transferAmount);\n20: \n21:         if (transferAmount <= ll.premium)\n22:             emit Profit(id, ll.premium - transferAmount);\n23:         else emit Loss(id, transferAmount - ll.premium);\n24:     }",i:send,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,6
top50_highest_score,DAPP::DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b::VCTreasuryV1,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Treasury/VCTreasuryV1.sol,investExecute,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Treasury/VCTreasuryV1.sol#L225-L249,0.9728160250018606,0,,external call plus guard/modifier/state-update signal,state_update_before_external_call|require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,state_update_before_external_call|require_assert_guard_before_call|nonreentrant_modifier|trusted_or_fixed_callee|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,L24: msg.sender.transfer(_buy.ethOut); // send the ETH out,L5: BuyProposal memory _buy = currentBuyProposal;,"nonReentrant/modifier | L3: require(currentState == FundStates.active, ""TREASURYV1: !FundStates.active"");","11: \n12: 		BuyProposal memory _reset;\n13: 		currentBuyProposal = _reset; // set investment proposal to a blank proposal, re-entrancy guard\n14: \n15: 		uint256 _before = IERC20(_buy.tokenAccept).balanceOf(address(this));\n16: 		IERC20(_buy.tokenAccept).safeTransferFrom(msg.sender, address(this), _amount);\n17: 		uint256 _after = IERC20(_buy.tokenAccept).balanceOf(address(this));\n18: 		require(_after.sub(_before) >= _buy.amountInMin, ""TREASURYV1: received < amountInMin""); // check again to verify received amount was correct\n19: \n20: 		boughtTokens[_buy.tokenAccept] = true;\n21: \n22: 		InvestmentExecuted(_buy.buyId, _buy.tokenAccept, _amount, _buy.ethOut, msg.sender, block.timestamp);\n23: \n24: 		msg.sender.transfer(_buy.ethOut); // send the ETH out",i:investExecute,protected_negative,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,7
top50_highest_score,FORGE::vfp_00122::TroveManager,TroveManager.sol,_updateSystemSnapshots_excludeCollRemainder,TroveManager.sol#L1062-L1068,0.9723386897386972,0,,external call plus guard/modifier/state-update signal,state_update_before_external_call|state_update_after_external_call|callee_user_controlled|contract_many_risky_interactions|contract_inheritance_modifier_summary,state_update_before_external_call|state_update_after_external_call|callee_user_controlled|contract_many_risky_interactions|contract_inheritance_modifier_summary,,L2: totalStakesSnapshot = totalStakes;,,"1: function _updateSystemSnapshots_excludeCollRemainder(IActivePool _activePool, uint256 _collRemainder) internal {\n2:         totalStakesSnapshot = totalStakes;\n3: \n4:         uint256 activeColl = _activePool.getCollBalance();\n5:         uint256 liquidatedColl = defaultPool.getCollBalance();\n6:         totalCollateralSnapshot = activeColl - _collRemainder + liquidatedColl;\n7:     }",i:_updateSystemSnapshots_excludeCollRemainder,ambiguous,protected reentrancy-like pattern,external call plus guard/modifier/state-update signal,5
