run,variant,seed,split,threshold_from_val,protected_reentrancy_false_positives,concat_reviewed_baseline_protected_fp,protected_fp_reduction_vs_reviewed_concat
all_scope,gated,42,val,0.621,35,33,-2
all_scope,gated,42,test,0.621,29,19,-10
all_scope,gated,43,val,0.591,33,33,0
all_scope,gated,43,test,0.591,35,37,2
all_scope,gated,44,val,0.511,56,31,-25
all_scope,gated,44,test,0.511,55,32,-23
all_scope,gated,45,val,0.705,35,26,-9
all_scope,gated,45,test,0.705,37,21,-16
all_scope,gated,46,val,0.708,37,21,-16
all_scope,gated,46,test,0.708,37,22,-15
all_scope,rule_suppression,42,val,0.586,47,33,-14
all_scope,rule_suppression,42,test,0.586,42,19,-23
all_scope,rule_suppression,43,val,0.686,54,33,-21
all_scope,rule_suppression,43,test,0.686,41,37,-4
all_scope,rule_suppression,44,val,0.622,52,31,-21
all_scope,rule_suppression,44,test,0.622,38,32,-6
all_scope,rule_suppression,45,val,0.7030000000000001,52,26,-26
all_scope,rule_suppression,45,test,0.7030000000000001,38,21,-17
all_scope,rule_suppression,46,val,0.59,55,21,-34
all_scope,rule_suppression,46,test,0.59,37,22,-15
all_scope,concat,42,val,0.776,33,33,0
all_scope,concat,42,test,0.776,19,19,0
all_scope,concat,43,val,0.639,33,33,0
all_scope,concat,43,test,0.639,37,37,0
all_scope,concat,44,val,0.676,31,31,0
all_scope,concat,44,test,0.676,32,32,0
all_scope,concat,45,val,0.8190000000000001,26,26,0
all_scope,concat,45,test,0.8190000000000001,21,21,0
all_scope,concat,46,val,0.712,21,21,0
all_scope,concat,46,test,0.712,22,22,0
reentrancy_only,gated,42,val,0.156,86,6,-80
reentrancy_only,gated,42,test,0.156,52,9,-43
reentrancy_only,gated,43,val,0.921,5,4,-1
reentrancy_only,gated,43,test,0.921,11,5,-6
reentrancy_only,gated,44,val,0.844,4,6,2
reentrancy_only,gated,44,test,0.844,4,4,0
reentrancy_only,gated,45,val,0.606,36,7,-29
reentrancy_only,gated,45,test,0.606,27,5,-22
reentrancy_only,gated,46,val,0.899,2,9,7
reentrancy_only,gated,46,test,0.899,3,5,2
reentrancy_only,rule_suppression,42,val,0.667,4,6,2
reentrancy_only,rule_suppression,42,test,0.667,10,9,-1
reentrancy_only,rule_suppression,43,val,0.9490000000000001,9,4,-5
reentrancy_only,rule_suppression,43,test,0.9490000000000001,10,5,-5
reentrancy_only,rule_suppression,44,val,0.667,40,6,-34
reentrancy_only,rule_suppression,44,test,0.667,29,4,-25
reentrancy_only,rule_suppression,45,val,0.8180000000000001,10,7,-3
reentrancy_only,rule_suppression,45,test,0.8180000000000001,9,5,-4
reentrancy_only,rule_suppression,46,val,0.803,9,9,0
reentrancy_only,rule_suppression,46,test,0.803,14,5,-9
reentrancy_only,concat,42,val,0.539,6,6,0
reentrancy_only,concat,42,test,0.539,9,9,0
reentrancy_only,concat,43,val,0.901,4,4,0
reentrancy_only,concat,43,test,0.901,5,5,0
reentrancy_only,concat,44,val,0.799,6,6,0
reentrancy_only,concat,44,test,0.799,4,4,0
reentrancy_only,concat,45,val,0.87,7,7,0
reentrancy_only,concat,45,test,0.87,5,5,0
reentrancy_only,concat,46,val,0.792,9,9,0
reentrancy_only,concat,46,test,0.792,5,5,0
