run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,protected_reentrancy_fp_count
all_scope,phase1b_baseline,gated,mil_topk,42,max_f1,max_f1,0.807,0.24242424242424243,0.5333333333333333,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4216867469879518,0.37927583932925496,0.7302197802197803,14,150,32,16,212,30,182,
all_scope,phase1b_baseline,gated,mil_topk,43,max_f1,max_f1,0.635,0.2835820895522388,0.6333333333333333,0.2786885245901639,0.5666666666666667,0.3736263736263736,0.4696132596685083,0.27955658465468214,0.7175824175824176,17,138,44,13,212,30,182,
all_scope,phase1b_baseline,gated,mil_topk,44,max_f1,max_f1,0.743,0.288135593220339,0.5666666666666667,0.2857142857142857,0.5333333333333333,0.37209302325581395,0.45454545454545453,0.3050126050031487,0.7144688644688645,16,142,40,14,212,30,182,
all_scope,phase1b_baseline,gated,mil_topk,45,max_f1,max_f1,0.664,0.3,0.5,0.28,0.4666666666666667,0.35000000000000003,0.4117647058823529,0.37242958218319344,0.7293040293040293,14,146,36,16,212,30,182,
all_scope,phase1b_baseline,gated,mil_topk,46,max_f1,max_f1,0.789,0.25862068965517243,0.5,0.3111111111111111,0.4666666666666667,0.37333333333333335,0.42424242424242425,0.37967366015067516,0.7311355311355311,14,151,31,16,212,30,182,
all_scope,accepted_label_only,gated,mil_topk,42,max_f1,max_f1,0.756,0.30357142857142855,0.5666666666666667,0.2727272727272727,0.5,0.3529411764705882,0.42857142857142855,0.31167516206790774,0.7243589743589743,15,142,40,15,212,30,182,31
all_scope,accepted_label_only,gated,mil_topk,42,high_recall,target_recall,0.277,0.1588235294117647,0.9,0.18181818181818182,0.9333333333333333,0.30434782608695654,0.5109489051094891,0.31167516206790774,0.7243589743589743,28,56,126,2,212,30,182,31
all_scope,accepted_label_only,gated,mil_topk,42,precision_focused,target_precision,0.925,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.31167516206790774,0.7243589743589743,0,181,1,30,212,30,182,31
all_scope,contrastive,gated,mil_topk,42,max_f1,max_f1,0.784,0.32,0.5333333333333333,0.3170731707317073,0.43333333333333335,0.36619718309859156,0.40372670807453415,0.4186366019524346,0.7485347985347984,13,154,28,17,212,30,182,21
all_scope,contrastive,gated,mil_topk,42,high_recall,target_recall,0.27,0.15168539325842698,0.9,0.18238993710691823,0.9666666666666667,0.30687830687830686,0.5197132616487454,0.4186366019524346,0.7485347985347984,29,52,130,1,212,30,182,21
all_scope,contrastive,gated,mil_topk,42,precision_focused,target_precision,0.884,1.0,0.06666666666666667,1.0,0.1,0.18181818181818182,0.12195121951219513,0.4186366019524346,0.7485347985347984,3,182,0,27,212,30,182,21
all_scope,accepted_label_only,gated,mil_topk,43,max_f1,max_f1,0.518,0.3148148148148148,0.5666666666666667,0.2962962962962963,0.5333333333333333,0.38095238095238093,0.4597701149425288,0.32645878092489466,0.721062271062271,16,144,38,14,212,30,182,30
all_scope,accepted_label_only,gated,mil_topk,43,high_recall,target_recall,0.178,0.16666666666666666,0.9,0.18,0.9,0.3,0.49999999999999994,0.32645878092489466,0.721062271062271,27,59,123,3,212,30,182,30
all_scope,accepted_label_only,gated,mil_topk,43,precision_focused,target_precision,0.835,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.32645878092489466,0.721062271062271,0,182,0,30,212,30,182,30
all_scope,contrastive,gated,mil_topk,43,max_f1,max_f1,0.784,0.35555555555555557,0.5333333333333333,0.32608695652173914,0.5,0.39473684210526316,0.45180722891566266,0.34843407748686234,0.7485347985347985,15,151,31,15,212,30,182,23
all_scope,contrastive,gated,mil_topk,43,high_recall,target_recall,0.181,0.15517241379310345,0.9,0.17791411042944785,0.9666666666666667,0.3005181347150259,0.5123674911660777,0.34843407748686234,0.7485347985347985,29,48,134,1,212,30,182,23
all_scope,contrastive,gated,mil_topk,43,precision_focused,target_precision,0.911,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.34843407748686234,0.7485347985347985,0,182,0,30,212,30,182,23
all_scope,accepted_label_only,gated,mil_topk,44,max_f1,max_f1,0.555,0.27941176470588236,0.6333333333333333,0.25396825396825395,0.5333333333333333,0.3440860215053763,0.43715846994535523,0.3002382742231191,0.7108058608058608,16,135,47,14,212,30,182,36
