run,method,variant,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
all_scope,phase1b_baseline,gated,mil_topk,42,0.5,0.8333333333333334,0.9333333333333333,0.6874747474747475,0.4277777777777778,0.7722222222222221,0.9055555555555554,30
all_scope,phase1b_baseline,gated,mil_topk,43,0.5666666666666667,0.8,0.9,0.7105699855699855,0.46111111111111114,0.7555555555555554,0.8722222222222221,30
all_scope,phase1b_baseline,gated,mil_topk,44,0.4666666666666667,0.8,0.9,0.6583477633477633,0.3777777777777778,0.7555555555555554,0.8722222222222221,30
all_scope,phase1b_baseline,gated,mil_topk,45,0.43333333333333335,0.8333333333333334,0.9,0.6516414141414141,0.3277777777777778,0.7777777777777778,0.8722222222222221,30
all_scope,phase1b_baseline,gated,mil_topk,46,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.6752525252525252,0.3777777777777778,0.7777777777777778,0.9388888888888888,30
reentrancy_only,phase1b_baseline,gated,mil_attention,42,0.625,0.875,0.9375,0.771875,0.5625,0.8020833333333333,0.9166666666666666,16
reentrancy_only,phase1b_baseline,gated,mil_attention,43,0.5625,0.875,0.9375,0.740625,0.53125,0.8229166666666666,0.9166666666666666,16
reentrancy_only,phase1b_baseline,gated,mil_attention,44,0.5625,0.875,0.9375,0.740625,0.5,0.8020833333333333,0.8958333333333333,16
reentrancy_only,phase1b_baseline,gated,mil_attention,45,0.5625,0.875,0.9375,0.740625,0.5,0.8229166666666666,0.9166666666666666,16
reentrancy_only,phase1b_baseline,gated,mil_attention,46,0.5,0.875,0.9375,0.709375,0.4375,0.8229166666666666,0.9166666666666666,16
reentrancy_only,accepted_label_only,gated,mil_attention,42,0.625,0.875,0.9375,0.771875,0.5625,0.8020833333333333,0.9166666666666666,16
reentrancy_only,contrastive,gated,mil_attention,42,0.625,0.875,0.9375,0.771875,0.5625,0.8333333333333333,0.9166666666666666,16
reentrancy_only,accepted_label_only,gated,mil_attention,43,0.5625,0.875,0.9375,0.740625,0.53125,0.8229166666666666,0.9166666666666666,16
reentrancy_only,contrastive,gated,mil_attention,43,0.625,0.9375,0.9375,0.7770833333333333,0.5625,0.8958333333333333,0.9166666666666666,16
reentrancy_only,accepted_label_only,gated,mil_attention,44,0.625,0.875,0.9375,0.771875,0.5625,0.8229166666666666,0.9166666666666666,16
reentrancy_only,contrastive,gated,mil_attention,44,0.625,0.875,0.9375,0.7621527777777778,0.5625,0.875,0.9166666666666666,16
reentrancy_only,accepted_label_only,gated,mil_attention,45,0.5625,0.875,0.9375,0.740625,0.5,0.8020833333333333,0.9166666666666666,16
reentrancy_only,contrastive,gated,mil_attention,45,0.625,0.9375,0.9375,0.7673611111111112,0.5625,0.8645833333333333,0.9166666666666666,16
reentrancy_only,accepted_label_only,gated,mil_attention,46,0.5625,0.875,0.9375,0.740625,0.5,0.8020833333333333,0.9166666666666666,16
reentrancy_only,contrastive,gated,mil_attention,46,0.625,0.9375,0.9375,0.7673611111111112,0.5625,0.8645833333333333,0.9166666666666666,16
all_scope,accepted_label_only,gated,mil_topk,42,0.5333333333333333,0.8,0.9,0.6946969696969697,0.4277777777777778,0.7555555555555554,0.8722222222222221,30
all_scope,contrastive,gated,mil_topk,42,0.5333333333333333,0.8666666666666667,0.9333333333333333,0.7141414141414141,0.4277777777777778,0.8111111111111111,0.9055555555555554,30
all_scope,accepted_label_only,gated,mil_topk,43,0.5,0.8,0.9,0.6686896436896436,0.3944444444444445,0.7444444444444444,0.8722222222222221,30
all_scope,contrastive,gated,mil_topk,43,0.5,0.8666666666666667,0.9666666666666667,0.693030303030303,0.3944444444444445,0.8055555555555555,0.9388888888888888,30
all_scope,accepted_label_only,gated,mil_topk,44,0.5333333333333333,0.8,0.9,0.691125541125541,0.4277777777777778,0.7555555555555554,0.8722222222222221,30
all_scope,contrastive,gated,mil_topk,44,0.5333333333333333,0.8666666666666667,0.9666666666666667,0.7208080808080808,0.4277777777777778,0.8055555555555555,0.9555555555555555,30
all_scope,accepted_label_only,gated,mil_topk,45,0.5,0.8333333333333334,0.9,0.6849747474747474,0.3944444444444445,0.7888888888888889,0.8722222222222221,30
all_scope,contrastive,gated,mil_topk,45,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.6791414141414142,0.3611111111111111,0.7888888888888889,0.9555555555555555,30
all_scope,accepted_label_only,gated,mil_topk,46,0.4,0.8666666666666667,0.9333333333333333,0.6466810966810966,0.3277777777777778,0.8055555555555555,0.9055555555555554,30
all_scope,contrastive,gated,mil_topk,46,0.5666666666666667,0.8333333333333334,0.9666666666666667,0.7274747474747475,0.4777777777777778,0.7722222222222221,0.9388888888888888,30
