run,method,seed,error_type,graph_id,contract,probability,threshold,protected_reentrancy_like
reentrancy_only,accepted_label_only,42,false_positive,FORGE::vfp_00058::BasePositionManager,BasePositionManager,0.8575864729984404,0.842,0
reentrancy_only,accepted_label_only,42,false_positive,FORGE::vfp_00058::LikwidLendPosition,LikwidLendPosition,0.8590021308420083,0.842,0
reentrancy_only,accepted_label_only,42,false_negative,FORGE::vfp_00260::Router_Adapter,Router_Adapter,0.4291695341060683,0.842,0
reentrancy_only,accepted_label_only,42,false_negative,FORGE::vfp_00126::SpokePool,SpokePool,0.6337527021315519,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,FORGE::vfp_00288::DelegationMetaSwapAdapter,DelegationMetaSwapAdapter,0.6407108161897911,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee::PowerBombAvaxCurve,PowerBombAvaxCurve,0.3942766621138947,0.842,1
reentrancy_only,accepted_label_only,42,false_positive,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::DarkRewardPool,DarkRewardPool,0.8568049996928139,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::RobotLiabilityLib,RobotLiabilityLib,0.8249765083944262,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::LighthouseLib,LighthouseLib,0.5899409158546373,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876::ImpossibleWrappedToken,ImpossibleWrappedToken,0.16192307843720283,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857::Exchange,Exchange,0.10819318729780163,0.842,0
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/SlowMist-ForTube2.0 Smart Contract Security Audit Report/bond-854527d0ea7ad2ddd3504b4d4ae3fcb57cb6445d::PRA,PRA,0.6474393077259201,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,"DAPP::DAppSCAN-source/contracts/Coinfabrik-MintingFactoryV2, BaseUpgradableMarketplace & KODAV3UpgradableGatedMarketplace/known-origin-contracts-v3-d592c5f4fa4e0b6fc65a1fce43e302706aedf607::MintingFactoryV2",MintingFactoryV2,0.1253183751557236,0.842,1
reentrancy_only,accepted_label_only,42,false_positive,"DAPP::DAppSCAN-source/contracts/Coinfabrik-MintingFactoryV2, BaseUpgradableMarketplace & KODAV3UpgradableGatedMarketplace/known-origin-contracts-v3-d592c5f4fa4e0b6fc65a1fce43e302706aedf607::CollabFundsReceiver",CollabFundsReceiver,0.8655057769893822,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::MTGYTokenLocker,MTGYTokenLocker,0.8184287756616463,0.842,1
reentrancy_only,accepted_label_only,42,false_positive,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::OKLGPasswordManager,OKLGPasswordManager,0.9010205683525222,0.842,1
reentrancy_only,accepted_label_only,42,false_positive,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::OKLGTrustedTimestamping,OKLGTrustedTimestamping,0.8815766763914122,0.842,0
reentrancy_only,accepted_label_only,42,false_positive,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::OKLGRaffle,OKLGRaffle,0.8830302723939428,0.842,1
reentrancy_only,accepted_label_only,42,false_negative,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c::BorrowerOperations,BorrowerOperations,0.3561131517105505,0.842,1
reentrancy_only,accepted_label_only,42,false_positive,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Liquity/dev-f0df3efa5a5f05b205752184cfce107c5bd6e06c::SortedTroves,SortedTroves,0.9152305660900366,0.842,1
reentrancy_only,contrastive,42,false_positive,FORGE::vfp_00058::BasePositionManager,BasePositionManager,0.8665769541082937,0.864,0
reentrancy_only,contrastive,42,false_positive,FORGE::vfp_00058::LikwidLendPosition,LikwidLendPosition,0.8775469012422856,0.864,0
reentrancy_only,contrastive,42,false_negative,FORGE::vfp_00260::Router_Adapter,Router_Adapter,0.4477592875741589,0.864,0
reentrancy_only,contrastive,42,false_negative,FORGE::vfp_00126::SpokePool,SpokePool,0.7267819016230432,0.864,1
reentrancy_only,contrastive,42,false_negative,FORGE::vfp_00288::DelegationMetaSwapAdapter,DelegationMetaSwapAdapter,0.7105618659756174,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee::PowerBombAvaxCurve,PowerBombAvaxCurve,0.3518141136809176,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::RobotLiabilityLib,RobotLiabilityLib,0.7800933879724059,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::LighthouseLib,LighthouseLib,0.6972152801980832,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876::ImpossibleWrappedToken,ImpossibleWrappedToken,0.34598613795835464,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857::Exchange,Exchange,0.21580903551911712,0.864,0
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/SlowMist-ForTube2.0 Smart Contract Security Audit Report/bond-854527d0ea7ad2ddd3504b4d4ae3fcb57cb6445d::PRA,PRA,0.6737125029607292,0.864,1
reentrancy_only,contrastive,42,false_negative,"DAPP::DAppSCAN-source/contracts/Coinfabrik-MintingFactoryV2, BaseUpgradableMarketplace & KODAV3UpgradableGatedMarketplace/known-origin-contracts-v3-d592c5f4fa4e0b6fc65a1fce43e302706aedf607::MintingFactoryV2",MintingFactoryV2,0.2965502460094158,0.864,1
reentrancy_only,contrastive,42,false_negative,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::MTGYTokenLocker,MTGYTokenLocker,0.7854788671579984,0.864,1
reentrancy_only,contrastive,42,false_positive,DAPP::DAppSCAN-source/contracts/Solidity_Finance-OKLG - Smart Contract/contracts-e167d0d742d21bcc62d7a5b770a1f0ed1cf31eca::OKLGPasswordManager,OKLGPasswordManager,0.8812327779598847,0.864,1
