run,method,variant,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
reentrancy_only,shortcut_aug_bce,gated,mil_attention,42,0.75,1.0,1.0,0.8645833333333333,0.6770833333333333,0.9479166666666666,1.0,16
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,42,0.9375,1.0,1.0,0.9583333333333333,0.8333333333333333,0.9791666666666666,0.9791666666666666,16
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,42,0.75,1.0,1.0,0.8645833333333333,0.6770833333333333,0.9479166666666666,0.9791666666666666,16
reentrancy_only,shortcut_aug_bce,gated,mil_attention,43,0.8125,1.0,1.0,0.8854166666666666,0.7083333333333333,0.9791666666666666,1.0,16
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,43,0.8125,1.0,1.0,0.8958333333333333,0.7083333333333333,1.0,1.0,16
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,43,0.875,1.0,1.0,0.9166666666666666,0.7708333333333333,1.0,1.0,16
all_scope,shortcut_aug_bce,gated,mil_topk,42,0.7666666666666667,0.9666666666666667,1.0,0.8694444444444444,0.6222222222222221,0.9555555555555555,1.0,30
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,42,0.7666666666666667,1.0,1.0,0.8666666666666666,0.6444444444444444,0.9777777777777779,1.0,30
all_scope,shortcut_aug_bce,gated,mil_topk,43,0.8333333333333334,0.9666666666666667,1.0,0.8972222222222221,0.6888888888888888,0.9555555555555555,1.0,30
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,43,0.7333333333333333,0.9666666666666667,1.0,0.8472222222222221,0.611111111111111,0.9555555555555555,1.0,30
reentrancy_only,shortcut_aug_bce,gated,mil_attention,44,0.8125,1.0,1.0,0.8958333333333333,0.75,0.9583333333333333,1.0,16
reentrancy_only,shortcut_aug_bce,gated,mil_attention,45,0.875,1.0,1.0,0.9375,0.7708333333333333,0.9791666666666666,0.9791666666666666,16
reentrancy_only,shortcut_aug_bce,gated,mil_attention,46,0.875,1.0,1.0,0.9375,0.7708333333333333,0.9791666666666666,1.0,16
all_scope,shortcut_aug_bce,gated,mil_topk,44,0.7333333333333333,0.9333333333333333,1.0,0.8444444444444444,0.5888888888888888,0.9222222222222222,0.9888888888888888,30
all_scope,shortcut_aug_bce,gated,mil_topk,45,0.8666666666666667,1.0,1.0,0.9222222222222223,0.7222222222222222,0.9888888888888888,1.0,30
all_scope,shortcut_aug_bce,gated,mil_topk,46,0.7666666666666667,1.0,1.0,0.8722222222222221,0.6222222222222221,0.9777777777777779,0.9888888888888888,30
