run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
reentrancy_only,shortcut_aug_bce,gated,mil_attention,42,max_f1,max_f1,0.967,0.6363636363636364,1.0,0.6086956521739131,0.875,0.717948717948718,0.8045977011494253,0.6699508279495701,0.9718406593406593,14,173,9,2,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,42,high_recall,target_recall,0.967,0.6363636363636364,1.0,0.6086956521739131,0.875,0.717948717948718,0.8045977011494253,0.6699508279495701,0.9718406593406593,14,173,9,2,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,42,precision_focused,target_precision,0.992,0.7692307692307693,0.7142857142857143,0.7,0.875,0.7777777777777777,0.8333333333333334,0.6699508279495701,0.9718406593406593,14,176,6,2,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,42,test_oracle_max_f1,test_oracle,0.992,,,0.7,0.875,0.7777777777777777,0.8333333333333334,0.6699508279495701,0.9718406593406593,14,176,6,2,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,42,max_f1,max_f1,0.835,0.7857142857142857,0.7857142857142857,0.6190476190476191,0.8125,0.7027027027027026,0.7647058823529412,0.535080583205597,0.9498626373626373,13,174,8,3,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,42,high_recall,target_recall,0.47800000000000004,0.5652173913043478,0.9285714285714286,0.4827586206896552,0.875,0.6222222222222222,0.7526881720430105,0.535080583205597,0.9498626373626373,14,167,15,2,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,42,precision_focused,target_precision,0.835,0.7857142857142857,0.7857142857142857,0.6190476190476191,0.8125,0.7027027027027026,0.7647058823529412,0.535080583205597,0.9498626373626373,13,174,8,3,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,42,test_oracle_max_f1,test_oracle,0.886,,,0.65,0.8125,0.7222222222222223,0.7738095238095238,0.535080583205597,0.9498626373626373,13,175,7,3,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,42,max_f1,max_f1,0.996,0.5909090909090909,0.9285714285714286,0.5217391304347826,0.75,0.6153846153846153,0.6896551724137931,0.6023621566709285,0.9364697802197802,12,171,11,4,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,42,high_recall,target_recall,0.996,0.5909090909090909,0.9285714285714286,0.5217391304347826,0.75,0.6153846153846153,0.6896551724137931,0.6023621566709285,0.9364697802197802,12,171,11,4,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,42,precision_focused,target_precision,0.996,0.5909090909090909,0.9285714285714286,0.5217391304347826,0.75,0.6153846153846153,0.6896551724137931,0.6023621566709285,0.9364697802197802,12,171,11,4,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,42,test_oracle_max_f1,test_oracle,0.995,,,0.5416666666666666,0.8125,0.65,0.7386363636363635,0.6023621566709285,0.9364697802197802,13,171,11,3,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,43,max_f1,max_f1,0.9530000000000001,0.8888888888888888,0.5714285714285714,0.6,0.5625,0.5806451612903225,0.569620253164557,0.610186376123876,0.9536401098901099,9,176,6,7,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,43,high_recall,target_recall,0.742,0.42424242424242425,1.0,0.48148148148148145,0.8125,0.6046511627906976,0.7142857142857144,0.610186376123876,0.9536401098901099,13,168,14,3,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,43,precision_focused,target_precision,0.9530000000000001,0.8888888888888888,0.5714285714285714,0.6,0.5625,0.5806451612903225,0.569620253164557,0.610186376123876,0.9536401098901099,9,176,6,7,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,43,test_oracle_max_f1,test_oracle,0.719,,,0.5,0.875,0.6363636363636364,0.7608695652173914,0.610186376123876,0.9536401098901099,14,168,14,2,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,43,max_f1,max_f1,0.986,0.6923076923076923,0.6428571428571429,0.38461538461538464,0.3125,0.3448275862068966,0.3246753246753247,0.4025278599969002,0.9014423076923076,5,174,8,11,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,43,high_recall,target_recall,0.533,0.3333333333333333,0.9285714285714286,0.3181818181818182,0.875,0.4666666666666667,0.6481481481481483,0.4025278599969002,0.9014423076923076,14,152,30,2,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,43,precision_focused,target_precision,0.994,0.7777777777777778,0.5,0.2857142857142857,0.125,0.17391304347826086,0.1408450704225352,0.4025278599969002,0.9014423076923076,2,177,5,14,198,16,182
reentrancy_only,shortcut_aug_bce,rule_suppression,mil_attention,43,test_oracle_max_f1,test_oracle,0.968,,,0.5555555555555556,0.625,0.5882352941176471,0.6097560975609756,0.4025278599969002,0.9014423076923076,10,174,8,6,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,43,max_f1,max_f1,0.998,0.8888888888888888,0.5714285714285714,0.5714285714285714,0.5,0.5333333333333333,0.5128205128205128,0.5165283618373284,0.9141483516483516,8,176,6,8,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,43,high_recall,target_recall,0.963,0.2653061224489796,0.9285714285714286,0.3111111111111111,0.875,0.459016393442623,0.6422018348623854,0.5165283618373284,0.9141483516483516,14,151,31,2,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,43,precision_focused,target_precision,0.998,0.8888888888888888,0.5714285714285714,0.5714285714285714,0.5,0.5333333333333333,0.5128205128205128,0.5165283618373284,0.9141483516483516,8,176,6,8,198,16,182
reentrancy_only,shortcut_aug_contrastive,contrastive,mil_attention,43,test_oracle_max_f1,test_oracle,0.998,,,0.5714285714285714,0.5,0.5333333333333333,0.5128205128205128,0.5165283618373284,0.9141483516483516,8,176,6,8,198,16,182
all_scope,shortcut_aug_bce,gated,mil_topk,42,max_f1,max_f1,0.925,0.75,0.5,0.625,0.6666666666666666,0.6451612903225806,0.6578947368421052,0.5993286075489684,0.9100732600732601,20,170,12,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,42,high_recall,target_recall,0.164,0.34615384615384615,0.9,0.3625,0.9666666666666667,0.5272727272727272,0.7250000000000001,0.5993286075489684,0.9100732600732601,29,131,51,1,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,42,precision_focused,target_precision,0.925,0.75,0.5,0.625,0.6666666666666666,0.6451612903225806,0.6578947368421052,0.5993286075489684,0.9100732600732601,20,170,12,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,42,test_oracle_max_f1,test_oracle,0.969,,,0.6785714285714286,0.6333333333333333,0.6551724137931035,0.641891891891892,0.5993286075489684,0.9100732600732601,19,173,9,11,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,42,max_f1,max_f1,0.633,0.5277777777777778,0.6333333333333333,0.45652173913043476,0.7,0.5526315789473684,0.6325301204819277,0.5230515870532363,0.8842490842490842,21,157,25,9,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,42,high_recall,target_recall,0.041,0.25961538461538464,0.9,0.2828282828282828,0.9333333333333333,0.43410852713178294,0.639269406392694,0.5230515870532363,0.8842490842490842,28,111,71,2,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,42,precision_focused,target_precision,0.9500000000000001,0.7058823529411765,0.4,0.5652173913043478,0.43333333333333335,0.49056603773584906,0.4545454545454546,0.5230515870532363,0.8842490842490842,13,172,10,17,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,42,test_oracle_max_f1,test_oracle,0.868,,,0.5882352941176471,0.6666666666666666,0.625,0.6493506493506495,0.5230515870532363,0.8842490842490842,20,168,14,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,43,max_f1,max_f1,0.993,0.875,0.4666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6677171084955205,0.8928571428571428,17,169,13,13,212,30,182
